Gene Id,Gene Name,Sphenodon punctatus,Anolis carolinensis,Pogona vitticeps,Laticauda laticaudata,Naja naja,Notechis scutatus,Pseudonaja textilis,Varanus komodoensis,Podarcis muralis,Salvator merianae,Pelodiscus sinensis,Chelydra serpentina,Chrysemys picta bellii,Terrapene carolina triunguis,Gopherus agassizii,Gopherus evgoodei,Chelonoidis abingdonii,Pelusios castaneus,Crocodylus porosus,Aquila chrysaetos chrysaetos,Struthio camelus australis,Taeniopygia guttata,Anas platyrhynchos platyrhynchos,Gallus gallus
ENSVKKG00000000044,AGO3,,,,,,,,,,,,,,,,,,,,,,,,
ENSVKKG00000000045,RRAD,,,,,,,,,,,,,,,,,,,,,,,,
ENSVKKG00000000046,PCGF6,,,,,,,,,,,,,,,,,,,,,,,,
ENSVKKG00000000047,ENSVKKG00000000047,,,,2.0,,,2.0,,,,,9.0,,,9.0,,,,1.0,0.0,,,,
ENSVKKG00000000048,ENSVKKG00000000048,,,,2.0,,,,,2.0,,,,,,,,,,,,,,,
ENSVKKG00000000049,NEK8,0.0,,,,,0.0,,,,,,,,,,,,,,,,,,
ENSVKKG00000000050,AMACR,,0.0,,,,,,,,,,,,,,,,,,,,,,
ENSVKKG00000000051,ENSVKKG00000000051,,0.0,,,,,,,,,0.0,,0.0,,0.0,,,,0.0,0.0,,,,
ENSVKKG00000000052,ZFAND2A,,,,,,,,,,,,,,,,,,,,,,,,
ENSVKKG00000000053,ENSVKKG00000000053,0.0,0.0,,,,,,,,,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0
ENSVKKG00000000054,TAB2,,,,,,,,,,,,,,,,,,,,,,,,
ENSVKKG00000000055,RPS7,,,,,,,,,,,,,,,,,,,0.0,,,,,
ENSVKKG00000000056,FBXL12,0.0,,,,,,,,,0.0,,,,,,,,,,,0.0,,,
ENSVKKG00000000057,DPYD,,,,0.0,,,,,,,,,,,,,,,,,,,,
ENSVKKG00000000058,ENSVKKG00000000058,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,,0.0,
ENSVKKG00000000059,PCGF5,,,,,,,,,,,,,,,,,,,,,,,,
ENSVKKG00000000060,CPNE8,,,,,,,,,,,,,,,,,,,,,,,,
ENSVKKG00000000061,ENSVKKG00000000061,,,0.0,,,,,,,0.0,0.0,,,,,,,,,,,,,
ENSVKKG00000000062,MTRES1,,,,,,,,,,,,,,,,,,,,,,,,
ENSVKKG00000000063,ENSVKKG00000000063,,2.0,,4.0,,,4.0,,,,,,,,,,,,,,,,,
ENSVKKG00000000064,ENSVKKG00000000064,,,,1.0,,,,,,,,,,,4.0,,,,1.0,,,,,
ENSVKKG00000000065,ENSVKKG00000000065,,,,,,,,,,,,,,,,,,,,,,,,
ENSVKKG00000000066,ARHGAP35,,,,,,,,2.0,,2.0,2.0,,,,,,,,1.0,,2.0,,,
ENSVKKG00000000067,TMEM229B,1.0,2.0,,2.0,2.0,,,,,,1.0,,,,,,,,,0.0,,,,
ENSVKKG00000000068,ENSVKKG00000000068,2.0,,,,,,,,,,,2.0,,,2.0,,,,2.0,,,,,
ENSVKKG00000000069,CSTF3,,,,,,,,,,,,,,,,,,,,,,,,
ENSVKKG00000000070,TPPP3,,,,,2.0,,,,,,,,,,,,,,2.0,,,,,
ENSVKKG00000000071,TAF5,1.0,,,,1.0,,,,,,,,,,,,,,,,,,,
ENSVKKG00000000072,ENSVKKG00000000072,,3.0,,,,,,,,,3.0,,,,,3.0,,,,,,,,
ENSVKKG00000000073,ENSVKKG00000000073,,,,,,,,,,,,,,,,,,,,,,,,
ENSVKKG00000000074,UBL5,0.0,0.0,,,,,,,,0.0,0.0,,,0.0,,,,,0.0,,0.0,,,
ENSVKKG00000000075,ENSVKKG00000000075,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,,0.0,
ENSVKKG00000000076,CLEC3B,2.0,,,,,,,,,2.0,2.0,,,,,,,,2.0,,,,,
ENSVKKG00000000077,ZDHHC1,,,,,,,,,,,,,,,,,,,0.0,,,,,
ENSVKKG00000000078,QRSL1,,,,,,,,,,,,,,,,,,,,,,,,
ENSVKKG00000000079,ENSVKKG00000000079,,0.0,,,,0.0,,,,,,,,,,,,,,,,,,
ENSVKKG00000000080,IRAK4,,,,,,,,,,,,,,,,,,,,,,,,
ENSVKKG00000000081,RFNG,,,,,,,,,,,,,,,,,,,,,,,,
ENSVKKG00000000082,ENSVKKG00000000082,,,,,,,,,,,0.0,,,,,,,,,,,,,
ENSVKKG00000000083,ENSVKKG00000000083,,,,,,,,,,,,,,,,,,,,,,,,
ENSVKKG00000000084,CAPN10,,,,,,,,,,,,,,,,,,,,,,,,
ENSVKKG00000000085,ENSVKKG00000000085,0.0,0.0,,0.0,0.0,0.0,,,0.0,,,,,,,,,,,,,,,
ENSVKKG00000000086,ENSVKKG00000000086,,1.0,,,,,,,,,,,,,,,,,,,,,,
ENSVKKG00000000087,UGGT1,,,,,,,,,,,,,,,,,,,,,,,,
ENSVKKG00000000088,PIN1,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,
ENSVKKG00000000089,ZHX1,2.0,,,,,3.0,,,,,3.0,,,,3.0,,,,3.0,,,,2.0,
ENSVKKG00000000090,UST,,,,0.0,,,,,,,,,,,,,,,,,,,,
ENSVKKG00000000091,SRD5A2,,,,4.0,,,,,,,,4.0,,,,,,,4.0,,,,,
ENSVKKG00000000092,TLCD1,,1.0,,0.0,,,0.0,,,,,,,,,,,,,,0.0,,,
ENSVKKG00000000093,ENSVKKG00000000093,,2.0,,,,,,,,2.0,1.0,,,,,,,,,,,,,
ENSVKKG00000000094,SERPINE1,0.0,,,,0.0,,,,,,,0.0,,,0.0,,,,0.0,,0.0,,,
ENSVKKG00000000095,ENSVKKG00000000095,,,,,,,,,,,,,,,,,,,,,,,,
ENSVKKG00000000096,ENSVKKG00000000096,,,,,,,,,,,,,,,,,,,,,,,,0.0
ENSVKKG00000000097,ENSVKKG00000000097,,,,,,,,,,,,,,,,,,,,,,,,
ENSVKKG00000000098,COLEC12,,,,,,,,,1.0,,,,,,,,,,1.0,,,,2.0,
ENSVKKG00000000099,HECTD2,,,,,,,,,,,,,,,,,0.0,,,,,,,
ENSVKKG00000000100,ENSVKKG00000000100,,,2.0,,,,,,,,,,,4.0,,5.0,,1.0,1.0,,,,,
ENSVKKG00000000101,CEP170B,,,,,,,,,,,,,,,,,,,,,,,,
ENSVKKG00000000102,SIPA1L3,,,,,,,,,,,,,,,,,,,0.0,,0.0,,,
ENSVKKG00000000103,ENSVKKG00000000103,,,,,0.0,,,,,,0.0,,,,,,,,,,,,,
ENSVKKG00000000104,KMO,,,,,,,,,,,,,,,,,,,,,,,,
ENSVKKG00000000105,ENSVKKG00000000105,,,,0.0,,,,,,,,,,,,,,,,,,,,
ENSVKKG00000000106,ENSVKKG00000000106,,2.0,,4.0,,,4.0,,,,,,,,,,,,,,,,,
ENSVKKG00000000108,ATP6V0D2,,,,1.0,,,,,,,,,,,,,,,1.0,,,,,
ENSVKKG00000000109,GPS1,,,,,,,,,,,,,,,,,,,,,,,,
ENSVKKG00000000110,TMEM208,,,,,,,,,,,,,,,,,,,0.0,,,,,
ENSVKKG00000000111,ENSVKKG00000000111,,0.0,,,,,,,,,,,,,,,,,,0.0,,0.0,,
ENSVKKG00000000112,ENSVKKG00000000112,,,,7.0,,8.0,,6.0,,,1.0,2.0,,1.0,,2.0,,,,,,2.0,,
ENSVKKG00000000113,HPDL,1.0,1.0,,,,,,,,,1.0,,,,,,,,1.0,,,,,
ENSVKKG00000000114,RGS11,,,,,,,,,,,0.0,,,,0.0,,,,,,0.0,,,
ENSVKKG00000000115,AP1S1,3.0,3.0,,4.0,,,,3.0,,,,,,,,,,,3.0,,,,,3.0
ENSVKKG00000000116,NSMAF,,,,,,,,,,,,,,,,,,,,,,,,
ENSVKKG00000000117,RAI14,,,,,,,,,,,,,,,,,,,,1.0,,,,
ENSVKKG00000000118,ATAD2,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,
ENSVKKG00000000119,BCO1,,,,,,,,,,,,,,,,,,,,2.0,,,,
ENSVKKG00000000120,ENSVKKG00000000120,,,1.0,,,,,,,,,,,,,,,,,,,,,
ENSVKKG00000000121,RAD51B,,,,,,,,,,,,,,,,,,,,,,,,
ENSVKKG00000000122,PIP4K2A,,,,,,,,,,,,,,,,,,,,,,,,
ENSVKKG00000000123,OLFM2,,,,,,,,,,,0.0,0.0,,,,,,,,1.0,0.0,,,
ENSVKKG00000000124,ENSVKKG00000000124,,,,0.0,,,,,,,,,,,,,,,,,,,,
ENSVKKG00000000125,ENSVKKG00000000125,,,,,,,,,,,,,,,,,,,,,,,,
ENSVKKG00000000126,ENSVKKG00000000126,,2.0,,4.0,,,4.0,,,,,,,,,,,,,,,,,
ENSVKKG00000000127,PDCD11,0.0,,,,,,,,,,,,,,,,,,,,,,,
ENSVKKG00000000128,NUB1,,,,,,,,,,,,,,,,,,,,,,,,
ENSVKKG00000000129,EXOSC7,,,,,,,,2.0,,,,,,,,,,,,,,,,
ENSVKKG00000000130,SASH1,,,,,,,,,,,,,,,,0.0,,,,,,,,
ENSVKKG00000000132,ENSVKKG00000000132,,,,,,,,,,,,,,,,,,,,,,,,
ENSVKKG00000000134,NDUFB1,,0.0,,0.0,,0.0,,,,,,,,,,,,,,,,,,
ENSVKKG00000000135,ENSVKKG00000000135,,1.0,,,,,,,,,1.0,,,,,,,,,,,,,1.0
ENSVKKG00000000136,ENSVKKG00000000136,0.0,0.0,,,0.0,,,,,,0.0,,,0.0,,0.0,0.0,,,,0.0,,,
ENSVKKG00000000137,ZDHHC3,,,,,,,,,,,,,,,,,,,,,,,,
ENSVKKG00000000138,ENSVKKG00000000138,,,,7.0,,8.0,,6.0,,,1.0,2.0,,1.0,,2.0,,,,,,2.0,,
ENSVKKG00000000139,ENSVKKG00000000139,0.0,,,0.0,0.0,,0.0,,,,,,,,,,,,0.0,,,,,
ENSVKKG00000000140,ENSVKKG00000000140,0.0,,,,,,,,,,0.0,,,,,,,,,,,,,
ENSVKKG00000000141,ADI1,,,,,,,,,,,,,,,,,,,,,,0.0,,
ENSVKKG00000000142,CA2,,,,,,,,,,,1.0,,,,,,1.0,,,,,,,
ENSVKKG00000000143,DUS1L,,,,,,,,,,,,,,,,,,,,,,,,
ENSVKKG00000000144,GAN,,,,,,,,,,,,,,,,,,,,,,,,
ENSVKKG00000000145,RPL23A,,,,,,,,,,,,,,,,,,,,,,,,
ENSVKKG00000000146,ENSVKKG00000000146,,,,,,,,,,,,,,,,,,,,,,,,
ENSVKKG00000000147,RB1,,,,,,,,,,,,,,,,,,,,,,,,
ENSVKKG00000000148,ENSVKKG00000000148,,0.0,,,0.0,,0.0,,,,,0.0,,,,,0.0,,,,,,,
ENSVKKG00000000149,RTN4IP1,,,,,,,,,,,,,,,,,,,,,,,,
ENSVKKG00000000150,CLUL1,,,,,,,,,,,,,,,,,,,,,1.0,,,1.0
ENSVKKG00000000151,ENSVKKG00000000151,,,,,,,,,,,,,,,,,,,,,,,,
ENSVKKG00000000152,AKT1,,,,,,,,,,,,,,,,,,,,,,,,
ENSVKKG00000000154,FBH1,,,,,,0.0,,,,,,,,,,,,,,,,,,
ENSVKKG00000000155,CPSF2,,,,,,,,,,,,,,,,,,,,,,,,
ENSVKKG00000000156,ENSVKKG00000000156,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,
ENSVKKG00000000158,TMEM160,,0.0,,,0.0,,,,,,,0.0,,0.0,0.0,,0.0,,0.0,,,,,
ENSVKKG00000000159,TRAPPC12,,,,,,,,,,,,,,,,,,,,,,,,
ENSVKKG00000000160,SPAG6,,,,,,,,,,,,,,,,,,,,,,,,
ENSVKKG00000000161,RAB34,0.0,0.0,,,,0.0,,,,,0.0,0.0,,0.0,,,,,,,0.0,,0.0,
ENSVKKG00000000162,CMIP,,0.0,,0.0,,,,,,,,,,,,,0.0,,,,,,,
ENSVKKG00000000163,PPP1R3C,,,,,,,,,,,,,,,,,,,,,,,,
ENSVKKG00000000164,ENSVKKG00000000164,,,,,,,,,,,,,,,,,,,,,,,,
ENSVKKG00000000165,SDCBP,,,,,,,,,,,,,,,,,,,,,,,,
ENSVKKG00000000166,H2AC7,,0.0,,0.0,0.0,0.0,,,0.0,,0.0,0.0,0.0,,,,,0.0,0.0,,0.0,,,0.0
ENSVKKG00000000167,ENSVKKG00000000167,,,,,,,,,,,,,,,,,,,,,,,,
ENSVKKG00000000168,WDR86,,,,0.0,,,,,,,,,,,,,,,,,0.0,,,
ENSVKKG00000000169,ENSVKKG00000000169,,2.0,,4.0,,,4.0,,,,,,,,,,,,,,,,,
ENSVKKG00000000170,CRYBG1,,,,,,,,,,,,,,,,,,,,,,,,
ENSVKKG00000000171,TNKS2,,,,,,,,,,,,,,,,,,,,,,,,
ENSVKKG00000000172,TTC23L,0.0,,,,,,,,,,,,,,,,,,,,0.0,,,
ENSVKKG00000000173,ANKRD16,1.0,,,,,0.0,,,,,,,,,,,1.0,1.0,,,,,,
ENSVKKG00000000174,AHCTF1,,,,,,,,,,,,,,,,,,,,,,,,
ENSVKKG00000000175,ELMO3,0.0,,,,,,,,,,0.0,,,,,,,,0.0,,,,,
ENSVKKG00000000177,ENSVKKG00000000177,,,,,,,,,,,,,2.0,,,,,,,,,,,
ENSVKKG00000000178,ENSVKKG00000000178,0.0,,1.0,,1.0,1.0,,,,,1.0,,1.0,,,,,,0.0,,0.0,0.0,,0.0
ENSVKKG00000000179,ZFP36L1,,0.0,,,,,,,,,,,,,,,,,,,0.0,,,
ENSVKKG00000000180,SUPT6H,,,,,,,,,,,0.0,,,,,,,,,,,,,
ENSVKKG00000000181,CA3,,,,,,,,,,,,,1.0,,,,,,,,,,,
ENSVKKG00000000182,SFRP2,,1.0,,,,,,,,,,,,,,,,,,,,,,
ENSVKKG00000000183,CALHM1,,,,,,,,,,,,,,,,,,,,,,,,
ENSVKKG00000000184,SIVA1,,,,,,,,,,,,,,,,,,,0.0,,0.0,0.0,,
ENSVKKG00000000186,ENSVKKG00000000186,,,,,,,,,,,,,,,,,,,,,,,,
ENSVKKG00000000187,TGM4,,,,,,,,,,,4.0,4.0,,,4.0,,,,,,4.0,,,
ENSVKKG00000000188,ENSVKKG00000000188,,,,,,,,,,,,,,,,,,,0.0,,,,,
ENSVKKG00000000189,ENSVKKG00000000189,,0.0,,,0.0,,,,,,0.0,,,,,,,,,,,,,
ENSVKKG00000000190,ENSVKKG00000000190,,,,,,,,,,,,,,,,,,,,,,,,
ENSVKKG00000000191,NEUROD1,,,,,,,,,,,,,,,,,,,,,,,,
ENSVKKG00000000192,RAD1,,,,,,,,,,,,,,,,,,,,,,,,
ENSVKKG00000000193,ENSVKKG00000000193,,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,
ENSVKKG00000000194,EIPR1,,,,,,,,,,,,,,,,,,,,,,,,
ENSVKKG00000000195,ENSVKKG00000000195,,,,,,,,,,,,,,,,,,,,,,,,
ENSVKKG00000000196,ENSVKKG00000000196,,,,7.0,,8.0,,6.0,,,1.0,2.0,,1.0,,2.0,,,,,,2.0,,
ENSVKKG00000000197,ENSVKKG00000000197,,,,,,,,,,,,,,,,,,,,,,,,
ENSVKKG00000000198,ATG5,,,,,,,,,,,,,,,,,,,,,,,,
ENSVKKG00000000199,CA13,,,,,,,,,,,,,,,0.0,,,,,,,,,
ENSVKKG00000000200,TBCB,,,,,,,,,,,,,,,,,,,0.0,,0.0,,,
ENSVKKG00000000201,RIN3,,,,,,,,,,,,,,,,,,,,,,,,
ENSVKKG00000000202,CYP7A1,,,,,,,,,,,3.0,,,,,,,,,,,,,
ENSVKKG00000000203,ADSS1,,2.0,,,,,,,,,,,,,,2.0,,2.0,2.0,,2.0,,,
ENSVKKG00000000204,GDI2,2.0,,,,2.0,,,,,,2.0,2.0,,,,,,,2.0,,,2.0,,
ENSVKKG00000000205,CALHM3,,,,,,,,,,,,,,,,,,,,,,,,
ENSVKKG00000000206,ITPRID2,,,,,,,,,,,,,,,,,,,,,,,,
ENSVKKG00000000207,PTBP2,,,,,,,,,,,,,,,1.0,,,,,,,,,
ENSVKKG00000000208,ENSVKKG00000000208,,,1.0,,,,,,,,1.0,,1.0,,,,,,1.0,,,,,
ENSVKKG00000000209,ENSVKKG00000000209,,,,,,,,,,,,,,,,,,,,,,,,
ENSVKKG00000000210,ENSVKKG00000000210,,,,,,,,,,,,,,,,,,,,,,,,
ENSVKKG00000000211,PRDM1,,,,,,,,,,,1.0,,,,,,,,,,,,,
ENSVKKG00000000212,ACTN1,,,,,,,,,,,,,,,,,,,,,,,,
ENSVKKG00000000213,FASN,,,,,,,,,,,,,,,,,,,,,,,,
ENSVKKG00000000214,ENSVKKG00000000214,0.0,,,,,,,,,,,,,,,0.0,,,,,,,,0.0
ENSVKKG00000000215,ENSVKKG00000000215,,,,,,,,,,,,,,,,,,,,,,,,
ENSVKKG00000000216,CLBA1,,,,,,,,,,,1.0,,,,1.0,,,,,,,,,
ENSVKKG00000000217,ENSVKKG00000000217,,,,,,,,,,,,,,,,,,,,,,,,
ENSVKKG00000000218,GOLIM4,,,,0.0,,,,,,,,,,,,,0.0,,,,,,,
ENSVKKG00000000219,POLR2I,,0.0,,,,,0.0,,,,,,,,,0.0,,,0.0,,0.0,,,
ENSVKKG00000000220,ENSVKKG00000000220,,,,,,,,,,,,,,,,,,,0.0,,,,,
ENSVKKG00000000221,RBIS,,0.0,,,0.0,,,,,,0.0,,,,,,0.0,,,,0.0,0.0,,
ENSVKKG00000000223,RWDD3,,,,,,,,,,,,,,,,,,,,,,,,
ENSVKKG00000000224,PPP1R1C,,,,,,,,,,0.0,,0.0,,0.0,,,,,,0.0,,,,
ENSVKKG00000000225,ENSVKKG00000000225,,,,,,,,,,,,,,,,,,,,,,,,
ENSVKKG00000000226,LGMN,,,,,,,,,,,,,,,,,,,,,,,,
ENSVKKG00000000227,ITM2B,,,,,2.0,,,,,,2.0,,,,2.0,,,,2.0,,,,,
ENSVKKG00000000228,PLCG2,,,,,,,,,,,,,,,,,,,,,,,,
ENSVKKG00000000229,BRIX1,,,,,,0.0,,,,,,,,,,,,,,,,,,
ENSVKKG00000000230,ENSVKKG00000000230,,,,7.0,,8.0,,6.0,,,1.0,2.0,,1.0,,2.0,,,,,,2.0,,
ENSVKKG00000000231,ENSVKKG00000000231,,,,,,,,,,,,,,,,,,,,,,,,
ENSVKKG00000000232,PREP,,,,,,,,,,,,,,,,,,,,,,,,
ENSVKKG00000000233,HCCS,,,,,,,,,,,,,,,,,,,,,,,0.0,
ENSVKKG00000000234,ENSVKKG00000000234,2.0,,,,,,,,,3.0,,,,,3.0,,,,2.0,,,,,2.0
ENSVKKG00000000235,E2F5,,,,,,,,,,,,,,,,,,,,,,,,
ENSVKKG00000000236,ENSVKKG00000000236,,,,,,,,,,,1.0,,,,,,1.0,,,,,,,
ENSVKKG00000000237,SDR39U1,,,,,,,,,,,0.0,,,,,,,,0.0,,,,0.0,
ENSVKKG00000000238,HDAC7,,,,,,,,,,,,,,0.0,,,,,,,,,,
ENSVKKG00000000240,DNAJC21,,,,,,,,,,,0.0,,,,,,,,,,,,,
ENSVKKG00000000241,EMC4,,,,,,,,,,,0.0,,,,,,,,0.0,,0.0,,,0.0
ENSVKKG00000000242,MED4,,,,,,,,,,,,,,0.0,,,,,,,,,,
ENSVKKG00000000243,GOLGA5,,,,,,,,,,,,,,,,,,,,,,,,
ENSVKKG00000000244,ENSVKKG00000000244,,,,,,3.0,,,,,2.0,,3.0,,,,,,1.0,,,,,
ENSVKKG00000000245,POPDC3,,,,2.0,,,,,,,2.0,,,,,,,,,,,,,2.0
ENSVKKG00000000246,ENSVKKG00000000246,0.0,,,0.0,0.0,,0.0,,,,,,,,,,,,0.0,,,,,0.0
ENSVKKG00000000247,CDCA4,2.0,,,,,,,,,3.0,,,,,3.0,,,,2.0,,,,,2.0
ENSVKKG00000000248,NOP56,,,,,,,,,,,,,,,,,,1.0,,1.0,1.0,,1.0,
ENSVKKG00000000249,BVES,,,,2.0,,,,,,,2.0,,,,,,,,,,,,,2.0
ENSVKKG00000000250,SLC12A6,,,,,,,,,,,0.0,,,,,,,,0.0,0.0,0.0,,,0.0
ENSVKKG00000000251,ENSVKKG00000000251,,,,,,,,,,,,,,,,,,,,,,,,
ENSVKKG00000000253,PLRG1,,,,,,,,,,,,,,,,,,,,,,,,
ENSVKKG00000000254,ENSVKKG00000000254,0.0,,,,,,,,,,0.0,,,,1.0,,2.0,,,,,,,0.0
ENSVKKG00000000255,ENSVKKG00000000255,,,,0.0,,1.0,,,,,,,,,,,,,,,,,,
ENSVKKG00000000256,ENSVKKG00000000256,2.0,,,,,,,,,,,2.0,,,2.0,,,,2.0,,,,,
ENSVKKG00000000257,ALG14,,,,0.0,,,,,,,,,,,,,0.0,,,0.0,0.0,,,
ENSVKKG00000000258,AGO1,,,,,,,,,,,,,,,,,,,,,,,,
ENSVKKG00000000259,WDR62,,,,,0.0,,,,,,,,,,,,,,0.0,,,,,0.0
ENSVKKG00000000260,DCAF5,,,,3.0,,,,,,,,,,,,,,,3.0,,,,,
ENSVKKG00000000261,ENSVKKG00000000261,,,,0.0,,,,,,,,,,,,,,,,,,,,
ENSVKKG00000000262,INTS1,,,,,,0.0,,,,,,,,,,,,,,,,,,
ENSVKKG00000000263,LIN28B,,,,1.0,,,,,,,,,,,,,,,,,1.0,,,
ENSVKKG00000000264,SLC12A4,,,,,,,,,,,,,,,,,,,,,,,,
ENSVKKG00000000265,ENSVKKG00000000265,1.0,,,1.0,,,,,,,,,,,,,,,,,1.0,1.0,,
ENSVKKG00000000266,ENSVKKG00000000266,,,,,,,,,,,,,,,,,,,,,,,,
ENSVKKG00000000267,ASB13,,,,,0.0,,,,,,0.0,,,,,,,,,,0.0,,,
ENSVKKG00000000268,LRRCC1,,,,,,,,,,,,,,,,,,,,,,,,
ENSVKKG00000000269,DPF1,0.0,,,,,,,,,,0.0,0.0,,0.0,,,0.0,,0.0,,,,,
ENSVKKG00000000270,SERPINI1,,,,,,,,,,,,,,,,,,,,,,,,
ENSVKKG00000000274,CNN3,,,,,,,,,,,,,,,,,,,,,,,,
ENSVKKG00000000276,JAG2,,,,,,,,,,,,,,,,,,,,,,,,
ENSVKKG00000000278,FGB,,,,,,,,,,,,,,,,,,,,,,,,
ENSVKKG00000000279,NOP10,,,,,,,,,,,,,,,,,,,0.0,,,,,0.0
ENSVKKG00000000280,ENSVKKG00000000280,,,,,,1.0,,,,,,,,,,,,,,,,,,
ENSVKKG00000000281,BCL7C,,,2.0,,,2.0,,,,,,,,,,,,,2.0,,,1.0,,
ENSVKKG00000000282,PDCD10,,,,,,,,,,,,,,,,,,,,,,,,
ENSVKKG00000000283,PRDX1,,,,,,,,,,,,,,,,,,,,,,,,
ENSVKKG00000000284,ENSVKKG00000000284,,,,,,1.0,,,,,,,,,,,,,,,,,,
ENSVKKG00000000285,LPCAT4,,,,2.0,,,,,,,,,,,2.0,,,,2.0,,,,,
ENSVKKG00000000286,IDH3B,,,,2.0,,,,,,,,,,,,,,,1.0,,,,,
ENSVKKG00000000287,SH3PXD2A,,,,,,,,,,,,,,,,,,,,,,,,
ENSVKKG00000000288,CHGA,1.0,,,,,,,,1.0,,,,,,,,,,,,,,,
ENSVKKG00000000289,FGA,,,,,,,,,,,,,,,,,,,0.0,,,,,
ENSVKKG00000000290,ENSVKKG00000000290,,,,,,,,,,,,,,,,,,,,,,,,
