komodo_stable_id,komodo_name,turtle_painted_stable_id,turtle_painted_name,turtle_painted_orthology,crocodile_stable_id,crocodile_name,crocodile_orthology,chicken_109_stable_id,chicken_109_name,chicken_109_orthology,human_stable_id,human_name,human_orthology,mouse_stable_id,mouse_name,mouse_orthology
ENSVKKG00000018529,C2orf80,ENSCPBG00000020892,C2orf80,ortholog_one2one,ENSCPRG00005002051,C2orf80,ortholog_one2one,,,,ENSG00000188674,C2orf80,ortholog_one2one,"{'ENSMUSG00000044816', 'ENSMUSG00000100846'}","{'Gm28845', 'D630023F18Rik'}",ortholog_one2many
ENSVKKG00000000557,DPP6,ENSCPBG00000018233,DPP6,ortholog_one2one,ENSCPRG00005005025,DPP6,ortholog_one2one,ENSGALG00000041791,DPP6,ortholog_one2one,ENSG00000130226,DPP6,ortholog_one2one,ENSMUSG00000061576,Dpp6,ortholog_one2one
ENSVKKG00000016742,,ENSCPBG00000028220,,ortholog_one2one,ENSCPRG00005013295,,ortholog_one2one,ENSGALG00000013036,ATP6V1E1,ortholog_one2one,"{'ENSG00000250565', 'ENSG00000131100'}","{'ATP6V1E1', 'ATP6V1E2'}",ortholog_one2many,"{'ENSMUSG00000019210', 'ENSMUSG00000053375'}","{'Atp6v1e2', 'Atp6v1e1'}",ortholog_one2many
ENSVKKG00000014383,QPCTL,ENSCPBG00000004646,QPCTL,ortholog_one2one,,,,ENSGALG00000044210,QPCTL,ortholog_one2one,ENSG00000011478,QPCTL,ortholog_one2one,ENSMUSG00000030407,Qpctl,ortholog_one2one
ENSVKKG00000013164,PDLIM4,ENSCPBG00000016823,PDLIM4,ortholog_one2one,ENSCPRG00005009404,PDLIM4,ortholog_one2one,ENSGALG00000039872,PDLIM4,ortholog_one2one,ENSG00000131435,PDLIM4,ortholog_one2one,ENSMUSG00000020388,Pdlim4,ortholog_one2one
ENSVKKG00000013413,,ENSCPBG00000022007,,ortholog_one2one,ENSCPRG00005004639,,ortholog_one2one,ENSGALG00000003034,SS2,ortholog_one2one,,,,,,
ENSVKKG00000013430,,"{'ENSCPBG00000024119', 'ENSCPBG00000009657', 'ENSCPBG00000009654'}",,ortholog_many2many,,,,,,,,,,"{'ENSMUSG00000094098', 'ENSMUSG00000096743', 'ENSMUSG00000096180', 'ENSMUSG00000096399', 'ENSMUSG00000090662', 'ENSMUSG00000094107', 'ENSMUSG00000090892', 'ENSMUSG00000096373', 'ENSMUSG00000094606', 'ENSMUSG00000095730', 'ENSMUSG00000091930', 'ENSMUSG00000110105', 'ENSMUSG00000095773', 'ENSMUSG00000070847', 'ENSMUSG00000091794', 'ENSMUSG00000066820', 'ENSMUSG00000096294', 'ENSMUSG00000091651', 'ENSMUSG00000070841', 'ENSMUSG00000090342', 'ENSMUSG00000090864', 'ENSMUSG00000096691', 'ENSMUSG00000096658', 'ENSMUSG00000053720', 'ENSMUSG00000058685', 'ENSMUSG00000095914', 'ENSMUSG00000066828', 'ENSMUSG00000070844'}","{'Vmn2r45', 'Vmn2r47', 'Vmn2r46', 'Vmn2r36', 'Vmn2r51', 'Vmn2r18', 'Vmn2r29', 'Vmn2r28', 'Vmn2r37', 'Vmn2r43', 'Gm45844', 'Vmn2r41', 'Vmn2r42', 'Vmn2r48', 'Vmn2r52', 'Vmn2r34', 'Vmn2r33', 'Vmn2r50', 'Vmn2r38', 'Gm10302', 'Vmn2r31', 'Vmn2r39', 'Vmn2r32', 'Vmn2r49', 'Vmn2r35', 'Vmn2r30', 'Vmn2r40', 'Vmn2r44'}",ortholog_many2many
ENSVKKG00000007269,ZNF609,ENSCPBG00000006076,ZNF609,ortholog_one2one,ENSCPRG00005005286,ZNF609,ortholog_one2one,ENSGALG00000040087,ZNF609,ortholog_one2one,ENSG00000180357,ZNF609,ortholog_one2one,ENSMUSG00000040524,Zfp609,ortholog_one2one
ENSVKKG00000000661,FMNL3,ENSCPBG00000019686,FMNL3,ortholog_one2one,ENSCPRG00005001684,FMNL3,ortholog_one2one,ENSGALG00000055075,FMNL3,ortholog_one2one,ENSG00000161791,FMNL3,ortholog_one2one,ENSMUSG00000023008,Fmnl3,ortholog_one2one
ENSVKKG00000000296,SUCLA2,ENSCPBG00000008358,SUCLA2,ortholog_one2one,ENSCPRG00005002006,SUCLA2,ortholog_one2one,ENSGALG00000016993,SUCLA2,ortholog_one2one,ENSG00000136143,SUCLA2,ortholog_one2one,ENSMUSG00000022110,Sucla2,ortholog_one2one
ENSVKKG00000010419,LRRC30,,,,ENSCPRG00005010113,,ortholog_one2one,,,,ENSG00000206422,LRRC30,ortholog_one2one,ENSMUSG00000073375,Lrrc30,ortholog_one2one
ENSVKKG00000017172,GRIN2A,ENSCPBG00000026672,GRIN2A,ortholog_one2one,ENSCPRG00005003667,GRIN2A,ortholog_one2one,ENSGALG00000007278,GRIN2A,ortholog_one2one,ENSG00000183454,GRIN2A,ortholog_one2one,ENSMUSG00000059003,Grin2a,ortholog_one2one
ENSVKKG00000017397,EIF3H,ENSCPBG00000001641,EIF3H,ortholog_one2one,ENSCPRG00005007395,EIF3H,ortholog_one2one,ENSGALG00000040522,EIF3H,ortholog_one2one,ENSG00000147677,EIF3H,ortholog_one2one,ENSMUSG00000022312,Eif3h,ortholog_one2one
ENSVKKG00000012027,RCL1,ENSCPBG00000025481,RCL1,ortholog_one2one,ENSCPRG00005004387,RCL1,ortholog_one2one,ENSGALG00000015024,RCL1,ortholog_one2one,ENSG00000120158,RCL1,ortholog_one2one,ENSMUSG00000024785,Rcl1,ortholog_one2one
ENSVKKG00000016350,SLC25A53,ENSCPBG00000001556,SLC25A53,ortholog_one2one,ENSCPRG00005009497,SLC25A53,ortholog_one2one,,,,ENSG00000269743,SLC25A53,ortholog_one2one,ENSMUSG00000044348,Slc25a53,ortholog_one2one
ENSVKKG00000011140,REL,ENSCPBG00000026152,REL,ortholog_one2one,ENSCPRG00005013695,REL,ortholog_one2one,ENSGALG00000007845,REL,ortholog_one2one,ENSG00000162924,REL,ortholog_one2one,ENSMUSG00000020275,Rel,ortholog_one2one
ENSVKKG00000006576,MYH9,ENSCPBG00000016319,MYH9,ortholog_one2one,ENSCPRG00005018786,MYH9,ortholog_one2one,ENSGALG00000043092,MYH9,ortholog_one2one,ENSG00000100345,MYH9,ortholog_one2one,ENSMUSG00000022443,Myh9,ortholog_one2one
ENSVKKG00000015923,,ENSCPBG00000005018,,ortholog_one2one,,,,,,,ENSG00000137486,ARRB1,ortholog_one2one,ENSMUSG00000018909,Arrb1,ortholog_one2one
ENSVKKG00000010261,GTPBP6,ENSCPBG00000007520,GTPBP6,ortholog_one2one,ENSCPRG00005007374,GTPBP6,ortholog_one2one,ENSGALG00000016717,GTPBP6,ortholog_one2one,ENSG00000178605,GTPBP6,ortholog_one2one,ENSMUSG00000033434,Gtpbp6,ortholog_one2one
ENSVKKG00000018064,,ENSCPBG00000014014,,ortholog_one2one,ENSCPRG00005010002,,ortholog_one2one,ENSGALG00000039084,EVI2A,ortholog_one2one,"{'ENSG00000126860', 'ENSG00000265118'}","{'EVI2A', 'AC134669.1'}",ortholog_one2many,ENSMUSG00000078771,Evi2a,ortholog_one2one
ENSVKKG00000003102,TTC29,ENSCPBG00000027462,TTC29,ortholog_one2one,ENSCPRG00005008631,TTC29,ortholog_one2one,ENSGALG00000010009,TTC29,ortholog_one2one,ENSG00000137473,TTC29,ortholog_one2one,ENSMUSG00000037101,Ttc29,ortholog_one2one
ENSVKKG00000015070,KCTD9,ENSCPBG00000002787,KCTD9,ortholog_one2one,ENSCPRG00005014183,KCTD9,ortholog_one2one,ENSGALG00000000275,KCTD9,ortholog_one2one,ENSG00000104756,KCTD9,ortholog_one2one,ENSMUSG00000034327,Kctd9,ortholog_one2one
ENSVKKG00000011034,TMEM259,ENSCPBG00000009758,TMEM259,ortholog_one2one,ENSCPRG00005015111,TMEM259,ortholog_one2one,ENSGALG00000002029,TMEM259,ortholog_one2one,ENSG00000182087,TMEM259,ortholog_one2one,ENSMUSG00000013858,Tmem259,ortholog_one2one
ENSVKKG00000011460,,ENSCPBG00000024167,GRP,ortholog_one2one,,,,ENSGALG00000040959,GRP,ortholog_one2one,ENSG00000134443,GRP,ortholog_one2one,ENSMUSG00000024517,Grp,ortholog_one2one
ENSVKKG00000011204,HES6,ENSCPBG00000019247,HES6,ortholog_one2one,,,,ENSGALG00000048261,HES6,ortholog_one2one,ENSG00000144485,HES6,ortholog_one2one,ENSMUSG00000067071,Hes6,ortholog_one2one
ENSVKKG00000018622,,"{'ENSCPBG00000024119', 'ENSCPBG00000009657', 'ENSCPBG00000009654'}",,ortholog_many2many,,,,,,,,,,"{'ENSMUSG00000094098', 'ENSMUSG00000096743', 'ENSMUSG00000096180', 'ENSMUSG00000096399', 'ENSMUSG00000090662', 'ENSMUSG00000094107', 'ENSMUSG00000090892', 'ENSMUSG00000096373', 'ENSMUSG00000094606', 'ENSMUSG00000095730', 'ENSMUSG00000091930', 'ENSMUSG00000110105', 'ENSMUSG00000095773', 'ENSMUSG00000070847', 'ENSMUSG00000091794', 'ENSMUSG00000066820', 'ENSMUSG00000096294', 'ENSMUSG00000091651', 'ENSMUSG00000070841', 'ENSMUSG00000090342', 'ENSMUSG00000090864', 'ENSMUSG00000096691', 'ENSMUSG00000096658', 'ENSMUSG00000053720', 'ENSMUSG00000058685', 'ENSMUSG00000095914', 'ENSMUSG00000066828', 'ENSMUSG00000070844'}","{'Vmn2r45', 'Vmn2r47', 'Vmn2r46', 'Vmn2r36', 'Vmn2r51', 'Vmn2r18', 'Vmn2r29', 'Vmn2r28', 'Vmn2r37', 'Vmn2r43', 'Gm45844', 'Vmn2r41', 'Vmn2r42', 'Vmn2r48', 'Vmn2r52', 'Vmn2r34', 'Vmn2r33', 'Vmn2r50', 'Vmn2r38', 'Gm10302', 'Vmn2r31', 'Vmn2r39', 'Vmn2r32', 'Vmn2r49', 'Vmn2r35', 'Vmn2r30', 'Vmn2r40', 'Vmn2r44'}",ortholog_many2many
ENSVKKG00000008791,AGTPBP1,ENSCPBG00000005173,AGTPBP1,ortholog_one2one,ENSCPRG00005006984,AGTPBP1,ortholog_one2one,ENSGALG00000012595,AGTPBP1,ortholog_one2one,ENSG00000135049,AGTPBP1,ortholog_one2one,ENSMUSG00000021557,Agtpbp1,ortholog_one2one
ENSVKKG00000007334,ERI1,ENSCPBG00000027186,ERI1,ortholog_one2one,ENSCPRG00005006766,ERI1,ortholog_one2one,ENSGALG00000011448,ERI1,ortholog_one2one,ENSG00000104626,ERI1,ortholog_one2one,ENSMUSG00000031527,Eri1,ortholog_one2one
ENSVKKG00000002600,SMO,ENSCPBG00000017534,SMO,ortholog_one2one,ENSCPRG00005003575,SMO,ortholog_one2one,ENSGALG00000036114,SMO,ortholog_one2one,ENSG00000128602,SMO,ortholog_one2one,ENSMUSG00000001761,Smo,ortholog_one2one
ENSVKKG00000003214,ANO10,ENSCPBG00000022761,ANO10,ortholog_one2one,ENSCPRG00005005066,ANO10,ortholog_one2one,ENSGALG00000042371,ANO10,ortholog_one2one,ENSG00000160746,ANO10,ortholog_one2one,ENSMUSG00000037949,Ano10,ortholog_one2one
ENSVKKG00000002335,TRIO,ENSCPBG00000028362,TRIO,ortholog_one2one,ENSCPRG00005015283,TRIO,ortholog_one2one,ENSGALG00000031495,TRIO,ortholog_one2one,ENSG00000038382,TRIO,ortholog_one2one,ENSMUSG00000022263,Trio,ortholog_one2one
ENSVKKG00000007485,SMIM20,ENSCPBG00000027970,SMIM20,ortholog_one2one,ENSCPRG00005005197,,ortholog_one2one,ENSGALG00000022991,SMIM20,ortholog_one2one,ENSG00000250317,SMIM20,ortholog_one2one,ENSMUSG00000061461,Smim20,ortholog_one2one
ENSVKKG00000014055,SLC6A2,ENSCPBG00000012155,SLC6A2,ortholog_one2one,ENSCPRG00005002972,SLC6A2,ortholog_one2one,ENSGALG00000003560,SLC6A2,ortholog_one2one,ENSG00000103546,SLC6A2,ortholog_one2one,ENSMUSG00000055368,Slc6a2,ortholog_one2one
ENSVKKG00000003266,RPS21,ENSCPBG00000027132,RPS21,ortholog_one2one,ENSCPRG00005005632,RPS21,ortholog_one2one,ENSGALG00000005338,RPS21,ortholog_one2one,ENSG00000171858,RPS21,ortholog_one2one,ENSMUSG00000039001,Rps21,ortholog_one2one
ENSVKKG00000006910,GNG5,ENSCPBG00000025912,GNG5,ortholog_one2one,,,,ENSGALG00000027561,GNG5,ortholog_one2one,ENSG00000174021,GNG5,ortholog_one2one,"{'ENSMUSG00000117145', 'ENSMUSG00000068523'}","{'Gng5', 'Gm4356'}",ortholog_one2many
ENSVKKG00000011132,PAPOLG,ENSCPBG00000026150,PAPOLG,ortholog_one2one,ENSCPRG00005013702,PAPOLG,ortholog_one2one,ENSGALG00000007853,PAPOLG,ortholog_one2one,ENSG00000115421,PAPOLG,ortholog_one2one,ENSMUSG00000020273,Papolg,ortholog_one2one
ENSVKKG00000012406,MYOZ2,ENSCPBG00000024760,MYOZ2,ortholog_one2one,ENSCPRG00005004848,MYOZ2,ortholog_one2one,ENSGALG00000011991,MYOZ2,ortholog_one2one,ENSG00000172399,MYOZ2,ortholog_one2one,ENSMUSG00000028116,Myoz2,ortholog_one2one
ENSVKKG00000014019,MPP1,ENSCPBG00000005894,MPP1,ortholog_one2one,ENSCPRG00005000069,MPP1,ortholog_one2one,ENSGALG00000005071,MPP1,ortholog_one2one,ENSG00000130830,MPP1,ortholog_one2one,ENSMUSG00000031402,Mpp1,ortholog_one2one
ENSVKKG00000003929,HELLS,ENSCPBG00000025739,HELLS,ortholog_one2one,ENSCPRG00005002734,HELLS,ortholog_one2one,ENSGALG00000005451,HELLS,ortholog_one2one,ENSG00000119969,HELLS,ortholog_one2one,ENSMUSG00000025001,Hells,ortholog_one2one
ENSVKKG00000010341,,ENSCPBG00000024655,IL6R,ortholog_one2one,,,,ENSGALG00000030407,IL6R,ortholog_one2one,ENSG00000160712,IL6R,ortholog_one2one,ENSMUSG00000027947,Il6ra,ortholog_one2one
ENSVKKG00000012773,OCA2,ENSCPBG00000010289,OCA2,ortholog_one2one,ENSCPRG00005010998,OCA2,ortholog_one2one,ENSGALG00000016740,OCA2,ortholog_one2one,ENSG00000104044,OCA2,ortholog_one2one,ENSMUSG00000030450,Oca2,ortholog_one2one
ENSVKKG00000005199,SREK1,ENSCPBG00000026866,SREK1,ortholog_one2one,ENSCPRG00005017242,SREK1,ortholog_one2one,ENSGALG00000043541,SREK1,ortholog_one2one,ENSG00000153914,SREK1,ortholog_one2one,,,
ENSVKKG00000014650,TTC39B,ENSCPBG00000025312,TTC39B,ortholog_one2one,ENSCPRG00005001076,TTC39B,ortholog_one2one,ENSGALG00000005416,TTC39B,ortholog_one2one,ENSG00000155158,TTC39B,ortholog_one2one,"{'ENSMUSG00000046196', 'ENSMUSG00000038172'}","{'Ttc39b', 'Ttc39d'}",ortholog_one2many
ENSVKKG00000013835,CCDC3,ENSCPBG00000027810,CCDC3,ortholog_one2one,ENSCPRG00005000622,CCDC3,ortholog_one2one,ENSGALG00000030140,CCDC3,ortholog_one2one,ENSG00000151468,CCDC3,ortholog_one2one,ENSMUSG00000026676,Ccdc3,ortholog_one2one
ENSVKKG00000010284,PIK3C2B,ENSCPBG00000001168,PIK3C2B,ortholog_one2one,ENSCPRG00005010571,PIK3C2B,ortholog_one2one,ENSGALG00000037043,PIK3C2B,ortholog_one2one,ENSG00000133056,PIK3C2B,ortholog_one2one,ENSMUSG00000026447,Pik3c2b,ortholog_one2one
ENSVKKG00000018113,DGKB,ENSCPBG00000021818,DGKB,ortholog_one2one,ENSCPRG00005014724,DGKB,ortholog_one2one,ENSGALG00000033561,DGKB,ortholog_one2one,ENSG00000136267,DGKB,ortholog_one2one,ENSMUSG00000036095,Dgkb,ortholog_one2one
ENSVKKG00000004214,,ENSCPBG00000018650,,ortholog_one2one,,,,,,,,,,,,
ENSVKKG00000001854,AP2B1,ENSCPBG00000027826,AP2B1,ortholog_one2one,ENSCPRG00005005555,AP2B1,ortholog_one2one,ENSGALG00000042125,AP2B1,ortholog_one2one,ENSG00000006125,AP2B1,ortholog_one2one,ENSMUSG00000035152,Ap2b1,ortholog_one2one
ENSVKKG00000011961,BMF,ENSCPBG00000013578,BMF,ortholog_one2one,ENSCPRG00005018702,BMF,ortholog_one2one,ENSGALG00000014537,BMF,ortholog_one2one,ENSG00000104081,BMF,ortholog_one2one,ENSMUSG00000040093,Bmf,ortholog_one2one
ENSVKKG00000011625,C10orf71,ENSCPBG00000012803,C10orf71,ortholog_one2one,ENSCPRG00005017846,C10orf71,ortholog_one2one,ENSGALG00000027353,C10orf71,ortholog_one2one,ENSG00000177354,C10orf71,ortholog_one2one,ENSMUSG00000071540,3425401B19Rik,ortholog_one2one
ENSVKKG00000001859,BBOX1,ENSCPBG00000028028,BBOX1,ortholog_one2one,ENSCPRG00005007481,BBOX1,ortholog_one2one,ENSGALG00000013297,BBOX1,ortholog_one2one,ENSG00000129151,BBOX1,ortholog_one2one,ENSMUSG00000041660,Bbox1,ortholog_one2one
ENSVKKG00000002712,HCN2,ENSCPBG00000009906,HCN2,ortholog_one2one,ENSCPRG00005014925,HCN2,ortholog_one2one,ENSGALG00000001342,HCN2,ortholog_one2one,ENSG00000099822,HCN2,ortholog_one2one,ENSMUSG00000020331,Hcn2,ortholog_one2one
ENSVKKG00000003808,EIF4EBP2,ENSCPBG00000025890,EIF4EBP2,ortholog_one2one,ENSCPRG00005009613,EIF4EBP2,ortholog_one2one,ENSGALG00000037904,EIF4EBP2,ortholog_one2one,ENSG00000148730,EIF4EBP2,ortholog_one2one,ENSMUSG00000020091,Eif4ebp2,ortholog_one2one
ENSVKKG00000009437,PNRC1,ENSCPBG00000019920,PNRC1,ortholog_one2one,ENSCPRG00005016899,PNRC1,ortholog_one2one,ENSGALG00000015780,PNRC1,ortholog_one2one,ENSG00000146278,PNRC1,ortholog_one2one,ENSMUSG00000040128,Pnrc1,ortholog_one2one
ENSVKKG00000006102,,ENSCPBG00000013137,,ortholog_one2one,,,,,,,ENSG00000237693,IRGM,ortholog_one2one,"{'ENSMUSG00000078853', 'ENSMUSG00000069874', 'ENSMUSG00000046879'}","{'Irgm1', 'Igtp', 'Irgm2'}",ortholog_one2many
ENSVKKG00000003272,SCG3,ENSCPBG00000027854,SCG3,ortholog_one2one,ENSCPRG00005013902,SCG3,ortholog_one2one,ENSGALG00000043583,SCG3,ortholog_one2one,ENSG00000104112,SCG3,ortholog_one2one,ENSMUSG00000032181,Scg3,ortholog_one2one
ENSVKKG00000009403,,ENSCPBG00000008175,,ortholog_one2one,ENSCPRG00005001717,,ortholog_one2one,,,,"{'ENSG00000123171', 'ENSG00000174015'}","{'CCDC70', 'CBY2'}",ortholog_one2many,"{'ENSMUSG00000034689', 'ENSMUSG00000034913', 'ENSMUSG00000017049'}","{'Spertl', 'Ccdc70', 'Cby2'}",ortholog_one2many
ENSVKKG00000014086,GSE1,ENSCPBG00000023555,GSE1,ortholog_one2one,ENSCPRG00005006721,GSE1,ortholog_one2one,ENSGALG00000031896,GSE1,ortholog_one2one,ENSG00000131149,GSE1,ortholog_one2one,ENSMUSG00000031822,Gse1,ortholog_one2one
ENSVKKG00000004110,SLC6A18,ENSCPBG00000015980,SLC6A18,ortholog_one2one,ENSCPRG00005014172,SLC6A18,ortholog_one2one,ENSGALG00000013180,SLC6A18,ortholog_one2one,ENSG00000164363,SLC6A18,ortholog_one2one,ENSMUSG00000021612,Slc6a18,ortholog_one2one
ENSVKKG00000004365,CFAP97D1,ENSCPBG00000027628,CFAP97D1,ortholog_one2one,,,,ENSGALG00000046316,CFAP97D1,ortholog_one2one,ENSG00000231256,CFAP97D1,ortholog_one2one,ENSMUSG00000010841,Cfap97d1,ortholog_one2one
ENSVKKG00000001849,,ENSCPBG00000000411,,ortholog_one2many,,,,,,,ENSG00000228336,OR9H1P,ortholog_one2many,"{'ENSMUSG00000046300', 'ENSMUSG00000049806', 'ENSMUSG00000063583', 'ENSMUSG00000061616', 'ENSMUSG00000058904', 'ENSMUSG00000062497'}","{'Olfr1411', 'Olfr1410', 'Olfr12', 'Olfr466', 'Olfr1412', 'Olfr1413'}",ortholog_many2many
ENSVKKG00000017261,,ENSCPBG00000020902,,ortholog_one2one,,,,,,,,,,,,
ENSVKKG00000001578,,,,,ENSCPRG00005002125,,ortholog_one2one,,,,,,,ENSMUSG00000047773,Ankfn1,ortholog_one2one
