ref_komodo_stable_id,komodo_stable_id,chicken_grcg6a_stable_id,crocodile_stable_id,turtle_painted_stable_id
ENSVKKG00000003199,,ENSGALG00000038395,,
ENSVKKG00000015636,,ENSGALG00000039786,,
ENSVKKG00000002064,,,,ENSCPBG00000006558
ENSVKKG00000005707,,ENSGALG00000009445,,
ENSVKKG00000009092,,ENSGALG00000026297,,
ENSVKKG00000003855,,ENSGALG00000004325,,
ENSVKKG00000001932,,ENSGALG00000000158,,
ENSVKKG00000008275,,ENSGALG00000003217,,
ENSVKKG00000008943,,,,ENSCPBG00000002228
ENSVKKG00000018215,,,,ENSCPBG00000009911
ENSVKKG00000003379,,ENSGALG00000004004,,
ENSVKKG00000002852,,ENSGALG00000030598,,
ENSVKKG00000017352,,ENSGALG00000004161,,
ENSVKKG00000006003,,ENSGALG00000000516,,
ENSVKKG00000014096,,ENSGALG00000001551,,
ENSVKKG00000016932,ENSVKKG00000016932,ENSGALG00000008022,,
ENSVKKG00000017057,,,,ENSCPBG00000025562
ENSVKKG00000000768,,ENSGALG00000031390,,
ENSVKKG00000009166,ENSVKKG00000009166,ENSGALG00000019555,,
ENSVKKG00000017700,,ENSGALG00000014226,,
ENSVKKG00000002555,,ENSGALG00000003677,,
ENSVKKG00000011009,,"{'ENSGALG00000014184', 'ENSGALG00000036001'}",,
ENSVKKG00000011900,ENSVKKG00000011900,,,
ENSVKKG00000004468,,ENSGALG00000031862,,ENSCPBG00000024090
ENSVKKG00000009288,,ENSGALG00000025747,,
ENSVKKG00000013522,,"{'ENSGALG00000040546', 'ENSGALG00000040886'}",,ENSCPBG00000015008
ENSVKKG00000005834,ENSVKKG00000005834,ENSGALG00000016651,,
ENSVKKG00000015578,,ENSGALG00000004493,,
ENSVKKG00000009553,,ENSGALG00000030866,,
ENSVKKG00000003815,,ENSGALG00000012348,,
ENSVKKG00000015341,,ENSGALG00000018874,,
ENSVKKG00000017620,,ENSGALG00000013867,,
ENSVKKG00000002744,,ENSGALG00000034615,,
ENSVKKG00000003947,,ENSGALG00000012997,,
ENSVKKG00000010272,,ENSGALG00000016727,,
ENSVKKG00000008225,,,,ENSCPBG00000012253
ENSVKKG00000012705,,ENSGALG00000051163,,
ENSVKKG00000012165,,ENSGALG00000009626,,
ENSVKKG00000013747,,ENSGALG00000001428,,
ENSVKKG00000006796,,ENSGALG00000017098,,
ENSVKKG00000010115,ENSVKKG00000010115,,,
ENSVKKG00000002761,,ENSGALG00000014999,ENSCPRG00005001004,
ENSVKKG00000009350,,,ENSCPRG00005018473,
ENSVKKG00000007456,,ENSGALG00000006566,,
ENSVKKG00000003916,,ENSGALG00000008956,,ENSCPBG00000003902
ENSVKKG00000016401,ENSVKKG00000016401,,,
ENSVKKG00000002276,ENSVKKG00000002276,ENSGALG00000002982,,
ENSVKKG00000016622,ENSVKKG00000016622,ENSGALG00000012545,,ENSCPBG00000026594
ENSVKKG00000017351,,ENSGALG00000039011,,
ENSVKKG00000006694,,ENSGALG00000027645,,
ENSVKKG00000008265,,ENSGALG00000000377,,
ENSVKKG00000005700,,ENSGALG00000002485,,
ENSVKKG00000014658,,ENSGALG00000016144,,
ENSVKKG00000004114,,ENSGALG00000013187,,
ENSVKKG00000006333,ENSVKKG00000006333,,,
ENSVKKG00000016784,,ENSGALG00000001664,,
ENSVKKG00000010442,ENSVKKG00000010442,,,
ENSVKKG00000011039,,ENSGALG00000016559,,
ENSVKKG00000012433,,ENSGALG00000016926,,
ENSVKKG00000006055,,ENSGALG00000036234,,
ENSVKKG00000005265,ENSVKKG00000005265,ENSGALG00000037726,,
ENSVKKG00000013327,ENSVKKG00000013327,ENSGALG00000013495,,
ENSVKKG00000007892,ENSVKKG00000007892,,,
ENSVKKG00000007834,,ENSGALG00000036028,,ENSCPBG00000009671
ENSVKKG00000014289,,ENSGALG00000007609,,
ENSVKKG00000012526,,"{'ENSGALG00000048828', 'ENSGALG00000052770'}",,ENSCPBG00000024756
ENSVKKG00000005314,ENSVKKG00000005314,,,
ENSVKKG00000018371,,ENSGALG00000028501,,
ENSVKKG00000017654,,"{'ENSGALG00000049497', 'ENSGALG00000013505'}",,"{'ENSCPBG00000016384', 'ENSCPBG00000016476'}"
ENSVKKG00000007422,ENSVKKG00000007422,ENSGALG00000016286,,
ENSVKKG00000015778,,ENSGALG00000000142,,
ENSVKKG00000007871,,ENSGALG00000003562,,
ENSVKKG00000003518,,ENSGALG00000034649,,
ENSVKKG00000009812,,ENSGALG00000011221,,
ENSVKKG00000002091,,ENSGALG00000006639,,
ENSVKKG00000009369,,ENSGALG00000017019,,
ENSVKKG00000012354,,ENSGALG00000009076,,
ENSVKKG00000015597,,ENSGALG00000009305,,
ENSVKKG00000018401,,ENSGALG00000012747,,
ENSVKKG00000006729,,ENSGALG00000042875,,
ENSVKKG00000016242,,ENSGALG00000002769,,ENSCPBG00000019527
ENSVKKG00000005197,,ENSGALG00000014773,,
ENSVKKG00000003264,,ENSGALG00000005553,,
ENSVKKG00000013196,,,,"{'ENSCPBG00000008106', 'ENSCPBG00000008430'}"
ENSVKKG00000017232,,ENSGALG00000015324,,
ENSVKKG00000001067,ENSVKKG00000001067,ENSGALG00000006138,,ENSCPBG00000014633
ENSVKKG00000014363,ENSVKKG00000014363,,,
ENSVKKG00000000612,,"{'ENSGALG00000052037', 'ENSGALG00000034376'}",,
ENSVKKG00000001837,,,,ENSCPBG00000011338
ENSVKKG00000008640,,ENSGALG00000010214,,
ENSVKKG00000006967,,ENSGALG00000044985,,
ENSVKKG00000004082,,ENSGALG00000000775,,
ENSVKKG00000001713,,ENSGALG00000012374,,
ENSVKKG00000000579,,ENSGALG00000041344,ENSCPRG00005000432,
ENSVKKG00000009522,,ENSGALG00000026137,,
ENSVKKG00000013771,,ENSGALG00000016228,,
ENSVKKG00000012285,,ENSGALG00000010023,,
ENSVKKG00000008737,,ENSGALG00000005612,,
ENSVKKG00000011567,ENSVKKG00000011567,,,
ENSVKKG00000003326,ENSVKKG00000003326,,,
ENSVKKG00000010122,,ENSGALG00000008957,,
ENSVKKG00000017201,,ENSGALG00000007079,,
ENSVKKG00000004050,,"{'ENSGALG00000014734', 'ENSGALG00000027170'}",,
ENSVKKG00000011128,,ENSGALG00000034048,,
ENSVKKG00000007719,,ENSGALG00000023415,,
ENSVKKG00000014724,,ENSGALG00000027314,,
ENSVKKG00000003812,ENSVKKG00000003812,,,
ENSVKKG00000018544,,ENSGALG00000008589,,
ENSVKKG00000016117,,ENSGALG00000000909,,
ENSVKKG00000005786,,"{'ENSGALG00000035803', 'ENSGALG00000052452'}",,
ENSVKKG00000014890,ENSVKKG00000014890,,,
ENSVKKG00000015672,,ENSGALG00000004771,,
ENSVKKG00000014079,,ENSGALG00000034111,,
ENSVKKG00000006595,,ENSGALG00000013598,,
ENSVKKG00000015232,,"{'ENSGALG00000031624', 'ENSGALG00000049433', 'ENSGALG00000033375', 'ENSGALG00000048791', 'ENSGALG00000054384', 'ENSGALG00000046502', 'ENSGALG00000050779', 'ENSGALG00000044644', 'ENSGALG00000054765', 'ENSGALG00000053004', 'ENSGALG00000052703', 'ENSGALG00000055118', 'ENSGALG00000048139', 'ENSGALG00000052122', 'ENSGALG00000044093', 'ENSGALG00000046627', 'ENSGALG00000045686', 'ENSGALG00000045473', 'ENSGALG00000054588', 'ENSGALG00000048818', 'ENSGALG00000039866', 'ENSGALG00000054710', 'ENSGALG00000044626', 'ENSGALG00000051950', 'ENSGALG00000047648', 'ENSGALG00000046594', 'ENSGALG00000054195', 'ENSGALG00000032041', 'ENSGALG00000039504', 'ENSGALG00000050408', 'ENSGALG00000037650', 'ENSGALG00000046135', 'ENSGALG00000054321', 'ENSGALG00000052568', 'ENSGALG00000045468', 'ENSGALG00000049047', 'ENSGALG00000050595', 'ENSGALG00000051595', 'ENSGALG00000053792', 'ENSGALG00000051627', 'ENSGALG00000044984', 'ENSGALG00000049682', 'ENSGALG00000045087', 'ENSGALG00000050467', 'ENSGALG00000031289', 'ENSGALG00000049695', 'ENSGALG00000050090', 'ENSGALG00000041961', 'ENSGALG00000054615', 'ENSGALG00000053180', 'ENSGALG00000048863', 'ENSGALG00000053566', 'ENSGALG00000044709', 'ENSGALG00000044801', 'ENSGALG00000050896', 'ENSGALG00000052808', 'ENSGALG00000051602', 'ENSGALG00000054782', 'ENSGALG00000050915', 'ENSGALG00000049503', 'ENSGALG00000051713', 'ENSGALG00000053277', 'ENSGALG00000033729', 'ENSGALG00000050179', 'ENSGALG00000046865', 'ENSGALG00000052724', 'ENSGALG00000054157', 'ENSGALG00000046983', 'ENSGALG00000030636', 'ENSGALG00000053626', 'ENSGALG00000053042', 'ENSGALG00000050967', 'ENSGALG00000029868', 'ENSGALG00000037731', 'ENSGALG00000052010', 'ENSGALG00000051010', 'ENSGALG00000048677', 'ENSGALG00000047838', 'ENSGALG00000042500', 'ENSGALG00000054095', 'ENSGALG00000046490', 'ENSGALG00000052373', 'ENSGALG00000046735', 'ENSGALG00000050569', 'ENSGALG00000052105', 'ENSGALG00000052814', 'ENSGALG00000054171', 'ENSGALG00000053284', 'ENSGALG00000050192', 'ENSGALG00000048884', 'ENSGALG00000053380', 'ENSGALG00000052092', 'ENSGALG00000053708', 'ENSGALG00000054158', 'ENSGALG00000048198', 'ENSGALG00000049362', 'ENSGALG00000050820', 'ENSGALG00000048989', 'ENSGALG00000032862', 'ENSGALG00000049660', 'ENSGALG00000045164', 'ENSGALG00000047202', 'ENSGALG00000046785', 'ENSGALG00000055001', 'ENSGALG00000046106', 'ENSGALG00000048491', 'ENSGALG00000050824', 'ENSGALG00000048941', 'ENSGALG00000047699', 'ENSGALG00000049046', 'ENSGALG00000047262', 'ENSGALG00000053283', 'ENSGALG00000053052', 'ENSGALG00000052585', 'ENSGALG00000044662', 'ENSGALG00000054298', 'ENSGALG00000047597', 'ENSGALG00000050785', 'ENSGALG00000053734', 'ENSGALG00000049120', 'ENSGALG00000038975', 'ENSGALG00000039298', 'ENSGALG00000034411', 'ENSGALG00000052621', 'ENSGALG00000049325', 'ENSGALG00000047927', 'ENSGALG00000051974', 'ENSGALG00000033787', 'ENSGALG00000052141', 'ENSGALG00000048752', 'ENSGALG00000047135', 'ENSGALG00000047508', 'ENSGALG00000052357', 'ENSGALG00000045823', 'ENSGALG00000048767', 'ENSGALG00000045090', 'ENSGALG00000049846', 'ENSGALG00000052270', 'ENSGALG00000054769', 'ENSGALG00000053381', 'ENSGALG00000038256', 'ENSGALG00000047192', 'ENSGALG00000032371', 'ENSGALG00000047431', 'ENSGALG00000032887', 'ENSGALG00000032820', 'ENSGALG00000051622', 'ENSGALG00000041342', 'ENSGALG00000051284', 'ENSGALG00000048562', 'ENSGALG00000044439', 'ENSGALG00000049317', 'ENSGALG00000048126', 'ENSGALG00000052430', 'ENSGALG00000047180'}",,
ENSVKKG00000010809,,ENSGALG00000010569,,
ENSVKKG00000001072,ENSVKKG00000001072,,,
ENSVKKG00000018548,,ENSGALG00000008115,,ENSCPBG00000001167
ENSVKKG00000000494,,ENSGALG00000008409,,ENSCPBG00000024383
ENSVKKG00000017191,,ENSGALG00000011224,,
ENSVKKG00000013968,ENSVKKG00000013968,,,
ENSVKKG00000009135,,ENSGALG00000013956,,
ENSVKKG00000017735,,ENSGALG00000014233,,
ENSVKKG00000002936,,ENSGALG00000041666,,
ENSVKKG00000008734,,"{'ENSGALG00000050442', 'ENSGALG00000016815'}",,
ENSVKKG00000009554,,ENSGALG00000043209,,
ENSVKKG00000015790,,ENSGALG00000047771,,
ENSVKKG00000018240,,,ENSCPRG00005015654,
ENSVKKG00000016450,ENSVKKG00000016450,,,
ENSVKKG00000013946,ENSVKKG00000013946,ENSGALG00000007700,,
ENSVKKG00000002319,,ENSGALG00000026167,,
ENSVKKG00000018680,,ENSGALG00000007769,,ENSCPBG00000000850
ENSVKKG00000014437,,ENSGALG00000032329,,
ENSVKKG00000007661,,ENSGALG00000002201,,
ENSVKKG00000011232,,ENSGALG00000002974,,
ENSVKKG00000018488,,ENSGALG00000008335,,
ENSVKKG00000006645,,,,ENSCPBG00000023519
ENSVKKG00000015678,,ENSGALG00000005905,,
ENSVKKG00000000393,,ENSGALG00000052088,,
ENSVKKG00000004587,,ENSGALG00000006602,,
ENSVKKG00000013511,,ENSGALG00000007768,,
ENSVKKG00000011582,ENSVKKG00000011582,,,
ENSVKKG00000005645,,,,ENSCPBG00000012766
ENSVKKG00000009152,,ENSGALG00000047827,,
ENSVKKG00000013620,,ENSGALG00000003922,,
ENSVKKG00000014622,,ENSGALG00000007374,,
ENSVKKG00000012431,,ENSGALG00000016927,,
ENSVKKG00000017224,ENSVKKG00000017224,ENSGALG00000015346,,
ENSVKKG00000005618,,,ENSCPRG00005010695,
ENSVKKG00000013664,,ENSGALG00000007511,,
ENSVKKG00000009539,,ENSGALG00000003272,,
ENSVKKG00000008341,ENSVKKG00000008341,ENSGALG00000002525,,
ENSVKKG00000012940,,ENSGALG00000016967,,
ENSVKKG00000008065,,ENSGALG00000028496,,
ENSVKKG00000010477,,ENSGALG00000039811,,ENSCPBG00000007672
ENSVKKG00000014253,ENSVKKG00000014253,ENSGALG00000014182,,
ENSVKKG00000005309,ENSVKKG00000005309,,,
ENSVKKG00000007548,,ENSGALG00000004974,,
ENSVKKG00000000828,,ENSGALG00000000721,,
ENSVKKG00000010698,,ENSGALG00000016497,,
ENSVKKG00000016525,,"{'ENSGALG00000044293', 'ENSGALG00000054344'}",,
ENSVKKG00000005471,,ENSGALG00000026038,,
ENSVKKG00000010488,,ENSGALG00000015770,,
ENSVKKG00000017357,,ENSGALG00000042182,,
ENSVKKG00000015365,ENSVKKG00000015365,,,
ENSVKKG00000011555,,,,ENSCPBG00000016180
ENSVKKG00000005542,,ENSGALG00000011490,,
ENSVKKG00000016089,,ENSGALG00000028996,,
ENSVKKG00000016304,,"{'ENSGALG00000044187', 'ENSGALG00000054086'}",,
ENSVKKG00000016805,,ENSGALG00000011489,,
ENSVKKG00000003062,,ENSGALG00000028643,,
ENSVKKG00000015157,,ENSGALG00000038589,,
ENSVKKG00000004471,,ENSGALG00000049360,,
ENSVKKG00000012441,,ENSGALG00000002487,,
ENSVKKG00000004761,ENSVKKG00000004761,ENSGALG00000039327,,
ENSVKKG00000004359,,ENSGALG00000009929,,
ENSVKKG00000015123,,ENSGALG00000002984,,
ENSVKKG00000011858,,ENSGALG00000005998,,
ENSVKKG00000011428,ENSVKKG00000011428,,,
ENSVKKG00000008969,,ENSGALG00000021273,,
ENSVKKG00000015588,,ENSGALG00000009331,,
ENSVKKG00000003915,,ENSGALG00000008949,,
ENSVKKG00000005353,,ENSGALG00000006964,,
ENSVKKG00000002967,ENSVKKG00000002967,,,
ENSVKKG00000006550,,ENSGALG00000049812,,
ENSVKKG00000017030,,ENSGALG00000008095,,
ENSVKKG00000010113,,ENSGALG00000008962,,
ENSVKKG00000012907,,ENSGALG00000010961,,ENSCPBG00000022464
ENSVKKG00000015002,ENSVKKG00000015002,,,ENSCPBG00000023639
ENSVKKG00000017315,,ENSGALG00000040620,,
ENSVKKG00000013689,ENSVKKG00000013689,,,
ENSVKKG00000005008,ENSVKKG00000005008,ENSGALG00000045085,ENSCPRG00005017770,
ENSVKKG00000003500,,,,ENSCPBG00000015595
ENSVKKG00000013076,ENSVKKG00000013076,ENSGALG00000028018,,
ENSVKKG00000000928,,"{'ENSGALG00000039701', 'ENSGALG00000000141', 'ENSGALG00000034319', 'ENSGALG00000044502', 'ENSGALG00000053266', 'ENSGALG00000030940'}",,
ENSVKKG00000014222,,ENSGALG00000001382,,
ENSVKKG00000003340,,ENSGALG00000004334,,
ENSVKKG00000009506,,ENSGALG00000022718,,
ENSVKKG00000017942,,ENSGALG00000004834,,
ENSVKKG00000002524,ENSVKKG00000002524,,,
ENSVKKG00000018421,ENSVKKG00000018421,,,
ENSVKKG00000014865,,ENSGALG00000033356,,
ENSVKKG00000009421,,ENSGALG00000008628,,
ENSVKKG00000002543,ENSVKKG00000002543,ENSGALG00000003661,,
ENSVKKG00000003118,,ENSGALG00000005745,,
ENSVKKG00000016431,,ENSGALG00000017366,,
ENSVKKG00000001809,,ENSGALG00000009293,,
ENSVKKG00000007216,ENSVKKG00000007216,ENSGALG00000002167,,ENSCPBG00000006150
ENSVKKG00000001493,,ENSGALG00000009616,,
ENSVKKG00000000031,,ENSGALG00000014915,,
ENSVKKG00000013918,,ENSGALG00000016205,,
ENSVKKG00000002885,,"{'ENSGALG00000047000', 'ENSGALG00000009809'}",,
ENSVKKG00000000801,,ENSGALG00000016304,,
ENSVKKG00000003327,,ENSGALG00000016570,,
ENSVKKG00000009147,,,ENSCPRG00005017224,
ENSVKKG00000012749,ENSVKKG00000012749,,,
ENSVKKG00000014768,,ENSGALG00000006057,,
ENSVKKG00000017100,,ENSGALG00000042375,,
ENSVKKG00000006536,,ENSGALG00000042990,,
ENSVKKG00000015579,,"{'ENSGALG00000047346', 'ENSGALG00000004515'}",,
ENSVKKG00000007836,ENSVKKG00000007836,"{'ENSGALG00000034511', 'ENSGALG00000013911'}",,
ENSVKKG00000010513,,ENSGALG00000012074,,
ENSVKKG00000015477,,,,ENSCPBG00000017838
ENSVKKG00000016294,,ENSGALG00000000410,,
ENSVKKG00000004309,,ENSGALG00000048285,,
ENSVKKG00000016605,,,ENSCPRG00005008268,
ENSVKKG00000012403,,,,ENSCPBG00000024767
ENSVKKG00000015069,,ENSGALG00000006937,,
ENSVKKG00000011346,,ENSGALG00000006460,,
ENSVKKG00000007381,,ENSGALG00000031010,,
ENSVKKG00000011363,ENSVKKG00000011363,ENSGALG00000030291,,
ENSVKKG00000001756,ENSVKKG00000001756,,,
ENSVKKG00000017213,,ENSGALG00000011324,,
ENSVKKG00000008186,ENSVKKG00000008186,,,
ENSVKKG00000006488,,,,ENSCPBG00000022046
ENSVKKG00000012834,,ENSGALG00000040182,,
ENSVKKG00000015649,,ENSGALG00000035254,,
ENSVKKG00000005798,,ENSGALG00000017262,,
ENSVKKG00000004395,,ENSGALG00000039221,,
ENSVKKG00000010894,,ENSGALG00000007924,,
ENSVKKG00000009305,,,,"{'ENSCPBG00000007587', 'ENSCPBG00000007583'}"
ENSVKKG00000018424,,ENSGALG00000003484,,
ENSVKKG00000006990,,ENSGALG00000040832,,
ENSVKKG00000005164,,,,ENSCPBG00000000969
ENSVKKG00000004850,,ENSGALG00000014740,,
ENSVKKG00000003352,ENSVKKG00000003352,,,
ENSVKKG00000005611,,ENSGALG00000003547,,
ENSVKKG00000008428,,"{'ENSGALG00000047524', 'ENSGALG00000014347'}",,
ENSVKKG00000010649,ENSVKKG00000010649,,,
ENSVKKG00000013675,,,,ENSCPBG00000003075
ENSVKKG00000014908,,ENSGALG00000000273,,
ENSVKKG00000008632,,ENSGALG00000012613,,
ENSVKKG00000016577,,ENSGALG00000010269,,
ENSVKKG00000014198,,ENSGALG00000034395,,
ENSVKKG00000013696,,ENSGALG00000003438,,
ENSVKKG00000005506,,ENSGALG00000002080,,
ENSVKKG00000000891,,ENSGALG00000009690,,
ENSVKKG00000005387,,"{'ENSGALG00000000871', 'ENSGALG00000032614', 'ENSGALG00000028988', 'ENSGALG00000006443', 'ENSGALG00000027166'}",,
ENSVKKG00000016647,,ENSGALG00000008838,,
ENSVKKG00000000763,,"{'ENSGALG00000016325', 'ENSGALG00000038652', 'ENSGALG00000028551'}",,
ENSVKKG00000006656,ENSVKKG00000006656,ENSGALG00000002099,,
ENSVKKG00000012391,,ENSGALG00000001569,,
ENSVKKG00000003191,,ENSGALG00000012117,,
ENSVKKG00000000318,,ENSGALG00000036645,,
ENSVKKG00000017142,,ENSGALG00000002056,,
ENSVKKG00000003528,,ENSGALG00000004707,,
ENSVKKG00000014338,,"{'ENSGALG00000041558', 'ENSGALG00000053399'}",,
ENSVKKG00000016158,ENSVKKG00000016158,,,
ENSVKKG00000017275,ENSVKKG00000017275,,,
ENSVKKG00000005425,,ENSGALG00000044519,,
ENSVKKG00000010297,,ENSGALG00000029446,,
ENSVKKG00000009190,ENSVKKG00000009190,ENSGALG00000012830,,
ENSVKKG00000007590,,ENSGALG00000014935,,ENSCPBG00000027577
ENSVKKG00000008699,,ENSGALG00000006908,,
ENSVKKG00000013927,,ENSGALG00000016196,,
ENSVKKG00000014605,,ENSGALG00000007287,,
ENSVKKG00000009227,,ENSGALG00000033446,,
ENSVKKG00000017724,,ENSGALG00000040923,,
ENSVKKG00000011831,,,,ENSCPBG00000012510
ENSVKKG00000015645,,ENSGALG00000009228,,
ENSVKKG00000010123,,,,ENSCPBG00000002520
ENSVKKG00000018331,,ENSGALG00000025810,,
ENSVKKG00000012379,,ENSGALG00000009157,,
ENSVKKG00000018324,,ENSGALG00000030602,,
ENSVKKG00000005844,,ENSGALG00000054685,,
ENSVKKG00000013190,,ENSGALG00000007431,,
ENSVKKG00000012785,,ENSGALG00000040044,,
ENSVKKG00000011205,,ENSGALG00000005521,,
ENSVKKG00000010213,,ENSGALG00000016883,,
ENSVKKG00000016993,,ENSGALG00000033677,,
ENSVKKG00000003342,ENSVKKG00000003342,ENSGALG00000033338,,
ENSVKKG00000002123,,ENSGALG00000047929,,
ENSVKKG00000015257,ENSVKKG00000015257,,,
ENSVKKG00000000972,,ENSGALG00000015075,,
ENSVKKG00000010933,,ENSGALG00000010692,,
ENSVKKG00000002302,,ENSGALG00000001244,,
ENSVKKG00000006271,,ENSGALG00000028709,,
ENSVKKG00000015984,,ENSGALG00000016042,,
ENSVKKG00000004398,ENSVKKG00000004398,,,
ENSVKKG00000014159,,ENSGALG00000029367,,
ENSVKKG00000000960,,,,ENSCPBG00000013161
ENSVKKG00000010357,,ENSGALG00000003883,,
ENSVKKG00000005013,,,,ENSCPBG00000006245
ENSVKKG00000013376,ENSVKKG00000013376,,,
