source,term_name,term_id,highlighted,adjusted_p_value,negative_log10_of_adjusted_p_value,term_size,query_size,intersection_size,effective_domain_size,intersections
GO:MF,sialic acid binding,GO:0033691,TRUE,1.23E-08,7.909520852,22,1167,13,20195,"ENSG00000007908,ENSG00000105366,ENSG00000105383,ENSG00000105492,ENSG00000129450,ENSG00000142512,ENSG00000161640,ENSG00000168995,ENSG00000254415,ENSG00000254521,ENSG00000268500,ENSG00000105695,ENSG00000179213"
GO:MF,estrogen 16-alpha-hydroxylase activity,GO:0101020,TRUE,8.64141E-06,5.063415154,8,1167,7,20195,"ENSG00000138061,ENSG00000140465,ENSG00000140505,ENSG00000021461,ENSG00000106258,ENSG00000160868,ENSG00000160870"
GO:MF,complement receptor activity,GO:0004875,FALSE,9.21601E-06,5.035457111,11,1167,8,20195,"ENSG00000134830,ENSG00000142511,ENSG00000171049,ENSG00000171051,ENSG00000171860,ENSG00000187474,ENSG00000197405,ENSG00000214943"
GO:MF,bile acid:sodium symporter activity,GO:0008508,TRUE,1.97779E-05,4.703819329,6,1167,6,20195,"ENSG00000100652,ENSG00000125255,ENSG00000126903,ENSG00000145248,ENSG00000145283,ENSG00000253598"
GO:MF,C-C chemokine receptor activity,GO:0016493,FALSE,0.000123038,3.90996249,23,1167,10,20195,"ENSG00000121797,ENSG00000121807,ENSG00000160791,ENSG00000163823,ENSG00000179934,ENSG00000183625,ENSG00000183813,ENSG00000144648,ENSG00000168329,ENSG00000173578"
GO:MF,C-C chemokine binding,GO:0019957,TRUE,0.000199993,3.698985799,24,1167,10,20195,"ENSG00000121797,ENSG00000121807,ENSG00000160791,ENSG00000163823,ENSG00000179934,ENSG00000183625,ENSG00000183813,ENSG00000144648,ENSG00000168329,ENSG00000173578"
GO:MF,growth hormone receptor binding,GO:0005131,TRUE,0.000305429,3.515090275,11,1167,7,20195,"ENSG00000105397,ENSG00000136487,ENSG00000136488,ENSG00000204414,ENSG00000213218,ENSG00000259384,ENSG00000285947"
GO:MF,ethanolamine kinase activity,GO:0004305,TRUE,0.000343646,3.463889138,5,1167,5,20195,"ENSG00000100288,ENSG00000110721,ENSG00000139163,ENSG00000143845,ENSG00000254413"
GO:MF,exogenous lipid antigen binding,GO:0030884,FALSE,0.000343646,3.463889138,5,1167,5,20195,"ENSG00000158473,ENSG00000158477,ENSG00000158481,ENSG00000158485,ENSG00000158488"
GO:MF,lipid antigen binding,GO:0030882,FALSE,0.000343646,3.463889138,5,1167,5,20195,"ENSG00000158473,ENSG00000158477,ENSG00000158481,ENSG00000158485,ENSG00000158488"
GO:MF,endogenous lipid antigen binding,GO:0030883,FALSE,0.000343646,3.463889138,5,1167,5,20195,"ENSG00000158473,ENSG00000158477,ENSG00000158481,ENSG00000158485,ENSG00000158488"
GO:MF,chemokine receptor activity,GO:0004950,FALSE,0.000487008,3.31246353,26,1167,10,20195,"ENSG00000121797,ENSG00000121807,ENSG00000160791,ENSG00000163823,ENSG00000179934,ENSG00000183625,ENSG00000183813,ENSG00000144648,ENSG00000168329,ENSG00000173578"
GO:MF,G protein-coupled chemoattractant receptor activity,GO:0001637,FALSE,0.000487008,3.31246353,26,1167,10,20195,"ENSG00000121797,ENSG00000121807,ENSG00000160791,ENSG00000163823,ENSG00000179934,ENSG00000183625,ENSG00000183813,ENSG00000144648,ENSG00000168329,ENSG00000173578"
GO:MF,chemokine binding,GO:0019956,FALSE,0.000732406,3.135248166,33,1167,11,20195,"ENSG00000121797,ENSG00000121807,ENSG00000160791,ENSG00000163823,ENSG00000179934,ENSG00000183625,ENSG00000183813,ENSG00000144648,ENSG00000168329,ENSG00000173578,ENSG00000189403"
GO:MF,organic acid binding,GO:0043177,FALSE,0.00142632,2.845783141,216,1167,31,20195,"ENSG00000186188,ENSG00000079557,ENSG00000080546,ENSG00000081051,ENSG00000130766,ENSG00000149212,ENSG00000163631,ENSG00000166900,ENSG00000007908,ENSG00000105366,ENSG00000105383,ENSG00000105492,ENSG00000129450,ENSG00000142512,ENSG00000161640,ENSG00000168995,ENSG00000170890,ENSG00000254415,ENSG00000254521,ENSG00000268500,ENSG00000105695,ENSG00000135766,ENSG00000145451,ENSG00000162444,ENSG00000179213,ENSG00000188536,ENSG00000196262,ENSG00000206172,ENSG00000213931,ENSG00000287856,ENSG00000241635"
GO:MF,lipopeptide binding,GO:0071723,TRUE,0.001427817,2.845327398,9,1167,6,20195,"ENSG00000129988,ENSG00000158473,ENSG00000158477,ENSG00000158481,ENSG00000158485,ENSG00000158488"
GO:MF,immunoglobulin receptor binding,GO:0034987,TRUE,0.001629498,2.787946177,81,1167,17,20195,"ENSG00000211937,ENSG00000211951,ENSG00000211974,ENSG00000259303,ENSG00000274576,ENSG00000211933,ENSG00000211952,ENSG00000211956,ENSG00000211959,ENSG00000211970,ENSG00000224373,ENSG00000231475,ENSG00000259261,ENSG00000276775,ENSG00000278263,ENSG00000211899,ENSG00000248385"
GO:MF,serine-type peptidase activity,GO:0008236,TRUE,0.001970634,2.705394106,198,1167,29,20195,"ENSG00000007038,ENSG00000010438,ENSG00000103023,ENSG00000122194,ENSG00000129437,ENSG00000129455,ENSG00000137648,ENSG00000137745,ENSG00000142515,ENSG00000167748,ENSG00000167749,ENSG00000167751,ENSG00000167754,ENSG00000167757,ENSG00000169035,ENSG00000186474,ENSG00000204983,ENSG00000258223,ENSG00000275896,ENSG00000112812,ENSG00000139610,ENSG00000162438,ENSG00000168925,ENSG00000168928,ENSG00000175497,ENSG00000196415,ENSG00000197561,ENSG00000205403,ENSG00000285330"
