ref_komodo_stable_id,chicken_grcg6a_stable_id,chicken_grcg6a_name,chicken_grcg6a_pic_4_logFC,chicken_grcg6a_pic_4_QValue,chicken_grcg6a_pic_8_logFC,chicken_grcg6a_pic_8_QValue,crocodile_stable_id,crocodile_name,crocodile_pic_4_logFC,crocodile_pic_4_QValue,turtle_painted_stable_id,turtle_painted_name,turtle_painted_pic_4_logFC,turtle_painted_pic_4_QValue,turtle_painted_pic_8_logFC,turtle_painted_pic_8_QValue,komodo_stable_id,komodo_name,komodo_pic_4_logFC,komodo_pic_4_QValue
ENSVKKG00000010872,,,,,,,ENSCPRG00005002745,SLC1A7,2.279643589,0.917893542,,,,,,,,,,
ENSVKKG00000002876,,,,,,,ENSCPRG00005005873,CHRNA4,2.261729473,0.917893542,,,,,,,,,,
ENSVKKG00000014065,,,,,,,ENSCPRG00005006344,WFDC1,2.245325501,0.917893542,,,,,,,,,,
ENSVKKG00000017354,,,,,,,ENSCPRG00005006594,ZFPM2,2.171272858,0.917893542,,,,,,,,,,
ENSVKKG00000016616,ENSGALG00000012481,TNFAIP6,,,1.645776595,0.025863181,ENSCPRG00005008363,TNFAIP6,2.128968651,0.917893542,,,,,,,,,,
ENSVKKG00000005618,,,,,,,ENSCPRG00005010695,ENO4,2.095322414,0.917893542,,,,,,,,,,
ENSVKKG00000017513,,,,,,,ENSCPRG00005016363,CFAP161,2.010734426,0.917893542,,,,,,,,,,
ENSVKKG00000002357,,,,,,,ENSCPRG00005017250,ST6GALNAC5,1.980176178,0.917893542,,,,,,,,,,
ENSVKKG00000009160,ENSGALG00000006565,,1.815858006,0.091883725,2.679421034,0.000337903,ENSCPRG00005002055,,1.964780809,0.917893542,,,,,,,,,,
ENSVKKG00000009913,,,,,,,ENSCPRG00005015199,LPAR1,1.931875085,0.917893542,,,,,,,,,,
ENSVKKG00000015998,,,,,,,ENSCPRG00005015274,RCAN1,1.914004679,0.917893542,,,,,,,,,,
ENSVKKG00000010128,,,,,,,ENSCPRG00005002150,VCAN,1.896073642,0.917893542,,,,,,,,,,
ENSVKKG00000003384,ENSGALG00000002549,RGS1,3.046709164,1.03E-22,3.333571318,2.53E-32,ENSCPRG00005000959,RGS1,1.839568483,0.917893542,,,,,,,,,,
ENSVKKG00000016494,,,,,,,ENSCPRG00005007293,EREG,1.795491517,0.917893542,,,,,,,,,,
ENSVKKG00000012947,ENSGALG00000026163,TNFSF11,,,1.392999495,0.025880059,ENSCPRG00005001171,TNFSF11,1.775193621,0.917893542,,,,,,,ENSVKKG00000012947,TNFSF11,1.315988393,0.35305015
ENSVKKG00000007635,ENSGALG00000009446,LSMEM1,4.93142664,3.49E-06,4.606337642,0.000666134,ENSCPRG00005009897,LSMEM1,1.732698536,0.917893542,,,,,,,,,,
ENSVKKG00000010828,,,,,,,ENSCPRG00005012708,EPS8,1.708202963,0.917893542,,,,,,,,,,
ENSVKKG00000010090,,,,,,,ENSCPRG00005006009,NPNT,1.707613313,0.917893542,,,,,,,,,,
ENSVKKG00000010946,,,,,,,ENSCPRG00005012862,RBM11,1.696414007,0.917893542,,,,,,,,,,
ENSVKKG00000003640,ENSGALG00000029211,FKBP6,3.827932694,0.037626824,4.275038942,0.024043183,ENSCPRG00005006637,FKBP6,1.672210831,0.917893542,,,,,,,,,,
ENSVKKG00000012465,ENSGALG00000003932,SDC4,7.050911746,6.16E-40,6.111254883,1.04E-41,ENSCPRG00005012010,SDC4,1.639041494,0.917893542,,,,,,,ENSVKKG00000012465,SDC4,1.776055774,0.000499351
ENSVKKG00000014451,,,,,,,ENSCPRG00005002423,,1.628186132,0.917893542,,,,,,,,,,
ENSVKKG00000000008,ENSGALG00000049422,ATF3,2.472007229,7.41E-11,2.227018172,2.20E-12,ENSCPRG00005000494,ATF3,1.612102259,0.917893542,ENSCPBG00000010168,ATF3,,,1.657222061,0.762037745,,,,
ENSVKKG00000010876,,,,,,,ENSCPRG00005009535,CEP19,1.551051951,0.917893542,,,,,,,,,,
ENSVKKG00000009147,,,,,,,ENSCPRG00005017224,PTPN5,1.521030074,0.917893542,,,,,,,,,,
ENSVKKG00000007844,,,,,,,ENSCPRG00005009593,LRRFIP2,1.50055223,0.917893542,,,,,,,,,,
ENSVKKG00000015816,ENSGALG00000028037,FOS,3.733397921,3.27E-25,2.540880917,4.21E-15,ENSCPRG00005005033,FOS,1.475690322,0.917893542,ENSCPBG00000026248,FOS,1.695757056,1,2.079798378,0.580012959,,,,
ENSVKKG00000008926,,,,,,,ENSCPRG00005017334,HOMER1,1.47092808,0.917893542,,,,,,,,,,
ENSVKKG00000001095,ENSGALG00000039705,GFPT2,,,1.147187039,0.095382277,ENSCPRG00005011486,GFPT2,1.45238924,0.917893542,,,,,,,,,,
ENSVKKG00000016627,ENSGALG00000012538,NR4A2,5.570125228,7.58E-23,4.688804416,1.82E-37,ENSCPRG00005008903,NR4A2,1.445281931,0.917893542,ENSCPBG00000026617,NR4A2,0.96567693,1,,,,,,
ENSVKKG00000016867,,,,,,,ENSCPRG00005017674,SLC22A3,1.440955,0.917893542,,,,,,,,,,
ENSVKKG00000000579,,,,,,,ENSCPRG00005000432,FABP5,1.43342456,0.917893542,,,,,,,,,,
ENSVKKG00000000728,,,,,,,ENSCPRG00005016092,UBE2V2,1.428111947,0.917893542,,,,,,,,,,
ENSVKKG00000007656,ENSGALG00000013568,NR4A3,2.962050933,1.18E-11,2.125731472,1.39E-08,ENSCPRG00005013476,NR4A3,1.425334215,0.917893542,,,,,,,,,,
ENSVKKG00000017755,ENSGALG00000006511,BCL2A1,2.797275316,6.49E-07,1.996124317,0.000317316,ENSCPRG00005016772,BCL2A1,1.414365147,0.917893542,,,,,,,ENSVKKG00000017755,BCL2A1,2.136111941,0.007722164
ENSVKKG00000016605,,,,,,,ENSCPRG00005008268,LYPD6,1.404383187,0.917893542,,,,,,,,,,
ENSVKKG00000018730,,,,,,,ENSCPRG00005013089,OGFRL1,1.388452417,0.917893542,,,,,,,,,,
ENSVKKG00000006919,,,,,,,ENSCPRG00005017026,SSX2IP,1.36865893,0.917893542,,,,,,,,,,
ENSVKKG00000013807,ENSGALG00000023821,DHX58,4.452433088,1.27E-42,4.156598822,1.54E-40,ENSCPRG00005005375,DHX58,1.330248833,0.917893542,,,,,,,ENSVKKG00000013807,DHX58,5.53388603,8.27E-53
ENSVKKG00000015010,,,,,,,ENSCPRG00005005521,LYVE1,1.254074761,0.917893542,,,,,,,,,,
ENSVKKG00000009105,ENSGALG00000013861,TNFAIP3,3.310201946,8.37E-28,2.812439112,1.63E-23,ENSCPRG00005001541,TNFAIP3,1.223880072,0.917893542,,,,,,,ENSVKKG00000009105,TNFAIP3,2.054890676,3.23E-09
ENSVKKG00000017840,ENSGALG00000007356,MAP3K8,3.542174701,1.01E-27,2.741910497,2.50E-19,ENSCPRG00005007912,MAP3K8,1.213754327,0.917893542,ENSCPBG00000015870,MAP3K8,1.324989178,1,1.650111652,0.591339667,ENSVKKG00000017840,MAP3K8,1.13136196,0.101500837
ENSVKKG00000003532,ENSGALG00000004593,SULF2,1.534029327,0.000270155,1.41310388,0.000409045,ENSCPRG00005010196,SULF2,1.197743041,0.917893542,,,,,,,,,,
ENSVKKG00000018240,,,,,,,ENSCPRG00005015654,SSB,1.17150686,0.917893542,,,,,,,,,,
ENSVKKG00000012851,,,,,,,ENSCPRG00005015577,CIRBP,1.143311816,0.917893542,,,,,,,,,,
ENSVKKG00000012649,,,,,,,ENSCPRG00005018782,TANK,1.037142601,0.917893542,,,,,,,,,,
ENSVKKG00000007749,,,,,,,ENSCPRG00005002961,LRPAP1,1.013392024,0.917893542,,,,,,,,,,
ENSVKKG00000011687,ENSGALG00000040360,DUSP1,3.541229464,1.25E-19,3.154803015,7.06E-14,ENSCPRG00005007884,DUSP1,0.952785035,0.917893542,ENSCPBG00000007611,DUSP1,1.472574176,1,1.323318018,0.85206066,,,,
ENSVKKG00000012051,ENSGALG00000010870,JUN,2.626407277,3.55E-11,1.933643282,3.91E-08,ENSCPRG00005005941,JUN,0.889312902,0.917893542,ENSCPBG00000014255,JUN,1.779713432,1,2.40283196,0.254485341,,,,
ENSVKKG00000004907,ENSGALG00000009639,DDX60,10.96730999,1.87E-98,11.63967272,4.88E-127,,,,,ENSCPBG00000027534,DDX60,1.375141661,1,1.929768137,0.31094201,ENSVKKG00000004907,DDX60,7.855035926,5.44E-37
ENSVKKG00000017164,ENSGALG00000007158,SOCS1,6.427860299,1.56E-70,5.557109907,1.22E-73,,,,,ENSCPBG00000006512,SOCS1,1.833029223,1,2.595362894,0.477588392,ENSVKKG00000017164,SOCS1,2.451648362,1.32E-12
ENSVKKG00000008651,ENSGALG00000016788,IL18RAP,6.67222668,3.46E-59,5.337910022,2.38E-40,,,,,,,,,,,ENSVKKG00000008651,IL18RAP,4.661171655,2.53E-19
ENSVKKG00000010367,ENSGALG00000041192,IFIH1,6.304638747,5.44E-58,5.518537896,7.27E-68,,,,,,,,,,,ENSVKKG00000010367,IFIH1,3.626064846,1.24E-22
ENSVKKG00000005249,ENSGALG00000050943,RNF19B,5.378129782,5.74E-57,4.757043771,8.96E-59,,,,,,,,,,,ENSVKKG00000005249,RNF19B,2.27128249,3.00E-11
ENSVKKG00000007850,ENSGALG00000037629,TRANK1,5.930152066,1.65E-54,5.921185833,5.16E-60,,,,,,,,,,,ENSVKKG00000007850,TRANK1,5.680968503,1.24E-31
ENSVKKG00000006276,ENSGALG00000016400,RSAD2,5.586737358,6.44E-50,4.746441245,2.19E-52,,,,,ENSCPBG00000014146,RSAD2,,,3.268501321,0.788818143,ENSVKKG00000006276,RSAD2,6.68886646,7.50E-42
ENSVKKG00000010948,ENSGALG00000015662,,9.93596769,9.72E-50,9.939078042,2.98E-53,,,,,ENSCPBG00000028339,,1.906655511,1,1.971387129,0.435923873,ENSVKKG00000010948,,3.389925507,7.99E-18
ENSVKKG00000003556,ENSGALG00000007701,B3GNT7,7.601836547,3.63E-48,6.439499331,4.07E-45,,,,,,,,,,,,,,
ENSVKKG00000001926,ENSGALG00000010149,CMTR1,4.906313795,2.29E-47,4.949151047,2.03E-51,,,,,,,,,,,ENSVKKG00000001926,CMTR1,1.603948422,7.46E-05
ENSVKKG00000003884,ENSGALG00000032618,DUSP5,7.174253318,2.37E-46,6.140688831,4.78E-42,,,,,,,,,,,,,,
ENSVKKG00000014627,ENSGALG00000046098,,4.621741538,7.80E-46,4.639201961,5.97E-50,,,,,,,,,,,ENSVKKG00000014627,,4.490223297,1.30E-11
ENSVKKG00000016175,ENSGALG00000007874,IL18,5.094729487,1.68E-45,4.167055262,4.00E-36,,,,,,,,,,,ENSVKKG00000016175,IL18,1.044883773,0.284138088
ENSVKKG00000009858,ENSGALG00000013057,,4.7741204,1.13E-44,4.443863878,1.18E-50,,,,,,,,,,,ENSVKKG00000009858,,5.84401184,1.53E-48
ENSVKKG00000015071,ENSGALG00000006944,,6.630414531,6.65E-44,5.139330215,3.97E-19,,,,,,,,,,,,,,
ENSVKKG00000008439,ENSGALG00000028005,GADD45G,4.799687235,2.49E-43,4.01452284,1.16E-27,,,,,ENSCPBG00000005658,GADD45G,1.23125623,1,2.590217188,0.020481038,ENSVKKG00000008439,GADD45G,0.661694921,0.648375182
ENSVKKG00000011363,ENSGALG00000030291,IRF9,4.652193569,6.48E-43,3.882739049,1.65E-39,,,,,,,,,,,ENSVKKG00000011363,,3.586442832,1.43E-06
ENSVKKG00000018354,ENSGALG00000027533,RNF24,4.576475304,6.32E-42,4.47302795,8.24E-50,,,,,,,,,,,,,,
ENSVKKG00000007422,ENSGALG00000016286,CXorf21,4.67950735,8.91E-42,3.873852511,9.00E-36,,,,,,,,,,,ENSVKKG00000007422,CXorf21,3.169300731,0.000612443
ENSVKKG00000012887,ENSGALG00000016759,MITD1,4.642635622,1.47E-41,4.645384352,1.83E-47,,,,,,,,,,,ENSVKKG00000012887,MITD1,2.695796645,2.20E-13
ENSVKKG00000009481,ENSGALG00000027874,CHAC1,4.645047447,1.15E-40,4.819644965,4.64E-54,,,,,,,,,,,,,,
ENSVKKG00000007829,ENSGALG00000011544,BCL2L14,4.486255978,9.06E-39,3.279778947,2.50E-22,,,,,,,,,,,,,,
ENSVKKG00000001067,ENSGALG00000006138,HELZ2,5.503675831,1.02E-38,4.775451774,2.08E-34,,,,,ENSCPBG00000014633,HELZ2,,,2.679778488,0.762037745,ENSVKKG00000001067,HELZ2,3.407066882,4.21E-12
ENSVKKG00000011696,ENSGALG00000002886,NKX2-5,7.789820244,5.28E-38,6.488395301,6.15E-21,,,,,,,,,,,,,,
ENSVKKG00000003760,ENSGALG00000001256,NLRC5,4.130395695,6.45E-38,4.107402561,1.25E-43,,,,,,,,,,,ENSVKKG00000003760,,3.129835497,0.000338159
ENSVKKG00000012299,ENSGALG00000019094,PHF11,4.086424542,4.16E-37,3.897380446,1.51E-43,,,,,,,,,,,,,,
ENSVKKG00000011337,ENSGALG00000003624,KLHL10,4.924500601,3.58E-36,5.04057937,4.50E-52,,,,,,,,,,,,,,
ENSVKKG00000017454,ENSGALG00000011182,DLL1,7.706916344,2.25E-35,8.380036873,1.33E-51,,,,,,,,,,,,,,
ENSVKKG00000016316,ENSGALG00000003651,NT5C3B,4.251915073,2.68E-35,4.201381622,1.27E-37,,,,,,,,,,,,,,
ENSVKKG00000012837,ENSGALG00000043118,ATP10A,4.560114093,3.00E-34,3.079621976,6.15E-21,,,,,,,,,,,,,,
ENSVKKG00000000119,ENSGALG00000005408,BCO1,3.910782574,1.29E-33,3.582342438,7.12E-33,,,,,,,,,,,,,,
ENSVKKG00000007216,ENSGALG00000002167,PATL2,4.511871379,1.78E-33,4.356204643,6.74E-39,,,,,ENSCPBG00000006150,PATL2,,,1.622051015,0.799489863,ENSVKKG00000007216,PATL2,1.220400985,0.47958709
ENSVKKG00000000935,ENSGALG00000026970,,5.100248602,4.51E-33,5.763013323,2.44E-51,,,,,,,,,,,ENSVKKG00000000935,,3.438864889,1.02E-06
ENSVKKG00000000689,ENSGALG00000014811,SMCHD1,3.941709168,4.61E-33,4.014955992,4.40E-39,,,,,,,,,,,ENSVKKG00000000689,SMCHD1,2.108357977,3.66E-09
ENSVKKG00000017334,ENSGALG00000013503,FAM149A,4.182757949,4.48E-32,3.842079255,6.00E-34,,,,,,,,,,,,,,
ENSVKKG00000016612,ENSGALG00000012480,NMI,4.06147993,1.12E-31,3.682766513,9.94E-33,,,,,,,,,,,ENSVKKG00000016612,NMI,2.067819315,5.67E-10
ENSVKKG00000016407,ENSGALG00000039269,RNF213,3.987670757,3.10E-31,3.70709563,3.07E-28,,,,,,,,,,,ENSVKKG00000016407,RNF213,4.499790908,5.51E-15
ENSVKKG00000017362,ENSGALG00000029983,ANGPT1,5.682472162,4.60E-31,4.32033527,1.02E-16,,,,,,,,,,,,,,
ENSVKKG00000010328,ENSGALG00000041978,K123,4.739585515,1.79E-30,3.979011228,5.60E-29,,,,,,,,,,,ENSVKKG00000010328,,1.600304398,0.001492455
ENSVKKG00000002984,ENSGALG00000008739,MINDY3,3.493507445,2.06E-30,3.698855269,1.75E-32,,,,,,,,,,,,,,
ENSVKKG00000018550,ENSGALG00000008098,NAMPTP1,3.624914312,3.27E-30,3.251857253,6.18E-25,,,,,,,,,,,ENSVKKG00000018550,NAMPT,1.495681737,0.000157731
ENSVKKG00000017224,ENSGALG00000015346,NFKBIZ,3.939840878,4.17E-30,3.445274943,1.29E-25,,,,,,,,,,,ENSVKKG00000017224,NFKBIZ,1.747909171,1.16E-06
ENSVKKG00000018165,ENSGALG00000010700,RPA3,3.55298938,2.13E-29,3.062138154,1.11E-25,,,,,,,,,,,,,,
ENSVKKG00000006912,ENSGALG00000003642,PDGFA,5.875562163,2.45E-29,6.140532424,3.85E-37,,,,,,,,,,,,,,
ENSVKKG00000018458,ENSGALG00000040444,SEMA3C,5.08023855,3.25E-29,3.863036127,1.27E-16,,,,,,,,,,,,,,
ENSVKKG00000008782,ENSGALG00000043208,TRAFD1,3.500223591,3.33E-29,3.50007595,3.09E-33,,,,,,,,,,,,,,
ENSVKKG00000012760,ENSGALG00000052643,C15orf48,3.978050432,3.33E-29,3.797104668,7.93E-40,,,,,,,,,,,,,,
ENSVKKG00000004541,ENSGALG00000027786,SOCS3,5.454385585,9.94E-29,3.905599211,2.84E-19,,,,,,,,,,,ENSVKKG00000004541,SOCS3,3.664660251,2.01E-08
ENSVKKG00000003142,ENSGALG00000012075,DTX3L,3.50517499,1.66E-28,3.251549855,1.45E-29,,,,,,,,,,,ENSVKKG00000003142,DTX3L,2.339267902,1.87E-12
ENSVKKG00000017425,ENSGALG00000032746,ENPP2,4.571364971,1.72E-28,4.448171665,2.61E-34,,,,,,,,,,,,,,
ENSVKKG00000002709,ENSGALG00000007651,STAT1,3.726244899,2.97E-28,3.849818105,1.94E-35,,,,,,,,,,,ENSVKKG00000002709,STAT1,3.758954353,1.95E-25
ENSVKKG00000006816,ENSGALG00000015122,TAF4B,4.347630695,4.54E-28,3.382059503,6.92E-18,,,,,ENSCPBG00000021084,TAF4B,,,1.827144388,0.81305575,,,,
ENSVKKG00000010297,ENSGALG00000029446,,4.396859745,6.13E-28,3.948876297,7.77E-36,,,,,,,,,,,,,,
ENSVKKG00000004994,ENSGALG00000006343,ACTA2,3.964016534,7.74E-28,3.051081865,1.28E-09,,,,,,,,,,,,,,
ENSVKKG00000009928,ENSGALG00000037686,NBN,3.695395891,8.06E-28,3.633579098,1.71E-31,,,,,,,,,,,,,,
ENSVKKG00000009191,ENSGALG00000013642,KAZN,4.547216675,2.49E-27,4.183427431,1.14E-22,,,,,,,,,,,,,,
ENSVKKG00000013329,ENSGALG00000030907,CSF3,7.697569471,2.93E-27,7.198823035,8.10E-17,,,,,,,,,,,ENSVKKG00000013329,CSF3,5.039792215,2.51E-10
ENSVKKG00000016610,ENSGALG00000051954,RBM43,3.205713198,5.87E-27,3.094728138,1.87E-30,,,,,,,,,,,,,,
ENSVKKG00000012392,ENSGALG00000001605,PPM1J,3.476052359,3.13E-26,3.111045165,2.05E-20,,,,,ENSCPBG00000018491,PPM1J,,,1.293331172,0.580012959,,,,
ENSVKKG00000002708,ENSGALG00000033087,STAT4,3.842432357,6.34E-26,4.216785484,7.58E-35,,,,,,,,,,,,,,
ENSVKKG00000014959,ENSGALG00000007052,PXK,3.180320056,9.84E-26,3.132437985,6.27E-29,,,,,,,,,,,ENSVKKG00000014959,PXK,1.744088173,2.70E-05
ENSVKKG00000009401,ENSGALG00000017199,MAML2,3.748308837,1.01E-25,2.954298646,2.61E-15,,,,,,,,,,,,,,
ENSVKKG00000004410,ENSGALG00000014297,IRF7,4.368668899,1.07E-25,3.809759378,3.84E-35,,,,,,,,,,,ENSVKKG00000004410,IRF7,2.506521812,0.012046048
ENSVKKG00000011039,ENSGALG00000016559,PIGA,3.464532191,1.60E-25,3.104648163,1.27E-28,,,,,,,,,,,,,,
ENSVKKG00000003784,ENSGALG00000036942,KCNA3,3.568361499,1.93E-25,2.736379408,6.39E-22,,,,,,,,,,,,,,
ENSVKKG00000017333,ENSGALG00000013468,TLR3,4.415327483,4.95E-25,3.915139643,7.15E-42,,,,,,,,,,,,,,
ENSVKKG00000015112,ENSGALG00000015712,SLBP,8.042333897,1.03E-24,8.493051232,1.20E-29,,,,,,,,,,,,,,
ENSVKKG00000008842,ENSGALG00000012576,RASEF,6.20411767,1.07E-24,5.203503974,1.47E-16,,,,,,,,,,,,,,
ENSVKKG00000003772,ENSGALG00000049427,RELT,6.691480054,1.09E-24,5.26417012,1.91E-09,,,,,,,,,,,,,,
ENSVKKG00000014623,ENSGALG00000007381,,3.709436546,1.43E-24,4.14611116,2.52E-37,,,,,,,,,,,,,,
ENSVKKG00000008341,ENSGALG00000002525,RASGEF1A,4.844853799,1.90E-24,3.269578297,6.63E-17,,,,,,,,,,,ENSVKKG00000008341,RASGEF1A,2.068513608,2.31E-07
ENSVKKG00000012907,ENSGALG00000010961,IGF2BP3,3.418228421,3.52E-23,3.274375604,1.42E-26,,,,,ENSCPBG00000022464,IGF2BP3,2.095639192,1,,,,,,
ENSVKKG00000013457,ENSGALG00000011531,APAF1,3.295243102,5.91E-23,3.338215475,2.38E-27,,,,,,,,,,,,,,
ENSVKKG00000008990,ENSGALG00000032260,IL10RA,3.491927915,7.65E-23,2.718806011,2.68E-24,,,,,ENSCPBG00000020857,IL10RA,1.556451381,1,1.317759574,0.762037745,ENSVKKG00000008990,,1.142280482,0.00580101
ENSVKKG00000010549,ENSGALG00000027345,SLC46A2,3.773050334,1.33E-22,1.803852724,1.15E-06,,,,,,,,,,,,,,
ENSVKKG00000005224,ENSGALG00000038146,,3.023289056,1.53E-22,2.786226175,2.06E-23,,,,,,,,,,,,,,
ENSVKKG00000010930,ENSGALG00000028290,C1H21ORF91,2.858230217,3.40E-22,2.684109465,1.99E-23,,,,,,,,,,,,,,
ENSVKKG00000010825,ENSGALG00000010629,TUT4,2.901732363,6.40E-22,2.873122074,1.48E-24,,,,,,,,,,,ENSVKKG00000010825,TUT4,1.379988465,0.000517789
ENSVKKG00000013409,ENSGALG00000002888,CASZ1,3.661123133,1.26E-21,3.10332372,1.39E-16,,,,,,,,,,,,,,
ENSVKKG00000008040,ENSGALG00000003614,AZIN2,2.884598109,1.82E-21,2.745779455,1.56E-21,,,,,,,,,,,,,,
ENSVKKG00000014080,ENSGALG00000005757,IRF8,2.987666387,2.19E-21,2.229968956,2.25E-16,,,,,,,,,,,,,,
ENSVKKG00000009824,ENSGALG00000037933,FSBP,4.291575596,2.44E-21,3.330180169,2.76E-08,,,,,,,,,,,,,,
ENSVKKG00000011338,ENSGALG00000006479,CCM2L,10.3535393,2.49E-21,8.576176689,1.99E-08,,,,,,,,,,,,,,
ENSVKKG00000001202,ENSGALG00000046187,PARP12,3.068714905,2.56E-21,3.013283238,4.97E-27,,,,,,,,,,,ENSVKKG00000001202,PARP12,2.177701388,1.62E-07
ENSVKKG00000006365,ENSGALG00000028982,CMPK2,3.582634829,5.01E-21,3.162124871,1.46E-19,,,,,,,,,,,ENSVKKG00000006365,CMPK2,4.814774744,1.66E-25
ENSVKKG00000000351,ENSGALG00000035952,KIAA1143,3.249608304,1.50E-20,2.933031659,1.57E-19,,,,,,,,,,,,,,
ENSVKKG00000016846,ENSGALG00000004111,GPR174,2.842120909,2.04E-20,3.091590093,1.15E-28,,,,,,,,,,,ENSVKKG00000016846,,0.923908551,0.167139321
ENSVKKG00000009537,ENSGALG00000032335,MARCKSL1,6.014432952,2.05E-20,5.205215219,1.35E-17,,,,,,,,,,,,,,
ENSVKKG00000012383,ENSGALG00000009179,TNFSF10,3.476854646,7.95E-20,3.480671601,6.38E-23,,,,,,,,,,,ENSVKKG00000012383,TNFSF10,3.199816149,1.10E-12
ENSVKKG00000000276,ENSGALG00000011696,JAG2,6.2009049,2.42E-19,5.055561927,3.91E-09,,,,,,,,,,,,,,
ENSVKKG00000004529,ENSGALG00000010638,CASP3,2.830407101,3.35E-19,3.194440843,5.12E-28,,,,,,,,,,,,,,
ENSVKKG00000001604,ENSGALG00000003144,TRIM25,3.876713135,5.20E-19,3.609422072,5.63E-22,,,,,,,,,,,ENSVKKG00000001604,TRIM25,2.85964004,4.57E-16
ENSVKKG00000007021,ENSGALG00000023364,CDC42EP4,2.778196538,5.67E-19,1.914804298,3.62E-08,,,,,,,,,,,,,,
ENSVKKG00000018000,ENSGALG00000016912,EDNRB,8.813825109,6.32E-19,6.506611722,8.34E-14,,,,,,,,,,,,,,
ENSVKKG00000016205,ENSGALG00000002832,IFI35,2.802976844,8.25E-19,2.229944182,2.30E-15,,,,,,,,,,,ENSVKKG00000016205,IFI35,1.524360825,0.000149895
