ref_komodo_stable_id,chicken_grcg6a_stable_id,chicken_grcg6a_name,chicken_grcg6a_lps_4_logFC,chicken_grcg6a_lps_4_QValue,chicken_grcg6a_lps_8_logFC,chicken_grcg6a_lps_8_QValue,chicken_grcg6a_lps_24_logFC,chicken_grcg6a_lps_24_QValue,turtle_painted_stable_id,turtle_painted_name,turtle_painted_lps_4_logFC,turtle_painted_lps_4_QValue,turtle_painted_lps_8_logFC,turtle_painted_lps_8_QValue,komodo_stable_id,komodo_name,komodo_lps_4_logFC,komodo_lps_4_QValue
ENSVKKG00000000439,ENSGALG00000006233,GALNT11,0.542049818277938,0.48252048095597,,,,,,,,,,,,,,
ENSVKKG00000000444,ENSGALG00000016332,MCPH1,,,,,2.64267888310619,0.0034292185927053,,,,,,,,,,
ENSVKKG00000000447,ENSGALG00000041973,,,,,,0.620339079618287,0.165982087513086,,,,,,,,,,
ENSVKKG00000000453,,,,,,,,,ENSCPBG00000022020,ANGPT2,2.06859449461027,1.0,,,ENSVKKG00000000453,ANGPT2,2.90348977421731,0.508989714801636
ENSVKKG00000000467,ENSGALG00000019894,TMEM14A,,,,,1.07348141083651,0.0076635268430456,,,,,,,,,,
ENSVKKG00000000470,ENSGALG00000008003,ZC3HC1,0.599726219234816,0.450212236950356,0.73479439824669,0.270346565152813,,,,,,,,,,,,
ENSVKKG00000000491,ENSGALG00000036837,PTGES3,,,0.530366782196233,0.423736914161433,,,,,,,,,,,,
ENSVKKG00000000494,ENSGALG00000008409,GSTO2,,,,,0.771533953669443,0.141846608098678,ENSCPBG00000024383,GSTO1,,,2.40574900916406,1.0,,,,
ENSVKKG00000000506,,,,,,,,,ENSCPBG00000008889,UNC79,3.50615327820764,1.0,,,,,,
ENSVKKG00000000509,,,,,,,,,ENSCPBG00000017526,STRIP2,1.91958830221605,1.0,,,,,,
ENSVKKG00000000532,ENSGALG00000042321,LYN,1.16530479164381,0.0032823761465495,0.949934132272536,0.0250066712143496,0.871962612049023,0.0784715089460873,,,,,,,,,,
ENSVKKG00000000568,ENSGALG00000011681,DEPDC7,,,,,2.44061932631295,0.140107194757252,,,,,,,,,,
ENSVKKG00000000579,ENSGALG00000041344,FABP5,,,0.920307863178773,0.382141043461798,1.70380801805073,0.0020413787083796,,,,,,,,,,
ENSVKKG00000000588,ENSGALG00000012032,PRRG4,1.18733942501055,0.216020826503051,,,,,,,,,,,,,,
ENSVKKG00000000604,,,,,,,,,ENSCPBG00000007254,ZNF704,2.18839758963302,1.0,,,,,,
ENSVKKG00000000609,ENSGALG00000009378,PDGFC,,,,,1.33570272338001,0.109955699451985,,,,,,,,,,
ENSVKKG00000000618,ENSGALG00000036749,MRPS28,,,,,0.623486679868618,0.130571131320078,,,,,,,,,,
ENSVKKG00000000620,ENSGALG00000014897,,,,,,1.62218274182677,0.0098449959767566,,,,,,,,,,
ENSVKKG00000000622,ENSGALG00000012123,PAX6,,,,,4.21975602830006,0.0134761090418012,,,,,,,,,,
ENSVKKG00000000632,,,,,,,,,ENSCPBG00000027548,YES1,1.54684401881396,1.0,,,,,,
ENSVKKG00000000646,ENSGALG00000036796,HYLS1,,,,,1.10762489207333,0.0281020327402811,,,,,,,,,,
ENSVKKG00000000651,ENSGALG00000014801,NDC80,,,,,1.72942078965521,0.0002385310205477,,,,,,,,,,
ENSVKKG00000000661,,,,,,,,,,,,,,,ENSVKKG00000000661,FMNL3,2.41962094287911,5.34247929712764e-07
ENSVKKG00000000664,ENSGALG00000009553,SMC4,,,,,0.862644088476171,0.0137751936256203,,,,,,,,,,
ENSVKKG00000000672,ENSGALG00000041086,MRPL15,,,,,0.665698265885025,0.196740896748399,,,,,,,,,,
ENSVKKG00000000680,ENSGALG00000026253,TMEM144,,,,,1.26718180183681,0.0752166891465296,,,,,,,,,,
ENSVKKG00000000686,ENSGALG00000013621,ATP6V1H,,,,,0.853474737124582,0.0623177613109769,,,,,,,,,,
ENSVKKG00000000727,ENSGALG00000003665,PIGS,,,,,0.72205530538357,0.0721547603783997,,,,,,,,,,
ENSVKKG00000000729,ENSGALG00000012915,MCM4,,,0.824703341341479,0.442990396610233,1.47031815122773,5.51688580219923e-05,,,,,,,,,,
ENSVKKG00000000737,ENSGALG00000041140,HTRA1,,,,,0.883583239988512,0.0673316047985848,,,,,,,,,,
ENSVKKG00000000750,ENSGALG00000009520,MARCH1,2.46515763856128,3.8615106469976e-07,1.92898746733945,0.0008698844450076,1.92237021683832,0.0005011547144372,,,,,,,,,,
ENSVKKG00000000751,ENSGALG00000011255,MCCC2L,1.01731711935551,0.451268298514618,1.17150707959753,0.322690690891108,1.36505379380099,0.100791275393556,,,,,,,,,,
ENSVKKG00000000755,,,,,,,,,ENSCPBG00000007044,JPH1,,,1.79400554686182,1.0,,,,
ENSVKKG00000000756,ENSGALG00000011275,DEPDC1,,,,,3.98403951254325,4.42816313422005e-07,,,,,,,,,,
ENSVKKG00000000759,ENSGALG00000054256,HAUS3,,,,,0.925325093964574,0.151256727728583,,,,,,,,,,
ENSVKKG00000000766,,,,,,,,,ENSCPBG00000018224,INSIG1,1.42879434251449,1.0,1.55433751802179,1.0,,,,
ENSVKKG00000000767,,,,,,,,,ENSCPBG00000015323,,,,1.7394801915067,1.0,,,,
ENSVKKG00000000768,ENSGALG00000031390,STAU2,,,,,0.607960497996099,0.129139440332579,,,,,,,,,,
ENSVKKG00000000773,,,,,,,,,ENSCPBG00000022031,SGPP1,1.36386595196164,1.0,1.0814355770137,1.0,,,,
ENSVKKG00000000777,ENSGALG00000034346,RDH10,,,,,1.68199739302514,0.192189071865678,,,,,,,,,,
ENSVKKG00000000789,ENSGALG00000037453,TERF1,,,,,2.73393341184127,7.30918157428865e-06,,,,,,,,,,
ENSVKKG00000000813,ENSGALG00000037777,MSC,,,,,2.82353605822018,0.119487212136007,,,,,,,,,,
ENSVKKG00000000816,,,,,,,,,ENSCPBG00000020412,PRKDC,1.02445319435362,1.0,,,,,,
ENSVKKG00000000832,ENSGALG00000000724,PM20D1,0.546719753720226,0.314037830172786,0.587136981972661,0.353270126159323,1.00555388421395,0.0065955729430035,,,,,,,,,,
ENSVKKG00000000859,,,,,,,,,ENSCPBG00000022387,L3HYPDH,,,2.20852042328577,1.0,,,,
ENSVKKG00000000869,,,,,,,,,ENSCPBG00000022371,DAAM1,1.5587850673532,1.0,1.53400720754858,1.0,,,,
ENSVKKG00000000877,ENSGALG00000009788,SMYD2,,,,,0.789345675247593,0.11263112546555,,,,,,,,,,
ENSVKKG00000000907,ENSGALG00000048067,DUS2,,,1.02340236470408,0.0309832073260223,0.981944909532546,0.04959571925416,,,,,,,,,,
ENSVKKG00000000912,,,,,,,,,ENSCPBG00000012096,NFATC3,1.2947185853346,1.0,,,,,,
ENSVKKG00000000935,,,,,,,,,,,,,,,ENSVKKG00000000935,,1.98169367831591,0.294259607369133
ENSVKKG00000000942,ENSGALG00000026471,CRIP2,1.10402611960815,0.211646452541246,1.73673987926833,0.0088817775146312,2.86641660483046,1.13835225415676e-06,,,,,,,,,,
ENSVKKG00000000948,,,,,,,,,ENSCPBG00000013864,,1.68630437493437,1.0,,,,,,
ENSVKKG00000000952,,,,,,,,,,,,,,,ENSVKKG00000000952,HVCN1,1.03253721462456,0.381086121733572
ENSVKKG00000000959,ENSGALG00000009415,SMOC1,1.84058193393232,0.391241009041355,,,,,,,,,,,,,,
ENSVKKG00000000963,ENSGALG00000017244,PRSS23,1.79803147598125,0.106253819237873,,,2.12313668959961,0.0431800929663033,,,,,,,,,,
ENSVKKG00000000967,ENSGALG00000001250,APLP2,0.718044543979248,0.133756080993366,0.623667707322073,0.293007872842211,1.0494078519249,0.0076141157908539,,,,,,,,,,
ENSVKKG00000000987,ENSGALG00000015069,B4GALT4,,,0.696151782092582,0.426438515706466,,,,,,,,,,,,
ENSVKKG00000001003,ENSGALG00000032413,NADK,0.992926089372102,0.253566705669227,,,1.39928746196574,0.0346493619079064,,,,,,,ENSVKKG00000001003,NADK,0.943045017453353,0.423727520460715
ENSVKKG00000001004,ENSGALG00000012761,DRAM1,2.65691536886558,4.66402574782722e-09,2.05704661065724,5.94837995507931e-05,2.25531251222484,7.90678229104726e-05,,,,,,,,,,
ENSVKKG00000001019,,,,,,,,,,,,,,,ENSVKKG00000001019,,0.779770743999568,1.0
ENSVKKG00000001067,,,,,,,,,,,,,,,ENSVKKG00000001067,HELZ2,1.17235838760366,0.686205822857423
ENSVKKG00000001070,ENSGALG00000046826,GYS1,,,,,0.74235268296287,0.0955170438955007,,,,,,,,,,
ENSVKKG00000001075,ENSGALG00000038145,DPP7,,,,,0.956066322593514,0.043114326792257,,,,,,,,,,
ENSVKKG00000001076,ENSGALG00000012127,ELP4,,,,,0.827401347663675,0.16892852152737,,,,,,,,,,
ENSVKKG00000001098,ENSGALG00000004438,ARSB,,,0.677211651838763,0.203377226522773,1.23023293604002,0.0039995937218897,,,,,,,,,,
ENSVKKG00000001100,ENSGALG00000012769,CHPT1,,,,,0.848797415525621,0.0860382407493661,,,,,,,,,,
ENSVKKG00000001101,ENSGALG00000017158,POGLUT3,,,,,1.18791541388107,0.182967500825983,,,,,,,,,,
ENSVKKG00000001104,ENSGALG00000002225,RFFL,0.587390438588789,0.299105625603719,,,0.76836661848727,0.0570751860593364,,,,,,,,,,
ENSVKKG00000001112,ENSGALG00000012128,IMMP1L,,,,,1.13355582527477,0.17204635548026,,,,,,,,,,
ENSVKKG00000001118,,,,,,,,,,,,,,,ENSVKKG00000001118,NANS,0.870432016512383,0.381086121733572
ENSVKKG00000001136,ENSGALG00000042612,,0.8332956175851,0.141462615926407,0.752867862452519,0.308496186896056,1.16795354730835,0.0087058453889363,,,,,,,,,,
ENSVKKG00000001141,,,,,,,,,,,,,,,ENSVKKG00000001141,TOR1B,1.89599998841765,0.106719121945259
ENSVKKG00000001176,ENSGALG00000031918,RAD51D,0.791278718987068,0.0489960416784019,,,,,,,,,,,,,,
ENSVKKG00000001178,,,,,,,,,ENSCPBG00000007738,SELENOP,2.80612975959049,1.0,2.67147450910091,1.0,,,,
ENSVKKG00000001197,ENSGALG00000001777,MFSD11,,,,,0.573421018829853,0.193341185693503,,,,,,,,,,
ENSVKKG00000001208,ENSGALG00000005931,RUVBL1,,,,,0.581549394980878,0.170466145714396,,,,,,,,,,
ENSVKKG00000001209,,,,,,,,,,,,,,,ENSVKKG00000001209,PTGES,1.66657491480598,0.258671440314946
ENSVKKG00000001231,ENSGALG00000012802,F13A1,,,,,1.62740228692799,0.0318667857513015,,,,,,,,,,
ENSVKKG00000001250,ENSGALG00000006123,,,,,,0.874704045183085,0.0897089133090188,,,,,,,,,,
ENSVKKG00000001335,ENSGALG00000012160,KIF18A,,,,,3.01975566977086,1.6501390549367e-06,,,,,,,,,,
ENSVKKG00000001344,ENSGALG00000004623,AGTRAP,,,,,0.801576924262181,0.0400772301922453,,,,,,,,,,
ENSVKKG00000001345,ENSGALG00000012124,PELI2,2.6980725950531,0.0011164465177622,2.48582973593766,0.0189615643013324,2.20372798869957,0.0174278850391755,,,,,,,,,,
ENSVKKG00000001347,,,,,,,,,ENSCPBG00000009027,TMOD4,,,3.34887257716159,1.0,,,,
ENSVKKG00000001354,ENSGALG00000016609,CENPO,,,,,2.48042593090172,4.70969720173704e-06,,,,,,,,,,
ENSVKKG00000001362,,,,,,,,,ENSCPBG00000003325,,1.76746990331649,1.0,1.84410214421341,1.0,,,,
ENSVKKG00000001368,ENSGALG00000004631,DRAXIN,0.74603485004548,0.451268298514618,0.970482089192974,0.242713557601996,2.17614625580601,1.88289259795495e-08,,,,,,,,,,
ENSVKKG00000001370,ENSGALG00000012118,TMEM260,,,0.684713605298779,0.428204413639871,,,,,,,,,,,,
ENSVKKG00000001382,ENSGALG00000006037,MCM2,,,1.36476420444754,0.016152495704924,1.487588048244,2.2450950656737e-05,,,,,,,,,,
ENSVKKG00000001385,,,,,,,,,ENSCPBG00000022630,SLC4A7,1.11559900347699,1.0,,,,,,
ENSVKKG00000001411,,,,,,,,,,,,,,,ENSVKKG00000001411,,0.927890745765077,0.466832245104243
ENSVKKG00000001416,ENSGALG00000040244,SEPTIN9,0.481626977749393,0.429962114914462,,,,,,,,,,,,,,
ENSVKKG00000001417,ENSGALG00000010043,RBKS,,,,,0.728910609175997,0.0872234076096264,,,,,,,,,,
ENSVKKG00000001485,ENSGALG00000001603,NARF,0.951666571839888,0.0483707574623055,,,0.972313629995384,0.0352823067808067,,,,,,,,,,
ENSVKKG00000001493,ENSGALG00000009616,SPATA17,,,,,2.57327962669356,0.1997987494401,,,,,,,,,,
ENSVKKG00000001507,ENSGALG00000006106,TNFRSF6B,1.45807448368978,0.143341480830139,,,,,,,,,,,ENSVKKG00000001507,TNFRSF6B,1.02222422102019,0.965323873356719
ENSVKKG00000001510,,,,,,,,,,,,,,,ENSVKKG00000001510,TGFB2,2.47782913268132,0.497425686773587
ENSVKKG00000001517,ENSGALG00000026385,LYPLAL1,0.94422223034723,0.314037830172786,0.944501958287491,0.350770846530982,1.1761550058577,0.0484826607593633,,,,,,,,,,
ENSVKKG00000001519,,,,,,,,,ENSCPBG00000025385,MOCS1,1.07372448029168,1.0,,,,,,
ENSVKKG00000001524,,,,,,,,,ENSCPBG00000000937,SLC30A10,,,5.24768822784525,1.0,,,,
ENSVKKG00000001546,ENSGALG00000029135,YEATS4,,,,,0.786425109836395,0.0640651399077324,,,,,,,,,,
ENSVKKG00000001567,ENSGALG00000003099,PCTP,,,,,1.35622794334454,0.172055292655428,,,,,,,,,,
ENSVKKG00000001568,ENSGALG00000014952,CERT1,,,,,0.961420003672951,0.0311459376122409,,,,,,,,,,
ENSVKKG00000001589,,,,,,,,,,,,,,,ENSVKKG00000001589,NOG,3.54292295827899,0.0077781298248475
ENSVKKG00000001601,,,,,,,,,ENSCPBG00000019166,KLHL24,1.85524247045343,1.0,1.05028584756697,1.0,,,,
ENSVKKG00000001602,ENSGALG00000014944,GCNT4,,,,,0.671127080691043,0.183453387550978,,,,,,,,,,
ENSVKKG00000001619,,,,,,,,,ENSCPBG00000007534,ITGA1,2.52345523733581,1.0,2.03383825817032,1.0,,,,
ENSVKKG00000001628,ENSGALG00000003185,SCPEP1,,,,,1.01290565586428,0.066724727011665,,,,,,,,,,
ENSVKKG00000001631,ENSGALG00000032270,NCAPH,,,,,3.19733808750182,3.69584965361529e-15,,,,,,,,,,
ENSVKKG00000001663,ENSGALG00000004689,PKN1,,,,,0.966099116645868,0.0608148063165272,ENSCPBG00000023366,,2.99265424198466,1.0,3.49124985474022,1.0,,,,
ENSVKKG00000001664,,,,,,,,,,,,,,,ENSVKKG00000001664,GCH1,1.49913600256259,0.0039943998012386
ENSVKKG00000001697,ENSGALG00000034077,KCNK5,2.06878790343056,0.0084196480643518,1.77380747903992,0.0746386503422265,1.5652784526215,0.131753412512423,,,,,,,,,,
ENSVKKG00000001703,ENSGALG00000001503,TBCD,,,,,0.625374935656769,0.155360243285038,,,,,,,,,,
ENSVKKG00000001726,ENSGALG00000012379,C5H14orf166,,,,,0.584264102001768,0.168328974394362,,,,,,,,,,
ENSVKKG00000001737,ENSGALG00000028354,METRNL,,,0.654069209911121,0.203900782739551,0.806753133848893,0.0404047891022328,,,,,,,,,,
ENSVKKG00000001775,,,,,,,,,ENSCPBG00000003847,GPR155,1.16586761047599,1.0,,,,,,
ENSVKKG00000001777,ENSGALG00000003294,ATAD5,,,,,0.832535971850927,0.0805911169290583,,,,,,,,,,
ENSVKKG00000001804,ENSGALG00000014800,ATP6V1A,,,,,0.680272181902566,0.120517522004747,,,,,,,,,,
ENSVKKG00000001809,ENSGALG00000009293,CHN1,,,,,1.16534386848901,0.0809982561398037,,,,,,,,,,
ENSVKKG00000001872,ENSGALG00000016356,TDRP,,,,,5.2620992611849,0.0808827956113362,,,,,,,,,,
ENSVKKG00000001876,ENSGALG00000015372,ATP5I,,,,,0.862180714506454,0.0237903854523505,,,,,,,,,,
ENSVKKG00000001886,ENSGALG00000015368,TMEM175,,,,,0.876447950450788,0.033737086741814,,,,,,,,,,
ENSVKKG00000001916,ENSGALG00000014906,MOCS2,,,0.864811103688412,0.432241278781483,1.07137549456002,0.0604900166214886,,,,,,,,,,
ENSVKKG00000001921,ENSGALG00000028026,NDUFS4,0.669454371008442,0.175908737089447,0.565653668941865,0.444502920139877,0.903307686021039,0.0207141977181371,,,,,,,,,,
ENSVKKG00000001925,,,,,,,,,ENSCPBG00000021680,RUNX2,1.76101290116256,1.0,,,,,,
ENSVKKG00000001961,ENSGALG00000009286,ATP5G3,,,,,0.595926230007761,0.15779087246231,,,,,,,,,,
ENSVKKG00000001968,ENSGALG00000037944,LNPK,,,,,0.780938828400764,0.123726933069747,,,,,,,,,,
ENSVKKG00000001971,ENSGALG00000000067,SPR,0.633855212382303,0.399341251261234,,,,,,,,,,,,,,
ENSVKKG00000002009,ENSGALG00000009264,MTX2,,,,,0.696100786654744,0.0791224094867721,,,,,,,,,,
ENSVKKG00000002013,ENSGALG00000003072,RPA1,,,,,0.832117530339144,0.0194836156485058,,,,,,,,,,
ENSVKKG00000002056,ENSGALG00000009224,TTC30B,,,,,1.03315181804746,0.172812515233505,,,,,,,,,,
ENSVKKG00000002064,,,,,,,,,ENSCPBG00000006558,EED,2.42216015879024,1.0,2.44323091277904,1.0,,,,
ENSVKKG00000002066,ENSGALG00000014425,NCAPG,,,,,1.9862993281746,1.52380907858553e-06,,,,,,,,,,
ENSVKKG00000002091,ENSGALG00000006639,CEP55,,,,,6.48124254054168,5.28029546964476e-18,,,,,,,,,,
ENSVKKG00000002093,,,,,,,,,,,,,,,ENSVKKG00000002093,IL1RAP,2.3625600393112,0.0017495124479562
ENSVKKG00000002094,ENSGALG00000030511,SLC19A1,0.510869636227964,0.500098324889413,0.550236146722327,0.475674100412385,,,,,,,,,,,,
ENSVKKG00000002107,ENSGALG00000036359,RUVBL2,,,,,0.578570962552297,0.172373402135509,,,,,,,,,,
ENSVKKG00000002142,ENSGALG00000037812,USP43,,,,,1.62312646304471,0.0837662636942478,,,,,,,,,,
ENSVKKG00000002158,ENSGALG00000027334,,0.793525270751996,0.0462588719441455,0.57117915218323,0.386815031621883,0.727894850678527,0.0557808835992911,,,,,,,,,,
ENSVKKG00000002194,,,,,,,,,ENSCPBG00000012946,MAST3,1.47208080512472,1.0,,,,,,
ENSVKKG00000002216,,,,,,,,,,,,,,,ENSVKKG00000002216,TP63,1.75778918957879,1.0
ENSVKKG00000002255,ENSGALG00000037521,PRCP,0.554505522685561,0.486277951424131,0.976554230715698,0.0607487319502797,1.46786007124833,0.0140992225269174,,,,,,,ENSVKKG00000002255,PRCP,1.15552741715813,0.0787365471668679
ENSVKKG00000002276,ENSGALG00000002982,SLC2A6,1.52694754374992,3.72887405204967e-05,1.11530443498024,0.0136998876860056,1.84596823654945,1.41544055484739e-07,,,,,,,ENSVKKG00000002276,,1.0343031001705,0.663941633124086
ENSVKKG00000002285,ENSGALG00000033597,,3.42855535343799,0.216952663384173,3.69014855707287,0.268040897358221,3.38075292539782,0.0898851083014395,,,,,,,,,,
ENSVKKG00000002314,ENSGALG00000028265,SURF4,,,,,0.646864606728436,0.122781684289785,,,,,,,,,,
ENSVKKG00000002319,ENSGALG00000026167,PIK3R5,0.520244316182361,0.325514719890504,0.643110078253847,0.250836426813315,,,,,,,,,,,,
ENSVKKG00000002339,ENSGALG00000014711,PLPP1,,,,,0.86934124414783,0.119731606987432,,,,,,,,,,
ENSVKKG00000002343,ENSGALG00000051260,,,,,,0.625747475710842,0.147799727573877,,,,,,,,,,
ENSVKKG00000002360,ENSGALG00000009015,PIGK,,,,,0.84863241730875,0.0799106774397684,,,,,,,,,,
ENSVKKG00000002435,ENSGALG00000034975,FUT7,,,,,1.40390531982549,0.0114050479124993,,,,,,,,,,
ENSVKKG00000002450,ENSGALG00000006097,PLXNA1,,,,,0.698192072460802,0.10535859857564,,,,,,,,,,
ENSVKKG00000002472,ENSGALG00000039363,TXNRD3,,,,,0.703287781367924,0.117573975924908,,,,,,,,,,
ENSVKKG00000002485,ENSGALG00000029632,CHST13,,,,,0.883020528491249,0.0201903795546058,,,,,,,,,,
ENSVKKG00000002545,,,,,,,,,,,,,,,ENSVKKG00000002545,CLSTN3,1.37258114790669,1.0
ENSVKKG00000002548,ENSGALG00000014662,RBP5,,,,,0.890985254193133,0.16834847754808,,,,,,,ENSVKKG00000002548,RBP5,1.05219974944062,0.845740888945248
ENSVKKG00000002592,ENSGALG00000010356,RAD54L,,,,,1.66691722348968,0.0164875199129272,,,,,,,,,,
ENSVKKG00000002600,ENSGALG00000036114,SMO,,,0.649153167977614,0.294458029308943,0.96854866205162,0.0307253011701832,,,,,,,,,,
ENSVKKG00000002612,ENSGALG00000042838,TRAF2,0.691139840114026,0.103654261474858,0.651817628192533,0.246084283441187,,,,,,,,,,,,
ENSVKKG00000002626,ENSGALG00000000734,RPA2,,,0.558941493129291,0.426031826744714,1.05581931773958,0.0025594067811233,,,,,,,,,,
ENSVKKG00000002631,ENSGALG00000000731,THEMIS2,,,1.42127035445186,0.144582423665161,1.27439120567009,0.121940821095511,,,,,,,,,,
ENSVKKG00000002663,,,,,,,,,,,,,,,ENSVKKG00000002663,EDN2,8.54868850723829,1.42392074107728e-06
ENSVKKG00000002667,,,,,,,,,,,,,,,ENSVKKG00000002667,HIVEP3,1.45720551209733,0.620875398069344
ENSVKKG00000002669,,,,,,,,,,,,,,,ENSVKKG00000002669,SERINC2,0.990716075634396,0.25963544045127
ENSVKKG00000002673,ENSGALG00000037050,FABP3,0.793326174078784,0.395120909932044,1.3776944225707,0.0012679251702199,1.64839118522934,7.36608910279524e-05,,,,,,,,,,
ENSVKKG00000002695,ENSGALG00000001602,NUTF2,,,,,0.609804203043578,0.114655059554497,,,,,,,,,,
ENSVKKG00000002709,,,,,,,,,,,,,,,ENSVKKG00000002709,STAT1,1.25779109005162,0.668737294823653
ENSVKKG00000002755,ENSGALG00000015008,ZNF366,3.26551716782411,0.341249647218102,,,,,,,,,,,,,,
ENSVKKG00000002779,,,,,,,,,ENSCPBG00000015032,HACD1,2.40791293587385,1.0,2.62990751835447,1.0,,,,
