komodo_stable_id,komodo_name,turtle_painted_stable_id,turtle_painted_name,crocodile_stable_id,crocodile_name,chicken_grcg6a_stable_id,chicken_grcg6a_name
ENSVKKG00000003805,ADCY6,ENSCPBG00000019978,ADCY6,ENSCPRG00005001591,ADCY6,ENSGALG00000050760,ADCY6
ENSVKKG00000005826,SCCPDH,ENSCPBG00000016981,SCCPDH,ENSCPRG00005013798,SCCPDH,ENSGALG00000010641,SCCPDH
ENSVKKG00000014800,SNX5,ENSCPBG00000023448,SNX5,ENSCPRG00005010114,SNX5,ENSGALG00000008691,SNX5
ENSVKKG00000003360,BRAF,ENSCPBG00000011794,BRAF,ENSCPRG00005017954,BRAF,ENSGALG00000012865,BRAF
ENSVKKG00000017580,ARID1B,ENSCPBG00000016297,ARID1B,ENSCPRG00005018008,ARID1B,ENSGALG00000013683,ARID1B
ENSVKKG00000015001,RNF44,ENSCPBG00000022642,RNF44,ENSCPRG00005013559,RNF44,ENSGALG00000026443,RNF44
ENSVKKG00000006751,HRH1,ENSCPBG00000000415,HRH1,ENSCPRG00005019183,HRH1,ENSGALG00000004930,HRH1
ENSVKKG00000017740,C9orf16,ENSCPBG00000024631,C9orf16,ENSCPRG00005000719,C9orf16,ENSGALG00000004783,C17H9orf16
ENSVKKG00000001454,MRPS30,ENSCPBG00000007637,MRPS30,ENSCPRG00005016609,MRPS30,ENSGALG00000014874,MRPS30
ENSVKKG00000000531,PRIMA1,ENSCPBG00000008935,PRIMA1,ENSCPRG00005008727,PRIMA1,ENSGALG00000020392,PRIMA1
ENSVKKG00000012952,DGKH,ENSCPBG00000013595,DGKH,ENSCPRG00005001063,DGKH,ENSGALG00000016959,DGKH
ENSVKKG00000012498,LPIN3,ENSCPBG00000017892,LPIN3,ENSCPRG00005012082,LPIN3,ENSGALG00000055078,
ENSVKKG00000013586,IAPP,ENSCPBG00000009092,IAPP,ENSCPRG00005012001,IAPP,ENSGALG00000013168,IAPP
ENSVKKG00000018075,HEATR6,ENSCPBG00000009827,HEATR6,ENSCPRG00005010268,HEATR6,ENSGALG00000005516,HEATR6
ENSVKKG00000014412,ALS2CL,ENSCPBG00000001553,ALS2CL,ENSCPRG00005002624,ALS2CL,ENSGALG00000005430,ALS2CL
ENSVKKG00000018021,METTL6,ENSCPBG00000022804,METTL6,ENSCPRG00005005218,METTL6,ENSGALG00000040665,METTL6
ENSVKKG00000000766,INSIG1,ENSCPBG00000018224,INSIG1,ENSCPRG00005005206,INSIG1,ENSGALG00000017394,INSIG1
ENSVKKG00000007458,,ENSCPBG00000000582,,ENSCPRG00005004806,,ENSGALG00000006547,PROCR
ENSVKKG00000002958,GNAO1,ENSCPBG00000011985,GNAO1,ENSCPRG00005002578,GNAO1,ENSGALG00000003163,GNAO1
ENSVKKG00000000304,AGXT2,ENSCPBG00000021316,AGXT2,ENSCPRG00005015693,AGXT2,ENSGALG00000003432,AGXT2
ENSVKKG00000018559,,ENSCPBG00000000863,,ENSCPRG00005013996,,ENSGALG00000023661,
ENSVKKG00000006002,FANCB,ENSCPBG00000015715,FANCB,ENSCPRG00005006003,FANCB,ENSGALG00000016569,FANCB
ENSVKKG00000016753,SEZ6,ENSCPBG00000012982,SEZ6,ENSCPRG00005015589,SEZ6,ENSGALG00000026431,SEZ6
ENSVKKG00000012329,DCUN1D1,ENSCPBG00000000501,DCUN1D1,ENSCPRG00005010672,DCUN1D1,ENSGALG00000008807,DCUN1D1
ENSVKKG00000009587,,ENSCPBG00000023999,,ENSCPRG00005015345,,ENSGALG00000017216,
ENSVKKG00000014238,ZMYND10,ENSCPBG00000027097,ZMYND10,ENSCPRG00005014454,ZMYND10,ENSGALG00000035883,ZMYND10
ENSVKKG00000007853,ARPP21,ENSCPBG00000013513,ARPP21,ENSCPRG00005009322,ARPP21,ENSGALG00000043240,ARPP21
ENSVKKG00000015251,NHP2,ENSCPBG00000022106,NHP2,ENSCPRG00005014322,NHP2,ENSGALG00000033666,NHP2
ENSVKKG00000011511,ACSL3,ENSCPBG00000019360,ACSL3,ENSCPRG00005004534,ACSL3,ENSGALG00000005206,ACSL3
ENSVKKG00000005478,SMPD4,ENSCPBG00000001792,SMPD4,ENSCPRG00005002008,SMPD4,ENSGALG00000006455,SMPD4
ENSVKKG00000012543,PNN,ENSCPBG00000026209,PNN,ENSCPRG00005003967,PNN,ENSGALG00000010167,PNN
ENSVKKG00000015512,CTXN3,ENSCPBG00000018625,CTXN3,ENSCPRG00005011804,CTXN3,ENSGALG00000029034,CTXN3
ENSVKKG00000016510,IMMT,ENSCPBG00000001183,IMMT,ENSCPRG00005000573,IMMT,ENSGALG00000015783,IMMT
ENSVKKG00000016173,BCO2,ENSCPBG00000008966,BCO2,ENSCPRG00005004540,BCO2,ENSGALG00000007868,BCO2
ENSVKKG00000006156,,ENSCPBG00000020819,,ENSCPRG00005016185,,ENSGALG00000049658,
ENSVKKG00000008177,ZNF207,ENSCPBG00000004840,ZNF207,ENSCPRG00005001692,ZNF207,ENSGALG00000003454,ZNF207
ENSVKKG00000006956,PLPP2,ENSCPBG00000010793,PLPP2,ENSCPRG00005012077,PLPP2,ENSGALG00000026834,PLPP2
ENSVKKG00000001187,SPIC,ENSCPBG00000013392,SPIC,ENSCPRG00005018174,SPIC,ENSGALG00000054799,SPIC
ENSVKKG00000018378,SDAD1,ENSCPBG00000019462,SDAD1,ENSCPRG00005006829,SDAD1,ENSGALG00000011543,SDAD1
ENSVKKG00000015083,LRRTM4,ENSCPBG00000002935,LRRTM4,ENSCPRG00005016394,LRRTM4,ENSGALG00000000476,LRRTM4
ENSVKKG00000007160,RPL5,ENSCPBG00000015749,,ENSCPRG00005016521,RPL5,ENSGALG00000005922,RPL5
ENSVKKG00000012210,FAM98B,ENSCPBG00000000742,FAM98B,ENSCPRG00005018853,FAM98B,ENSGALG00000009744,FAM98B
ENSVKKG00000003093,OAZ1,ENSCPBG00000018579,OAZ1,ENSCPRG00005009394,OAZ1,ENSGALG00000000812,OAZ1
ENSVKKG00000013028,PEBP4,ENSCPBG00000002346,PEBP4,ENSCPRG00005014531,,ENSGALG00000049236,PEBP4
ENSVKKG00000016388,FAAP100,ENSCPBG00000010399,FAAP100,ENSCPRG00005018387,FAAP100,ENSGALG00000042215,FAAP100
ENSVKKG00000007445,PKP1,ENSCPBG00000022125,PKP1,ENSCPRG00005004682,PKP1,ENSGALG00000000299,PKP1
ENSVKKG00000016074,SPHK1,ENSCPBG00000028016,SPHK1,ENSCPRG00005006844,SPHK1,ENSGALG00000023541,SPHK1
ENSVKKG00000007366,,ENSCPBG00000027153,,ENSCPRG00005014174,,ENSGALG00000002735,TAF11
ENSVKKG00000009572,ASB1,ENSCPBG00000025369,ASB1,ENSCPRG00005005514,ASB1,ENSGALG00000004272,ASB1
ENSVKKG00000015038,PARVA,ENSCPBG00000016443,PARVA,ENSCPRG00005006323,PARVA,ENSGALG00000005438,PARVA
ENSVKKG00000001450,HS6ST1,ENSCPBG00000019148,HS6ST1,ENSCPRG00005008950,HS6ST1,ENSGALG00000002155,HS6ST1
ENSVKKG00000002580,,ENSCPBG00000018725,,ENSCPRG00005017933,,ENSGALG00000010360,NSUN4
ENSVKKG00000002367,,ENSCPBG00000000903,,ENSCPRG00005001144,,ENSGALG00000050866,HSD3B1
ENSVKKG00000012677,MET,ENSCPBG00000007168,MET,ENSCPRG00005010146,MET,ENSGALG00000036883,MET
ENSVKKG00000007708,C10orf88,ENSCPBG00000000128,C10orf88,ENSCPRG00005009963,C10orf88,ENSGALG00000000011,C10orf88
ENSVKKG00000018191,PSMB7,ENSCPBG00000028116,PSMB7,ENSCPRG00005010746,PSMB7,ENSGALG00000001103,PSMB7
ENSVKKG00000011678,FBXO3,ENSCPBG00000012502,FBXO3,ENSCPRG00005009845,FBXO3,ENSGALG00000034029,FBXO3
ENSVKKG00000015144,CAMK1,ENSCPBG00000008861,CAMK1,ENSCPRG00005016975,CAMK1,ENSGALG00000029912,CAMK1
ENSVKKG00000005312,SLIT3,ENSCPBG00000011149,SLIT3,ENSCPRG00005003974,SLIT3,ENSGALG00000001916,SLIT3
ENSVKKG00000008687,TGFBRAP1,ENSCPBG00000007196,TGFBRAP1,ENSCPRG00005014490,TGFBRAP1,ENSGALG00000016795,TGFBRAP1
ENSVKKG00000014470,PLXNC1,ENSCPBG00000001660,PLXNC1,ENSCPRG00005002155,PLXNC1,ENSGALG00000011309,PLXNC1
ENSVKKG00000015213,ATG12,ENSCPBG00000001689,ATG12,ENSCPRG00005015533,ATG12,ENSGALG00000002345,ATG12
ENSVKKG00000012359,ACTL6A,ENSCPBG00000026932,ACTL6A,ENSCPRG00005010054,ACTL6A,ENSGALG00000009061,ACTL6A
ENSVKKG00000011384,,ENSCPBG00000000475,,ENSCPRG00005016832,,ENSGALG00000017334,
ENSVKKG00000002591,NGFR,ENSCPBG00000027292,NGFR,ENSCPRG00005007361,NGFR,ENSGALG00000035950,NGFR
ENSVKKG00000004903,PPP2R5C,ENSCPBG00000020165,PPP2R5C,ENSCPRG00005010743,PPP2R5C,ENSGALG00000029996,PPP2R5C
ENSVKKG00000009269,AP1B1,ENSCPBG00000001952,AP1B1,ENSCPRG00005006923,AP1B1,ENSGALG00000042213,AP1B1
ENSVKKG00000003881,SGCA,ENSCPBG00000027236,SGCA,ENSCPRG00005008006,SGCA,ENSGALG00000029917,SGCA
ENSVKKG00000015851,PRKCI,ENSCPBG00000015982,PRKCI,ENSCPRG00005009290,PRKCI,ENSGALG00000009364,PRKCI
ENSVKKG00000011075,GRID2,ENSCPBG00000013149,GRID2,ENSCPRG00005012914,GRID2,ENSGALG00000010397,GRID2
ENSVKKG00000004464,VRK1,ENSCPBG00000024132,VRK1,ENSCPRG00005010188,VRK1,ENSGALG00000011116,VRK1
ENSVKKG00000004020,MINDY1,ENSCPBG00000008750,MINDY1,ENSCPRG00005004850,MINDY1,ENSGALG00000028499,MINDY1
ENSVKKG00000002765,RGS6,ENSCPBG00000011080,RGS6,ENSCPRG00005018258,RGS6,ENSGALG00000009368,RGS6
