eggnog_name,chicken_102_gene_id,chicken_110_gene_id,turtle_3_gene_id,komodo_gene_id,crocodile_gene_id
ABHD2,ENSGALG00000006689,ENSGALG00010020147,ENSCPBG00000017685,ENSVKKG00000017826,ENSCPRG00005016901
ABHD3,ENSGALG00000014938,ENSGALG00010005109,ENSCPBG00000027604,ENSVKKG00000007576,ENSCPRG00005014186
ABHD5,ENSGALG00000040363,ENSGALG00010016335,ENSCPBG00000022755,ENSVKKG00000003220,ENSCPRG00005004994
ABHD6,ENSGALG00000005696,ENSGALG00010027118,ENSCPBG00000014251,ENSVKKG00000010430,ENSCPRG00005018279
ABHD8,ENSGALG00000036297,ENSGALG00010028588,ENSCPBG00000012422,ENSVKKG00000015734,ENSCPRG00005000939
ABI1,ENSGALG00000007547,"{'ENSGALG00010006651', 'ENSGALG00010005353'}",ENSCPBG00000015830,ENSVKKG00000017868,ENSCPRG00005008449
ABI2,ENSGALG00000008714,ENSGALG00010022079,ENSCPBG00000008865,ENSVKKG00000013643,ENSCPRG00005001556
ABI3,ENSGALG00000044071,ENSGALG00010024497,ENSCPBG00000027308,ENSVKKG00000002582,ENSCPRG00005007322
ABI3BP,"{'ENSGALG00000049529', 'ENSGALG00000015307'}",ENSGALG00010005860,ENSCPBG00000004109,ENSVKKG00000017235,
ABL1,ENSGALG00000003875,ENSGALG00010027607,ENSCPBG00000022624,ENSVKKG00000005075,ENSCPRG00005004133
ABL2,ENSGALG00000030357,ENSGALG00010011049,ENSCPBG00000014503,ENSVKKG00000008987,ENSCPRG00005006221
ABLIM1,ENSGALG00000009048,ENSGALG00010022454,ENSCPBG00000003143,ENSVKKG00000004711,ENSCPRG00005010888
ABLIM2,ENSGALG00000043448,ENSGALG00010009653,ENSCPBG00000023275,ENSVKKG00000010211,ENSCPRG00005003360
ABLIM3,ENSGALG00000002790,ENSGALG00010012297,ENSCPBG00000007739,ENSVKKG00000013315,ENSCPRG00005007745
ABR,ENSGALG00000004364,ENSGALG00010029718,ENSCPBG00000020035,ENSVKKG00000014256,ENSCPRG00005013978
ABRA,ENSGALG00000041043,ENSGALG00010013191,ENSCPBG00000000685,ENSVKKG00000017358,ENSCPRG00005006767
ABRACL,ENSGALG00000013826,ENSGALG00010005975,ENSCPBG00000017193,ENSVKKG00000009088,ENSCPRG00005001303
ABTB1,ENSGALG00000005999,ENSGALG00010026982,ENSCPBG00000014379,ENSVKKG00000001273,ENSCPRG00005018116
ABTB2,"{'ENSGALG00000052396', 'ENSGALG00000011609'}",ENSGALG00010024886,"{'ENSCPBG00000012523', 'ENSCPBG00000012525'}",ENSVKKG00000011686,ENSCPRG00005010800
ACAA1,ENSGALG00000005860,ENSGALG00010026485,ENSCPBG00000018494,ENSVKKG00000014871,ENSCPRG00005003330
ACAA2,ENSGALG00000031142,ENSGALG00010010463,ENSCPBG00000025630,ENSVKKG00000011334,ENSCPRG00005014619
ACACA,"{'ENSGALG00000030996', 'ENSGALG00000048882', 'ENSGALG00000005439'}",ENSGALG00010029360,ENSCPBG00000009636,ENSVKKG00000018225,ENSCPRG00005010384
ACACB,ENSGALG00000005043,ENSGALG00010021490,ENSCPBG00000008093,ENSVKKG00000010307,ENSCPRG00005015840
ACAD11,ENSGALG00000035949,ENSGALG00010018920,ENSCPBG00000023029,ENSVKKG00000018052,ENSCPRG00005006582
ACAD8,ENSGALG00000001557,ENSGALG00010025379,ENSCPBG00000017781,ENSVKKG00000015472,ENSCPRG00005002673
ACAD9,ENSGALG00000005034,ENSGALG00010027965,ENSCPBG00000001155,ENSVKKG00000007578,ENSCPRG00005019159
ACADL,ENSGALG00000002891,ENSGALG00010011424,ENSCPBG00000025491,ENSVKKG00000018502,ENSCPRG00005002494
ACADM,ENSGALG00000051260,"{'ENSGALG00010001365', 'ENSGALG00010000146'}",ENSCPBG00000017035,ENSVKKG00000002343,
ACADS,ENSGALG00000007072,ENSGALG00010022862,ENSCPBG00000011308,ENSVKKG00000009649,ENSCPRG00005004769
ACADSB,ENSGALG00000041417,ENSGALG00010001811,ENSCPBG00000028097,ENSVKKG00000007718,ENSCPRG00005009928
ACAN,ENSGALG00000006725,ENSGALG00010020175,ENSCPBG00000017775,"{'ENSVKKG00000017829', 'ENSVKKG00000017830'}",ENSCPRG00005016979
ACAP1,"{'ENSGALG00000049172', 'ENSGALG00000040351'}",ENSGALG00010002136,ENSCPBG00000022194,ENSVKKG00000013456,
ACAP2,ENSGALG00000007040,ENSGALG00010017500,"{'ENSCPBG00000016225', 'ENSCPBG00000015957'}",ENSVKKG00000008594,ENSCPRG00005013084
ACAP3,ENSGALG00000033293,ENSGALG00010018308,ENSCPBG00000022283,ENSVKKG00000013507,ENSCPRG00005000932
ACAT1,ENSGALG00000017163,ENSGALG00010004890,ENSCPBG00000018563,ENSVKKG00000006914,ENSCPRG00005014180
ACAT2,ENSGALG00000011659,ENSGALG00010004446,ENSCPBG00000004088,ENSVKKG00000017548,ENSCPRG00005017764
ACBD3,ENSGALG00000009246,ENSGALG00010017524,ENSCPBG00000011972,ENSVKKG00000015639,ENSCPRG00005003412
ACBD4,ENSGALG00000050796,ENSGALG00010023857,ENSCPBG00000008864,ENSVKKG00000012063,ENSCPRG00005015499
ACBD5,ENSGALG00000007519,ENSGALG00010005349,ENSCPBG00000015832,ENSVKKG00000017867,ENSCPRG00005008437
ACBD6,ENSGALG00000003924,ENSGALG00010010849,ENSCPBG00000025770,ENSVKKG00000005251,ENSCPRG00005007370
ACBD7,ENSGALG00000019663,ENSGALG00010002661,"{'ENSCPBG00000004097', 'ENSCPBG00000004715'}",ENSVKKG00000003562,ENSCPRG00005011680
ACCS,ENSGALG00000033730,ENSGALG00010019670,ENSCPBG00000012580,"{'ENSVKKG00000011848', 'ENSVKKG00000011852'}",ENSCPRG00005011338
ACE,ENSGALG00000000498,ENSGALG00010023369,ENSCPBG00000026990,ENSVKKG00000016540,ENSCPRG00005008339
ACE2,ENSGALG00000016554,ENSGALG00010001524,ENSCPBG00000012731,ENSVKKG00000005936,ENSCPRG00005005691
ACER1,ENSGALG00000001592,ENSGALG00010028570,ENSCPBG00000011158,ENSVKKG00000008280,ENSCPRG00005009603
ACER2,ENSGALG00000015081,ENSGALG00010016314,ENSCPBG00000018962,ENSVKKG00000014745,ENSCPRG00005000407
ACER3,ENSGALG00000000755,ENSGALG00010002211,ENSCPBG00000027726,ENSVKKG00000005314,ENSCPRG00005016661
ACHE,ENSGALG00000047182,ENSGALG00010000453,ENSCPBG00000013012,ENSVKKG00000014845,
ACIN1,ENSGALG00000052095,ENSGALG00010003882,ENSCPBG00000026078,ENSVKKG00000014732,
ACJ6,ENSGALG00000034567,ENSGALG00010011358,,ENSVKKG00000014033,
ACKR2,ENSGALG00000005305,,ENSCPBG00000003986,,ENSCPRG00005002433
ACKR3,ENSGALG00000021031,ENSGALG00010012429,ENSCPBG00000022793,ENSVKKG00000010095,ENSCPRG00005005948
ACKR4,ENSGALG00000041491,ENSGALG00010018943,ENSCPBG00000023046,ENSVKKG00000018053,ENSCPRG00005007120
ACLY,ENSGALG00000003475,ENSGALG00010022919,ENSCPBG00000006669,ENSVKKG00000016311,ENSCPRG00005003731
ACMSD,ENSGALG00000012197,ENSGALG00010019550,ENSCPBG00000010217,ENSVKKG00000003307,ENSCPRG00005003785
ACN9,ENSGALG00000027620,ENSGALG00010002838,ENSCPBG00000024400,ENSVKKG00000018173,ENSCPRG00005014395
ACO1,ENSGALG00000002162,ENSGALG00010009676,ENSCPBG00000008077,ENSVKKG00000009904,ENSCPRG00005015409
ACO2,ENSGALG00000011950,ENSGALG00010012720,ENSCPBG00000020545,ENSVKKG00000016895,ENSCPRG00005019067
ACOT11,ENSGALG00000010785,ENSGALG00010025520,ENSCPBG00000003530,ENSVKKG00000011262,ENSCPRG00005005402
ACOT12,ENSGALG00000015616,ENSGALG00010006588,ENSCPBG00000010812,,ENSCPRG00005001874
ACOT13,ENSGALG00000013632,ENSGALG00010008033,ENSCPBG00000006544,ENSVKKG00000006639,"{'ENSCPRG00005004221', 'ENSCPRG00005004231', 'ENSCPRG00005004217'}"
ACOT4,"{'ENSGALG00000009292', 'ENSGALG00000046931'}",ENSGALG00010020898,ENSCPBG00000010835,ENSVKKG00000002851,ENSCPRG00005018333
ACOT7,ENSGALG00000000652,ENSGALG00010019141,ENSCPBG00000016178,ENSVKKG00000006390,ENSCPRG00005011363
ACOT8,ENSGALG00000006842,ENSGALG00010015932,ENSCPBG00000027256,,ENSCPRG00005008281
ACOT9,ENSGALG00000016351,ENSGALG00010003193,ENSCPBG00000006727,"{'ENSVKKG00000005029', 'ENSVKKG00000003684'}",ENSCPRG00005003932
ACOX1,ENSGALG00000002159,ENSGALG00010029755,ENSCPBG00000028038,ENSVKKG00000016039,ENSCPRG00005006650
ACOX2,ENSGALG00000007132,ENSGALG00010020920,ENSCPBG00000003787,ENSVKKG00000014782,ENSCPRG00005016518
ACOX3,ENSGALG00000015591,ENSGALG00010009294,ENSCPBG00000024852,ENSVKKG00000010193,ENSCPRG00005003171
ACP1,ENSGALG00000016363,ENSGALG00010003833,ENSCPBG00000021798,ENSVKKG00000000881,ENSCPRG00005008993
ACP2,ENSGALG00000008211,ENSGALG00010022727,ENSCPBG00000015503,ENSVKKG00000016424,ENSCPRG00005014864
ACP5,ENSGALG00000032854,ENSGALG00010003260,ENSCPBG00000023952,ENSVKKG00000014017,
ACP6,ENSGALG00000015485,"{'ENSGALG00010007946', 'ENSGALG00010009011'}",ENSCPBG00000006216,ENSVKKG00000012073,ENSCPRG00005011342
ACPP,ENSGALG00000043415,ENSGALG00010018641,ENSCPBG00000022865,"{'ENSVKKG00000018048', 'ENSVKKG00000018050'}",ENSCPRG00005005865
ACR,"{'ENSGALG00000047768', 'ENSGALG00000034366'}","{'ENSGALG00010007427', 'ENSGALG00010007422'}","{'ENSCPBG00000011721', 'ENSCPBG00000011711'}",ENSVKKG00000017711,
ACRBP,ENSGALG00000048620,ENSGALG00010021614,ENSCPBG00000027712,ENSVKKG00000003631,ENSCPRG00005005847
ACRC,ENSGALG00000020322,ENSGALG00010016923,ENSCPBG00000016565,ENSVKKG00000017886,
ACSBG1,ENSGALG00000003286,ENSGALG00010024274,ENSCPBG00000024238,ENSVKKG00000007387,ENSCPRG00005008359
ACSBG2,ENSGALG00000001749,ENSGALG00010028562,ENSCPBG00000011150,ENSVKKG00000008344,ENSCPRG00005009641
ACSF2,ENSGALG00000019768,ENSGALG00010029650,ENSCPBG00000028182,ENSVKKG00000014476,ENSCPRG00005002449
ACSF3,ENSGALG00000030040,ENSGALG00010007944,ENSCPBG00000023427,ENSVKKG00000005812,ENSCPRG00005007740
ACSL1,ENSGALG00000010628,ENSGALG00010007007,ENSCPBG00000008456,ENSVKKG00000004551,ENSCPRG00005000347
ACSL3,ENSGALG00000005206,ENSGALG00010025705,ENSCPBG00000019360,ENSVKKG00000011511,ENSCPRG00005004534
ACSL4,ENSGALG00000008088,ENSGALG00010015540,ENSCPBG00000000569,ENSVKKG00000010069,ENSCPRG00005008800
ACSL5,ENSGALG00000008840,ENSGALG00010019785,ENSCPBG00000005116,ENSVKKG00000003899,ENSCPRG00005011149
ACSL6,ENSGALG00000006644,ENSGALG00010016127,ENSCPBG00000025128,ENSVKKG00000013800,ENSCPRG00005010222
ACSM3,ENSGALG00000002200,ENSGALG00010017967,ENSCPBG00000019058,ENSVKKG00000005480,ENSCPRG00005006330
ACSM4,ENSGALG00000029827,ENSGALG00010016390,ENSCPBG00000018129,ENSVKKG00000005525,"{'ENSCPRG00005006493', 'ENSCPRG00005006351'}"
ACSM5,ENSGALG00000042446,ENSGALG00010016399,ENSCPBG00000018128,"{'ENSVKKG00000006082', 'ENSVKKG00000006088'}",ENSCPRG00005006532
ACSS1,"{'ENSGALG00000008632', 'ENSGALG00000010225'}","{'ENSGALG00010006291', 'ENSGALG00010018899'}","{'ENSCPBG00000026223', 'ENSCPBG00000011394'}","{'ENSVKKG00000011980', 'ENSVKKG00000010054'}","{'ENSCPRG00005009895', 'ENSCPRG00005004091'}"
ACSS2,ENSGALG00000003362,ENSGALG00010023439,ENSCPBG00000019337,ENSVKKG00000017083,
ACSS3,ENSGALG00000010940,ENSGALG00010012337,ENSCPBG00000000071,ENSVKKG00000015805,ENSCPRG00005003271
ACTA1,ENSGALG00000011086,ENSGALG00010010295,ENSCPBG00000006129,ENSVKKG00000017431,"{'ENSCPRG00005017170', 'ENSCPRG00005017173'}"
ACTA2,ENSGALG00000006343,ENSGALG00010022071,ENSCPBG00000026499,ENSVKKG00000004994,ENSCPRG00005017787
ACTB,ENSGALG00000009621,ENSGALG00010021232,"{'ENSCPBG00000020809', 'ENSCPBG00000004627'}","{'ENSVKKG00000006783', 'ENSVKKG00000002615'}","{'ENSCPRG00005018381', 'ENSCPRG00005016203'}"
ACTC1,"{'ENSGALG00000009844', 'ENSGALG00000040415'}","{'ENSGALG00010024796', 'ENSGALG00010022071', 'ENSGALG00010005444'}","{'ENSCPBG00000012493', 'ENSCPBG00000012491', 'ENSCPBG00000023854'}","{'ENSVKKG00000012230', 'ENSVKKG00000013953'}","{'ENSCPRG00005018901', 'ENSCPRG00005009819'}"
ACTG1,ENSGALG00000028749,"{'ENSGALG00010021158', 'ENSGALG00010029521'}","{'ENSCPBG00000010019', 'ENSCPBG00000024214', 'ENSCPBG00000005552', 'ENSCPBG00000010407', 'ENSCPBG00000024213'}",ENSVKKG00000016390,"{'ENSCPRG00005018381', 'ENSCPRG00005000326', 'ENSCPRG00005017038', 'ENSCPRG00005006705'}"
ACTG2,ENSGALG00000041634,ENSGALG00010020613,ENSCPBG00000003149,ENSVKKG00000006955,
ACTL10,ENSGALG00000006803,ENSGALG00010010419,ENSCPBG00000016243,ENSVKKG00000013130,"{'ENSCPRG00005012747', 'ENSCPRG00005015540'}"
ACTL6A,ENSGALG00000009061,ENSGALG00010018172,ENSCPBG00000026932,ENSVKKG00000012359,ENSCPRG00005010054
ACTL6B,ENSGALG00000030087,,ENSCPBG00000022244,ENSVKKG00000013999,
ACTN1,ENSGALG00000042458,ENSGALG00010020389,ENSCPBG00000021544,ENSVKKG00000000212,ENSCPRG00005017755
ACTN2,ENSGALG00000014463,ENSGALG00010009118,ENSCPBG00000004168,ENSVKKG00000006692,ENSCPRG00005016507
ACTN4,ENSGALG00000036496,ENSGALG00010009277,ENSCPBG00000018719,ENSVKKG00000013952,
ACTR10,"{'ENSGALG00000012085', 'ENSGALG00000012041'}","{'ENSGALG00010020524', 'ENSGALG00010017435'}",ENSCPBG00000024806,ENSVKKG00000001466,ENSCPRG00005017915
ACTR1A,ENSGALG00000008086,ENSGALG00010018561,ENSCPBG00000003255,ENSVKKG00000014504,ENSCPRG00005012965
ACTR2,ENSGALG00000008779,ENSGALG00010016276,ENSCPBG00000013248,ENSVKKG00000008156,ENSCPRG00005012952
