ref_komodo_stable_id,komodo_stable_id,komodo_name,turtle_painted_stable_id,turtle_painted_name,turtle_painted_orthology,crocodile_stable_id,crocodile_name,crocodile_orthology,chicken_grcg6a_stable_id,chicken_grcg6a_name,chicken_grcg6a_orthology,human_stable_id,human_name,human_orthology,mouse_stable_id,mouse_name,mouse_orthology
ENSVKKG00000000034,ENSVKKG00000000034,XYLB,ENSCPBG00000018294,XYLB,ortholog_one2one,ENSCPRG00005004595,XYLB,ortholog_one2one,ENSGALG00000006173,XYLB,ortholog_one2one,ENSG00000093217,XYLB,ortholog_one2one,ENSMUSG00000035769,Xylb,ortholog_one2one
ENSVKKG00000000045,ENSVKKG00000000045,RRAD,ENSCPBG00000012101,RRAD,ortholog_one2one,ENSCPRG00005005256,RRAD,ortholog_one2one,ENSGALG00000005140,RRAD,ortholog_one2one,ENSG00000166592,RRAD,ortholog_one2one,ENSMUSG00000031880,Rrad,ortholog_one2one
ENSVKKG00000000050,ENSVKKG00000000050,AMACR,ENSCPBG00000021298,AMACR,ortholog_one2one,ENSCPRG00005015660,AMACR,ortholog_one2one,ENSGALG00000003326,AMACR,ortholog_one2one,ENSG00000242110,AMACR,ortholog_one2one,ENSMUSG00000022244,Amacr,ortholog_one2one
ENSVKKG00000000052,ENSVKKG00000000052,ZFAND2A,ENSCPBG00000020591,ZFAND2A,ortholog_one2one,ENSCPRG00005017091,ZFAND2A,ortholog_one2one,ENSGALG00000003122,ZFAND2A,ortholog_one2one,ENSG00000178381,ZFAND2A,ortholog_one2one,ENSMUSG00000053581,Zfand2a,ortholog_one2one
ENSVKKG00000000057,ENSVKKG00000000057,DPYD,ENSCPBG00000011421,,ortholog_one2one,ENSCPRG00005014785,DPYD,ortholog_one2one,ENSGALG00000005509,DPYD,ortholog_one2one,ENSG00000188641,DPYD,ortholog_one2one,ENSMUSG00000033308,Dpyd,ortholog_one2one
ENSVKKG00000000059,ENSVKKG00000000059,PCGF5,ENSCPBG00000026522,PCGF5,ortholog_one2one,ENSCPRG00005017727,PCGF5,ortholog_one2one,ENSGALG00000006502,PCGF5,ortholog_one2one,ENSG00000180628,PCGF5,ortholog_one2one,ENSMUSG00000024805,Pcgf5,ortholog_one2one
ENSVKKG00000000060,ENSVKKG00000000060,CPNE8,ENSCPBG00000011604,CPNE8,ortholog_one2one,ENSCPRG00005011872,CPNE8,ortholog_one2one,ENSGALG00000007025,CPNE8,ortholog_one2one,ENSG00000139117,CPNE8,ortholog_one2one,ENSMUSG00000052560,Cpne8,ortholog_one2one
ENSVKKG00000000062,ENSVKKG00000000062,MTRES1,ENSCPBG00000006157,MTRES1,ortholog_one2one,ENSCPRG00005001199,MTRES1,ortholog_one2one,ENSGALG00000015316,C3H6ORF203,ortholog_one2one,ENSG00000130349,MTRES1,ortholog_one2one,ENSMUSG00000019797,Mtres1,ortholog_one2one
ENSVKKG00000000064,ENSVKKG00000000064,,,,,ENSCPRG00005003220,,ortholog_one2one,,,,,,,,,
ENSVKKG00000000067,ENSVKKG00000000067,TMEM229B,ENSCPBG00000021420,TMEM229B,ortholog_one2one,ENSCPRG00005017564,TMEM229B,ortholog_one2one,ENSGALG00000009493,TMEM229B,ortholog_one2one,ENSG00000198133,TMEM229B,ortholog_one2one,ENSMUSG00000046157,Tmem229b,ortholog_one2one
ENSVKKG00000000069,ENSVKKG00000000069,CSTF3,ENSCPBG00000006753,CSTF3,ortholog_one2one,ENSCPRG00005006608,CSTF3,ortholog_one2one,ENSGALG00000011685,CSTF3,ortholog_one2one,ENSG00000176102,CSTF3,ortholog_one2one,ENSMUSG00000027176,Cstf3,ortholog_one2one
ENSVKKG00000000080,ENSVKKG00000000080,IRAK4,ENSCPBG00000015389,IRAK4,ortholog_one2one,ENSCPRG00005009003,IRAK4,ortholog_one2one,"{'ENSGALG00000009586', 'ENSGALG00000048820'}","{nan, 'IRAK4'}",ortholog_one2many,ENSG00000198001,IRAK4,ortholog_one2one,ENSMUSG00000059883,Irak4,ortholog_one2one
ENSVKKG00000000084,ENSVKKG00000000084,CAPN10,ENSCPBG00000015587,CAPN10,ortholog_one2one,ENSCPRG00005011749,CAPN10,ortholog_one2one,ENSGALG00000034562,CAPN10,ortholog_one2one,ENSG00000142330,CAPN10,ortholog_one2one,ENSMUSG00000026270,Capn10,ortholog_one2one
ENSVKKG00000000090,ENSVKKG00000000090,UST,ENSCPBG00000016632,UST,ortholog_one2one,ENSCPRG00005018253,UST,ortholog_one2one,ENSGALG00000012345,UST,ortholog_one2one,ENSG00000111962,UST,ortholog_one2one,ENSMUSG00000047712,Ust,ortholog_one2one
ENSVKKG00000000091,ENSVKKG00000000091,SRD5A2,ENSCPBG00000017087,SRD5A2,ortholog_one2one,ENSCPRG00005013745,SRD5A2,ortholog_one2one,ENSGALG00000010625,SRD5A2,ortholog_one2one,ENSG00000277893,SRD5A2,ortholog_one2one,ENSMUSG00000038541,Srd5a2,ortholog_one2one
ENSVKKG00000000092,ENSVKKG00000000092,TLCD1,ENSCPBG00000020258,TLCD1,ortholog_one2one,ENSCPRG00005015725,TLCD1,ortholog_one2one,ENSGALG00000003973,TLCD1,ortholog_one2one,ENSG00000160606,TLCD1,ortholog_one2one,ENSMUSG00000019437,Tlcd1,ortholog_one2one
ENSVKKG00000000100,ENSVKKG00000000100,,"{'ENSCPBG00000022416', 'ENSCPBG00000011314', 'ENSCPBG00000022153', 'ENSCPBG00000004331'}",,ortholog_one2many,ENSCPRG00005008522,,ortholog_one2many,ENSGALG00000034124,NLRP3,ortholog_one2one,ENSG00000182261,NLRP10,ortholog_one2one,ENSMUSG00000049709,Nlrp10,ortholog_one2one
ENSVKKG00000000105,ENSVKKG00000000105,,ENSCPBG00000021120,CDH18,ortholog_one2one,,,,ENSGALG00000036097,CDH18,ortholog_one2one,ENSG00000145526,CDH18,ortholog_one2many,ENSMUSG00000040420,Cdh18,ortholog_one2many
ENSVKKG00000000108,ENSVKKG00000000108,ATP6V0D2,ENSCPBG00000009584,ATP6V0D2,ortholog_one2one,ENSCPRG00005001069,ATP6V0D2,ortholog_one2one,ENSGALG00000034294,ATP6V0D2,ortholog_one2one,ENSG00000147614,ATP6V0D2,ortholog_one2one,ENSMUSG00000028238,Atp6v0d2,ortholog_one2one
ENSVKKG00000000112,ENSVKKG00000000112,,,,,"{'ENSCPRG00005011815', 'ENSCPRG00005011795'}",,ortholog_one2many,ENSGALG00000045255,CYP2AB5,ortholog_one2one,,,,,,
ENSVKKG00000000116,ENSVKKG00000000116,NSMAF,ENSCPBG00000007021,NSMAF,ortholog_one2one,ENSCPRG00005016411,NSMAF,ortholog_one2one,ENSGALG00000038838,NSMAF,ortholog_one2one,ENSG00000035681,NSMAF,ortholog_one2one,ENSMUSG00000028245,Nsmaf,ortholog_one2one
ENSVKKG00000000118,ENSVKKG00000000118,ATAD2,ENSCPBG00000020667,ATAD2,ortholog_one2one,ENSCPRG00005008758,ATAD2,ortholog_one2one,ENSGALG00000034348,ATAD2,ortholog_one2one,ENSG00000156802,ATAD2,ortholog_one2one,,,
ENSVKKG00000000119,ENSVKKG00000000119,BCO1,ENSCPBG00000023964,BCO1,ortholog_one2one,ENSCPRG00005005937,BCO1,ortholog_one2one,ENSGALG00000005408,BCO1,ortholog_one2one,ENSG00000135697,BCO1,ortholog_one2one,ENSMUSG00000031845,Bco1,ortholog_one2one
ENSVKKG00000000122,ENSVKKG00000000122,PIP4K2A,ENSCPBG00000015214,PIP4K2A,ortholog_one2one,ENSCPRG00005009058,PIP4K2A,ortholog_one2one,ENSGALG00000007877,PIP4K2A,ortholog_one2one,ENSG00000150867,PIP4K2A,ortholog_one2one,ENSMUSG00000026737,Pip4k2a,ortholog_one2one
ENSVKKG00000000128,ENSVKKG00000000128,NUB1,ENSCPBG00000018292,NUB1,ortholog_one2one,ENSCPRG00005004657,NUB1,ortholog_one2one,ENSGALG00000006181,NUB1,ortholog_one2one,ENSG00000013374,NUB1,ortholog_one2one,ENSMUSG00000028954,Nub1,ortholog_one2one
ENSVKKG00000000130,ENSVKKG00000000130,SASH1,ENSCPBG00000016639,SASH1,ortholog_one2one,ENSCPRG00005018257,SASH1,ortholog_one2one,ENSGALG00000012342,SASH1,ortholog_one2one,ENSG00000111961,SASH1,ortholog_one2one,ENSMUSG00000015305,Sash1,ortholog_one2one
ENSVKKG00000000134,ENSVKKG00000000134,NDUFB1,ENSCPBG00000008761,NDUFB1,ortholog_one2one,ENSCPRG00005008223,NDUFB1,ortholog_one2one,ENSGALG00000028537,NDUFB1,ortholog_one2one,ENSG00000183648,NDUFB1,ortholog_one2one,ENSMUSG00000113902,Ndufb1-ps,ortholog_one2one
ENSVKKG00000000137,ENSVKKG00000000137,ZDHHC3,ENSCPBG00000023204,ZDHHC3,ortholog_one2one,ENSCPRG00005008385,ZDHHC3,ortholog_one2one,ENSGALG00000029266,ZDHHC3,ortholog_one2one,ENSG00000163812,ZDHHC3,ortholog_one2one,ENSMUSG00000025786,Zdhhc3,ortholog_one2one
ENSVKKG00000000138,ENSVKKG00000000138,,ENSCPBG00000015589,,ortholog_one2many,,,,"{'ENSGALG00000045351', 'ENSGALG00000008178'}","{'CYP2AB2', 'CYP2AB3'}",ortholog_many2many,,,,,,
ENSVKKG00000000141,ENSVKKG00000000141,ADI1,ENSCPBG00000021621,ADI1,ortholog_one2one,"{'ENSCPRG00005008536', 'ENSCPRG00005008559', 'ENSCPRG00005008530'}",,ortholog_one2many,ENSGALG00000025796,ADI1,ortholog_one2one,ENSG00000182551,ADI1,ortholog_one2one,ENSMUSG00000020629,Adi1,ortholog_one2one
ENSVKKG00000000142,ENSVKKG00000000142,CA2,ENSCPBG00000009602,CA2,ortholog_one2one,ENSCPRG00005001001,CA2,ortholog_one2one,ENSGALG00000030781,CA2,ortholog_one2one,ENSG00000104267,CA2,ortholog_one2one,ENSMUSG00000027562,Car2,ortholog_one2one
ENSVKKG00000000146,ENSVKKG00000000146,,"{'ENSCPBG00000006111', 'ENSCPBG00000004020', 'ENSCPBG00000001586', 'ENSCPBG00000002854', 'ENSCPBG00000004871', 'ENSCPBG00000002282', 'ENSCPBG00000002076', 'ENSCPBG00000000134', 'ENSCPBG00000004521', 'ENSCPBG00000020611', 'ENSCPBG00000019046', 'ENSCPBG00000010167', 'ENSCPBG00000000623', 'ENSCPBG00000024876'}",,ortholog_many2many,"{'ENSCPRG00005010367', 'ENSCPRG00005012215', 'ENSCPRG00005004388', 'ENSCPRG00005004260', 'ENSCPRG00005016386'}",,ortholog_many2many,"{'ENSGALG00000053374', 'ENSGALG00000047329', 'ENSGALG00000049628', 'ENSGALG00000052928', 'ENSGALG00000051399', 'ENSGALG00000054387', 'ENSGALG00000052449', 'ENSGALG00000050479', 'ENSGALG00000054370', 'ENSGALG00000048890', 'ENSGALG00000050043', 'ENSGALG00000052227', 'ENSGALG00000051926', 'ENSGALG00000050180', 'ENSGALG00000046889', 'ENSGALG00000050527', 'ENSGALG00000052441', 'ENSGALG00000048185', 'ENSGALG00000052489', 'ENSGALG00000049173', 'ENSGALG00000051675', 'ENSGALG00000053213', 'ENSGALG00000049642', 'ENSGALG00000052304', 'ENSGALG00000052233', 'ENSGALG00000051879', 'ENSGALG00000051576', 'ENSGALG00000050117', 'ENSGALG00000055113', 'ENSGALG00000054122', 'ENSGALG00000051248', 'ENSGALG00000051197', 'ENSGALG00000051865', 'ENSGALG00000048329', 'ENSGALG00000054175', 'ENSGALG00000050031', 'ENSGALG00000050241', 'ENSGALG00000052411', 'ENSGALG00000053306', 'ENSGALG00000050991', 'ENSGALG00000053127', 'ENSGALG00000052974', 'ENSGALG00000051944', 'ENSGALG00000054029', 'ENSGALG00000052397', 'ENSGALG00000049217', 'ENSGALG00000049563', 'ENSGALG00000047469', 'ENSGALG00000051046', 'ENSGALG00000051866', 'ENSGALG00000053218', 'ENSGALG00000049374', 'ENSGALG00000050265', 'ENSGALG00000054413', 'ENSGALG00000052861', 'ENSGALG00000052917', 'ENSGALG00000050351', 'ENSGALG00000049771', 'ENSGALG00000055028', 'ENSGALG00000053757', 'ENSGALG00000050342', 'ENSGALG00000050009'}",,ortholog_many2many,,,,,,
ENSVKKG00000000152,ENSVKKG00000000152,AKT1,ENSCPBG00000020183,AKT1,ortholog_one2one,ENSCPRG00005015965,AKT1,ortholog_one2one,ENSGALG00000011620,AKT1,ortholog_one2one,ENSG00000142208,AKT1,ortholog_one2one,ENSMUSG00000001729,Akt1,ortholog_one2one
ENSVKKG00000000154,ENSVKKG00000000154,FBH1,ENSCPBG00000019260,FBH1,ortholog_one2one,ENSCPRG00005002141,FBH1,ortholog_one2one,ENSGALG00000008162,FBXO18,ortholog_one2one,ENSG00000134452,FBH1,ortholog_one2one,ENSMUSG00000058594,Fbh1,ortholog_one2one
ENSVKKG00000000160,ENSVKKG00000000160,SPAG6,ENSCPBG00000015199,SPAG6,ortholog_one2one,ENSCPRG00005009085,SPAG6,ortholog_one2one,ENSGALG00000007892,SPAG6,ortholog_one2one,ENSG00000077327,SPAG6,ortholog_one2one,"{'ENSMUSG00000037708', 'ENSMUSG00000022783'}","{'Spag6', 'Spag6l'}",ortholog_one2many
ENSVKKG00000000168,ENSVKKG00000000168,WDR86,ENSCPBG00000018290,WDR86,ortholog_one2one,ENSCPRG00005004680,WDR86,ortholog_one2one,ENSGALG00000019690,WDR86,ortholog_one2one,ENSG00000187260,WDR86,ortholog_one2one,ENSMUSG00000055235,Wdr86,ortholog_one2one
ENSVKKG00000000173,ENSVKKG00000000173,ANKRD16,ENSCPBG00000019249,ANKRD16,ortholog_one2one,ENSCPRG00005002134,ANKRD16,ortholog_one2one,ENSGALG00000008168,ANKRD16,ortholog_one2one,ENSG00000134461,ANKRD16,ortholog_one2one,ENSMUSG00000047909,Ankrd16,ortholog_one2one
ENSVKKG00000000175,ENSVKKG00000000175,ELMO3,ENSCPBG00000015646,ELMO3,ortholog_one2one,,,,ENSGALG00000030220,ELMO3,ortholog_one2one,ENSG00000102890,ELMO3,ortholog_one2one,ENSMUSG00000014791,Elmo3,ortholog_one2one
ENSVKKG00000000177,ENSVKKG00000000177,,ENSCPBG00000008775,SLC24A4,ortholog_one2one,ENSCPRG00005008287,SLC24A4,ortholog_one2one,ENSGALG00000010793,SLC24A4,ortholog_one2one,ENSG00000140090,SLC24A4,ortholog_one2one,ENSMUSG00000041771,Slc24a4,ortholog_one2one
ENSVKKG00000000179,ENSVKKG00000000179,ZFP36L1,ENSCPBG00000021516,ZFP36L1,ortholog_one2one,ENSCPRG00005017588,ZFP36L1,ortholog_one2one,ENSGALG00000039228,ZFP36L1,ortholog_one2one,ENSG00000185650,ZFP36L1,ortholog_one2one,ENSMUSG00000021127,Zfp36l1,ortholog_one2one
ENSVKKG00000000182,ENSVKKG00000000182,SFRP2,ENSCPBG00000009331,SFRP2,ortholog_one2one,ENSCPRG00005009203,SFRP2,ortholog_one2one,ENSGALG00000009241,SFRP2,ortholog_one2one,ENSG00000145423,SFRP2,ortholog_one2one,ENSMUSG00000027996,Sfrp2,ortholog_one2one
ENSVKKG00000000187,ENSVKKG00000000187,TGM4,ENSCPBG00000023207,,ortholog_one2one,ENSCPRG00005008397,,ortholog_one2one,ENSGALG00000033171,TGM4,ortholog_one2one,ENSG00000163810,TGM4,ortholog_one2one,ENSMUSG00000025787,Tgm4,ortholog_one2one
ENSVKKG00000000190,ENSVKKG00000000190,,"{'ENSCPBG00000010905', 'ENSCPBG00000010938', 'ENSCPBG00000010914'}",,ortholog_one2many,,,,,,,,,,,,
ENSVKKG00000000191,ENSVKKG00000000191,NEUROD1,ENSCPBG00000001635,NEUROD1,ortholog_one2one,ENSCPRG00005013456,NEUROD1,ortholog_one2one,ENSGALG00000008908,NEUROD1,ortholog_one2one,ENSG00000162992,NEUROD1,ortholog_one2one,ENSMUSG00000034701,Neurod1,ortholog_one2one
ENSVKKG00000000192,ENSVKKG00000000192,RAD1,ENSCPBG00000021307,RAD1,ortholog_one2one,ENSCPRG00005015678,RAD1,ortholog_one2one,ENSGALG00000003365,RAD1,ortholog_one2one,ENSG00000113456,RAD1,ortholog_one2one,ENSMUSG00000022248,Rad1,ortholog_one2one
ENSVKKG00000000195,ENSVKKG00000000195,,ENSCPBG00000018288,CRYGN,ortholog_one2one,ENSCPRG00005004686,,ortholog_one2one,ENSGALG00000006189,CRYGN,ortholog_one2one,ENSG00000127377,CRYGN,ortholog_one2one,ENSMUSG00000038135,Crygn,ortholog_one2one
ENSVKKG00000000197,ENSVKKG00000000197,,ENSCPBG00000010887,,ortholog_one2one,,,,,,,,,,,,
ENSVKKG00000000198,ENSVKKG00000000198,ATG5,ENSCPBG00000004179,ATG5,ortholog_one2one,ENSCPRG00005001095,ATG5,ortholog_one2one,ENSGALG00000015387,ATG5,ortholog_one2one,ENSG00000057663,ATG5,ortholog_one2one,ENSMUSG00000038160,Atg5,ortholog_one2one
ENSVKKG00000000199,ENSVKKG00000000199,CA13,ENSCPBG00000009615,CA13,ortholog_one2one,"{'ENSCPRG00005000866', 'ENSCPRG00005000878'}",,ortholog_one2many,ENSGALG00000033428,CA13,ortholog_one2one,ENSG00000185015,CA13,ortholog_one2one,ENSMUSG00000027555,Car13,ortholog_one2one
ENSVKKG00000000200,ENSVKKG00000000200,TBCB,ENSCPBG00000005327,TBCB,ortholog_one2one,,,,ENSGALG00000054044,,ortholog_one2one,ENSG00000105254,TBCB,ortholog_one2one,ENSMUSG00000006095,Tbcb,ortholog_one2one
ENSVKKG00000000202,ENSVKKG00000000202,CYP7A1,ENSCPBG00000004801,CYP7A1,ortholog_one2one,ENSCPRG00005016404,CYP7A1,ortholog_one2one,ENSGALG00000041222,CYP7A1,ortholog_one2one,ENSG00000167910,CYP7A1,ortholog_one2one,ENSMUSG00000028240,Cyp7a1,ortholog_one2one
ENSVKKG00000000203,ENSVKKG00000000203,ADSS1,ENSCPBG00000020185,ADSS1,ortholog_one2one,ENSCPRG00005015931,ADSS1,ortholog_one2one,ENSGALG00000011618,ADSS1,ortholog_one2one,ENSG00000185100,ADSS1,ortholog_one2one,ENSMUSG00000011148,Adssl1,ortholog_one2one
ENSVKKG00000000207,ENSVKKG00000000207,PTBP2,ENSCPBG00000017367,PTBP2,ortholog_one2one,ENSCPRG00005014798,PTBP2,ortholog_one2one,ENSGALG00000005552,PTBP2,ortholog_one2one,ENSG00000117569,PTBP2,ortholog_one2one,ENSMUSG00000028134,Ptbp2,ortholog_one2one
ENSVKKG00000000211,ENSVKKG00000000211,PRDM1,ENSCPBG00000004165,PRDM1,ortholog_one2one,ENSCPRG00005001075,PRDM1,ortholog_one2one,ENSGALG00000015388,PRDM1,ortholog_one2one,ENSG00000057657,PRDM1,ortholog_one2one,ENSMUSG00000038151,Prdm1,ortholog_one2one
ENSVKKG00000000215,ENSVKKG00000000215,,ENSCPBG00000019242,TASOR2,ortholog_one2one,ENSCPRG00005002122,TASOR2,ortholog_one2one,ENSGALG00000055101,TASOR2,ortholog_one2one,ENSG00000108021,TASOR2,ortholog_one2one,ENSMUSG00000033799,Tasor2,ortholog_one2one
ENSVKKG00000000225,ENSVKKG00000000225,,,,,,,,"{'ENSGALG00000051251', 'ENSGALG00000050350', 'ENSGALG00000050309', 'ENSGALG00000049751', 'ENSGALG00000027571'}","{nan, 'HIST1H2B7'}",ortholog_many2many,,,,,,
ENSVKKG00000000227,ENSVKKG00000000227,ITM2B,ENSCPBG00000008384,ITM2B,ortholog_one2one,ENSCPRG00005002035,ITM2B,ortholog_one2one,ENSGALG00000016996,ITM2B,ortholog_one2one,ENSG00000136156,ITM2B,ortholog_one2one,ENSMUSG00000022108,Itm2b,ortholog_one2one
ENSVKKG00000000229,ENSVKKG00000000229,BRIX1,ENSCPBG00000021309,BRIX1,ortholog_one2one,ENSCPRG00005015682,BRIX1,ortholog_one2one,ENSGALG00000003373,BRIX1,ortholog_one2one,ENSG00000113460,BRIX1,ortholog_one2one,ENSMUSG00000022247,Brix1,ortholog_one2one
ENSVKKG00000000232,ENSVKKG00000000232,PREP,ENSCPBG00000004147,PREP,ortholog_one2one,ENSCPRG00005001045,PREP,ortholog_one2one,ENSGALG00000015405,PREP,ortholog_one2one,ENSG00000085377,PREP,ortholog_one2one,ENSMUSG00000019849,Prep,ortholog_one2one
ENSVKKG00000000244,ENSVKKG00000000244,,ENSCPBG00000017373,,ortholog_one2one,,,,ENSGALG00000005580,TMEM56,ortholog_one2one,"{'ENSG00000152078', 'ENSG00000271092'}","{'TLCD4', 'TLCD4-RWDD3'}",ortholog_many2many,ENSMUSG00000028132,Tlcd4,ortholog_one2many
ENSVKKG00000000247,ENSVKKG00000000247,CDCA4,ENSCPBG00000020385,CDCA4,ortholog_one2one,,,,ENSGALG00000011692,CDCA4,ortholog_one2one,ENSG00000170779,CDCA4,ortholog_one2one,ENSMUSG00000047832,Cdca4,ortholog_one2one
ENSVKKG00000000261,ENSVKKG00000000261,,ENSCPBG00000024483,NEURL1,ortholog_one2one,ENSCPRG00005012544,NEURL1,ortholog_one2one,ENSGALG00000008281,NEURL1,ortholog_one2one,ENSG00000107954,NEURL1,ortholog_one2one,ENSMUSG00000006435,Neurl1a,ortholog_one2one
ENSVKKG00000000267,ENSVKKG00000000267,ASB13,ENSCPBG00000019236,ASB13,ortholog_one2one,ENSCPRG00005002105,ASB13,ortholog_one2one,ENSGALG00000008401,ASB13,ortholog_one2one,ENSG00000196372,ASB13,ortholog_one2one,ENSMUSG00000033781,Asb13,ortholog_one2one
ENSVKKG00000000274,ENSVKKG00000000274,CNN3,ENSCPBG00000017378,CNN3,ortholog_one2one,ENSCPRG00005014817,CNN3,ortholog_one2one,ENSGALG00000005597,CNN3,ortholog_one2one,ENSG00000117519,CNN3,ortholog_one2one,ENSMUSG00000053931,Cnn3,ortholog_one2one
ENSVKKG00000000276,ENSVKKG00000000276,JAG2,ENSCPBG00000020376,JAG2,ortholog_one2one,ENSCPRG00005016017,JAG2,ortholog_one2one,ENSGALG00000011696,JAG2,ortholog_one2one,ENSG00000184916,JAG2,ortholog_one2one,ENSMUSG00000002799,Jag2,ortholog_one2one
ENSVKKG00000000278,ENSVKKG00000000278,FGB,ENSCPBG00000009324,FGB,ortholog_one2one,ENSCPRG00005009236,FGB,ortholog_one2one,ENSGALG00000009262,FGB,ortholog_one2one,ENSG00000171564,FGB,ortholog_one2one,ENSMUSG00000033831,Fgb,ortholog_one2one
ENSVKKG00000000280,ENSVKKG00000000280,,ENSCPBG00000011965,ERCC6L,ortholog_one2many,ENSCPRG00005009483,ERCC6L,ortholog_one2many,ENSGALG00000003881,ERCC6L,ortholog_one2many,ENSG00000186871,ERCC6L,ortholog_one2many,ENSMUSG00000051220,Ercc6l,ortholog_one2many
ENSVKKG00000000283,ENSVKKG00000000283,PRDX1,ENSCPBG00000005425,PRDX1,ortholog_one2one,ENSCPRG00005017830,PRDX1,ortholog_one2one,ENSGALG00000010243,PRDX1,ortholog_one2one,ENSG00000117450,PRDX1,ortholog_one2one,ENSMUSG00000028691,Prdx1,ortholog_one2one
ENSVKKG00000000284,ENSVKKG00000000284,,ENSCPBG00000011965,ERCC6L,ortholog_one2many,ENSCPRG00005009483,ERCC6L,ortholog_one2many,ENSGALG00000003881,ERCC6L,ortholog_one2many,ENSG00000186871,ERCC6L,ortholog_one2many,ENSMUSG00000051220,Ercc6l,ortholog_one2many
ENSVKKG00000000287,ENSVKKG00000000287,SH3PXD2A,ENSCPBG00000024482,SH3PXD2A,ortholog_one2one,ENSCPRG00005012523,SH3PXD2A,ortholog_one2one,ENSGALG00000008293,SH3PXD2A,ortholog_one2one,ENSG00000107957,SH3PXD2A,ortholog_one2one,ENSMUSG00000053617,Sh3pxd2a,ortholog_one2one
