Gene stable ID	Gene name
ENSXETG00000002245	frmpd1
ENSXETG00000030275	mif
ENSXETG00000021105	hadh
ENSXETG00000048987	
ENSXETG00000037570	chsy3
ENSXETG00000027428	iscu
ENSXETG00000014338	armc6
ENSXETG00000026945	prkab1
ENSXETG00000024487	acer2
ENSXETG00000042204	
ENSXETG00000000595	cdc37l1
ENSXETG00000021102	lef1
ENSXETG00000000759	rfk
ENSXETG00000036153	
ENSXETG00000009377	mob3b
ENSXETG00000034895	C4orf46
ENSXETG00000022939	dhfr
ENSXETG00000049441	
ENSXETG00000031297	SIGLEC15
ENSXETG00000030450	sugp2
ENSXETG00000007119	slc10a7
ENSXETG00000042242	tmem119
ENSXETG00000047568	slc14a2
ENSXETG00000036088	tomm5
ENSXETG00000031305	minar2
ENSXETG00000000760	gcnt1
ENSXETG00000030157	smc5
ENSXETG00000023661	fam13a
ENSXETG00000032054	tmem17
ENSXETG00000002592	txn
ENSXETG00000004044	usp53
ENSXETG00000032613	adamts19
ENSXETG00000039864	micos13
ENSXETG00000040617	REELD1
ENSXETG00000006532	fbxo10
ENSXETG00000010186	coro2a
ENSXETG00000016154	
ENSXETG00000016413	dtx1
ENSXETG00000023099	slc24a2
ENSXETG00000014342	hsd11b1l
ENSXETG00000023683	lsm6
ENSXETG00000026537	gadd45g
ENSXETG00000046020	
ENSXETG00000003335	slc7a11
ENSXETG00000014344	celf5
ENSXETG00000006533	polr1e
ENSXETG00000023395	alb
ENSXETG00000033124	mrpl52
ENSXETG00000030483	spata6l
ENSXETG00000010200	ecpas
ENSXETG00000039318	inip
ENSXETG00000042223	XB5771954 [provisional:nnmt]
ENSXETG00000043501	
ENSXETG00000037401	
ENSXETG00000022669	mmp14
ENSXETG00000041921	
ENSXETG00000048368	
ENSXETG00000046913	
ENSXETG00000023684	znf827
ENSXETG00000030784	lyrm7
ENSXETG00000022900	grpel1
ENSXETG00000011719	tmem161b
ENSXETG00000043975	
ENSXETG00000035871	
ENSXETG00000040941	
ENSXETG00000048155	U4
ENSXETG00000047854	
ENSXETG00000034071	
ENSXETG00000048819	
ENSXETG00000011692	glis3
ENSXETG00000040688	
ENSXETG00000047095	5S_rRNA
ENSXETG00000046402	
ENSXETG00000003614	taok2
ENSXETG00000048269	
ENSXETG00000045908	
ENSXETG00000012803	chrna9
ENSXETG00000048502	U4
ENSXETG00000049380	
ENSXETG00000044297	
ENSXETG00000046547	
ENSXETG00000049213	
ENSXETG00000033078	XB5765006 [provisional:trim25]
ENSXETG00000044783	mis18a
ENSXETG00000043282	5S_rRNA
ENSXETG00000013757	rem2
ENSXETG00000043168	
ENSXETG00000008278	hint1
ENSXETG00000046996	
ENSXETG00000019628	adgrv1
ENSXETG00000046792	U4
ENSXETG00000025161	dazap2
ENSXETG00000038285	
ENSXETG00000041652	
ENSXETG00000035814	
ENSXETG00000036218	
ENSXETG00000047497	
ENSXETG00000045127	
ENSXETG00000012183	cit
ENSXETG00000023685	mmaa
ENSXETG00000046919	rflna
ENSXETG00000048558	
ENSXETG00000044265	
ENSXETG00000038476	U4
ENSXETG00000042980	
ENSXETG00000004761	rtbdn
ENSXETG00000041564	
ENSXETG00000046577	clcnkb
ENSXETG00000039395	
ENSXETG00000044238	s1pr4
ENSXETG00000001048	trpm6
ENSXETG00000023652	herc3
ENSXETG00000043254	U4
ENSXETG00000041639	
ENSXETG00000049248	
ENSXETG00000042540	
ENSXETG00000044483	
ENSXETG00000035648	
ENSXETG00000047254	
ENSXETG00000035205	
ENSXETG00000039219	
ENSXETG00000042801	U4
ENSXETG00000033963	brpf3
ENSXETG00000000909	fsd1l
ENSXETG00000038808	
ENSXETG00000047219	
ENSXETG00000048239	
ENSXETG00000046640	
ENSXETG00000044529	
ENSXETG00000044312	
ENSXETG00000004762	rnaseh2a
ENSXETG00000045051	
ENSXETG00000044462	U4
ENSXETG00000022346	nr2f2
ENSXETG00000046835	
ENSXETG00000048462	U4
ENSXETG00000022623	rbm23
ENSXETG00000044655	
ENSXETG00000022306	uhrf1
ENSXETG00000043890	
ENSXETG00000010209	smc2
ENSXETG00000043664	
ENSXETG00000042039	U4
ENSXETG00000040265	tmprss2.2
ENSXETG00000043329	
ENSXETG00000036225	
ENSXETG00000048655	
ENSXETG00000047763	U4
ENSXETG00000006534	zbtb5
ENSXETG00000042999	
ENSXETG00000046737	
ENSXETG00000045023	
ENSXETG00000004763	prdx2
ENSXETG00000014348	ncln
ENSXETG00000046700	U4
ENSXETG00000015365	tbc1d22b
ENSXETG00000045468	
ENSXETG00000039037	fam227b
ENSXETG00000019051	klf9
ENSXETG00000048248	
ENSXETG00000042347	
ENSXETG00000032076	mphosph8
ENSXETG00000041708	U4
ENSXETG00000005081	gcnt4
ENSXETG00000047040	
ENSXETG00000044122	
ENSXETG00000013600	ap1m1
ENSXETG00000003807	neu3.1
ENSXETG00000030150	tph2
ENSXETG00000046029	
ENSXETG00000017037	cops6
ENSXETG00000011400	casr
ENSXETG00000044697	U4
ENSXETG00000042248	
ENSXETG00000047587	U4
ENSXETG00000046179	
ENSXETG00000045322	
ENSXETG00000046891	
ENSXETG00000007352	hunk
ENSXETG00000005206	pkm
ENSXETG00000048090	
ENSXETG00000046717	
ENSXETG00000043425	U4
ENSXETG00000026047	smad1
ENSXETG00000022049	nmrk2
ENSXETG00000040494	neu3.2
ENSXETG00000047697	
ENSXETG00000041747	
ENSXETG00000010217	dnajc25
ENSXETG00000047075	
ENSXETG00000042945	SNORD15
ENSXETG00000048075	U4
ENSXETG00000043834	
ENSXETG00000045581	
ENSXETG00000008132	ankrd17
ENSXETG00000026886	plpp2
ENSXETG00000015370	mybph
ENSXETG00000039639	pspc1
ENSXETG00000042908	
ENSXETG00000037798	
ENSXETG00000047244	
ENSXETG00000042352	
ENSXETG00000033668	neu3.3
ENSXETG00000028188	SNORD15
ENSXETG00000042104	
ENSXETG00000048006	U4
ENSXETG00000047831	
ENSXETG00000027064	
ENSXETG00000030016	aff3
ENSXETG00000035661	gng10
ENSXETG00000037937	fgf7
ENSXETG00000044887	
ENSXETG00000043034	U4
ENSXETG00000041421	
ENSXETG00000007969	
ENSXETG00000040848	
ENSXETG00000046533	
ENSXETG00000049461	fzd9
ENSXETG00000043477	
ENSXETG00000003854	klhl34
ENSXETG00000015108	rdh7
ENSXETG00000038707	
ENSXETG00000028273	SNORD15
ENSXETG00000048517	
ENSXETG00000048088	
ENSXETG00000018162	fam151b
ENSXETG00000033344	
ENSXETG00000021269	b3galt9
ENSXETG00000006536	XB5814630 [provisional:inmt]
ENSXETG00000001690	suclg1
ENSXETG00000034852	
ENSXETG00000034138	
ENSXETG00000043492	
ENSXETG00000042664	U4
ENSXETG00000047034	
ENSXETG00000009635	letmd1
ENSXETG00000020233	wdr73
ENSXETG00000046387	SNORD15
ENSXETG00000046471	
ENSXETG00000044577	
ENSXETG00000007968	cenpo
ENSXETG00000047314	
ENSXETG00000010042	gusb
ENSXETG00000008787	dtwd1
ENSXETG00000031546	trpm3
ENSXETG00000007571	kpna7
ENSXETG00000044877	hoxc9
ENSXETG00000036286	
ENSXETG00000041850	
ENSXETG00000020707	vps36
ENSXETG00000045702	U4
ENSXETG00000022626	prmt5
ENSXETG00000004765	hook2
ENSXETG00000048772	
ENSXETG00000031319	or2t27
ENSXETG00000012802	rbm47
ENSXETG00000036627	U2
ENSXETG00000034524	
ENSXETG00000043475	
ENSXETG00000002643	zmym2
ENSXETG00000038338	
ENSXETG00000036289	
ENSXETG00000048354	
ENSXETG00000005963	tmprss2.6
ENSXETG00000041602	TMEM200B
ENSXETG00000046707	
ENSXETG00000014869	efna5
ENSXETG00000039437	
ENSXETG00000049105	
ENSXETG00000044316	U4
ENSXETG00000022051	cdc42se2
ENSXETG00000013602	upf1
ENSXETG00000022892	sorcs2
ENSXETG00000032810	
ENSXETG00000035409	
ENSXETG00000043390	
ENSXETG00000045368	U3
ENSXETG00000025552	trarg1
ENSXETG00000049137	
ENSXETG00000036227	
ENSXETG00000040700	piwil3
ENSXETG00000034983	
ENSXETG00000046502	U4
ENSXETG00000011787	pdx1
ENSXETG00000046788	
ENSXETG00000015595	npr3
ENSXETG00000048179	
ENSXETG00000009634	csrnp2
ENSXETG00000017124	mab21l1
ENSXETG00000038555	
ENSXETG00000031671	
ENSXETG00000049301	
ENSXETG00000047372	shoc1
ENSXETG00000048224	
ENSXETG00000045084	
ENSXETG00000024716	fkbp6
ENSXETG00000008131	cox18
ENSXETG00000045559	XB5900534 [provisional:or56a5]
ENSXETG00000043348	U3
ENSXETG00000044206	
ENSXETG00000008788	
ENSXETG00000025813	pebp4
ENSXETG00000044543	U4
ENSXETG00000042180	
ENSXETG00000035623	gsx1
ENSXETG00000007588	aen
ENSXETG00000016524	
ENSXETG00000012189	bicdl1
ENSXETG00000045437	foxb2
ENSXETG00000032202	trhde
ENSXETG00000048678	
ENSXETG00000020706	thsd1
ENSXETG00000036946	
ENSXETG00000042168	
ENSXETG00000048627	
ENSXETG00000048594	
ENSXETG00000008963	lhx1
ENSXETG00000045942	
ENSXETG00000047766	
ENSXETG00000045476	
ENSXETG00000043033	U4
ENSXETG00000021884	vmac
ENSXETG00000042304	U3
ENSXETG00000044152	
ENSXETG00000044557	
ENSXETG00000004417	aurka
ENSXETG00000043352	
ENSXETG00000030984	aup1
ENSXETG00000047657	
ENSXETG00000048589	U4
ENSXETG00000044949	U3
ENSXETG00000023958	lrrtm1
ENSXETG00000041561	
ENSXETG00000008129	adamts3
ENSXETG00000044298	
ENSXETG00000007790	mtmr4
ENSXETG00000016523	
ENSXETG00000042611	p4ha3
ENSXETG00000025998	polr1d.1
ENSXETG00000038483	gosr1
ENSXETG00000022438	slc47a1
ENSXETG00000015585	mtmr12
ENSXETG00000041986	
ENSXETG00000044614	
ENSXETG00000021094	NSUN7
ENSXETG00000021881	caps
ENSXETG00000048619	U3
ENSXETG00000046694	
ENSXETG00000020703	fgl1b
ENSXETG00000046299	U4
ENSXETG00000040738	G0S2
ENSXETG00000010334	baz1b
ENSXETG00000036860	SMIM43
ENSXETG00000043104	gpr182
ENSXETG00000030188	dnah10
ENSXETG00000016850	prnp
ENSXETG00000026943	rab35
ENSXETG00000013814	med24
ENSXETG00000045274	
ENSXETG00000042245	
ENSXETG00000009632	tfcp2
ENSXETG00000046048	
ENSXETG00000038150	
ENSXETG00000044091	U3
ENSXETG00000041491	
ENSXETG00000023472	hoxc10
ENSXETG00000047324	
ENSXETG00000043522	U4
ENSXETG00000044943	
ENSXETG00000012171	boc
ENSXETG00000045660	
ENSXETG00000005205	parp6
ENSXETG00000022630	haus4
ENSXETG00000008213	arhgef7
ENSXETG00000046507	
ENSXETG00000040037	tmprss2.6
ENSXETG00000043377	U3
ENSXETG00000045047	
ENSXETG00000045698	
ENSXETG00000047760	
ENSXETG00000047886	U4
ENSXETG00000047504	
ENSXETG00000018719	itpr3
ENSXETG00000014602	twsg2
ENSXETG00000002645	cryl1
ENSXETG00000000364	esm1
ENSXETG00000035308	golph3
ENSXETG00000010332	nsun5
ENSXETG00000034984	
ENSXETG00000023470	hoxc12
ENSXETG00000045173	
ENSXETG00000011611	afap1
ENSXETG00000043076	
ENSXETG00000048505	U3
ENSXETG00000044292	
ENSXETG00000029242	
ENSXETG00000030000	
ENSXETG00000042007	
ENSXETG00000012633	
ENSXETG00000048274	vn1r1
ENSXETG00000012561	ppme1
ENSXETG00000029684	U3
ENSXETG00000008789	atp8b4
ENSXETG00000045126	
ENSXETG00000046955	U4
ENSXETG00000038664	HOXC13
ENSXETG00000043256	
ENSXETG00000007351	scaf4
ENSXETG00000020701	tpte2
ENSXETG00000048922	
ENSXETG00000017616	hhip
ENSXETG00000042431	
ENSXETG00000047807	
ENSXETG00000022632	C14orf93
ENSXETG00000016384	thsd4
ENSXETG00000046416	
ENSXETG00000031112	
ENSXETG00000030790	
ENSXETG00000040892	
ENSXETG00000045395	U3
ENSXETG00000035051	
ENSXETG00000045615	U4
ENSXETG00000014200	pou6f1
ENSXETG00000044580	
ENSXETG00000042662	
ENSXETG00000043281	
ENSXETG00000041626	cpd
ENSXETG00000045245	
ENSXETG00000047407	
ENSXETG00000046066	U3
ENSXETG00000047287	U4
ENSXETG00000045898	
ENSXETG00000042909	
ENSXETG00000010219	ugcg
ENSXETG00000008959	aatf
ENSXETG00000043759	
ENSXETG00000044608	
ENSXETG00000048797	
ENSXETG00000036603	
ENSXETG00000046880	
ENSXETG00000043540	
ENSXETG00000036651	ppp1r3e
ENSXETG00000047352	
ENSXETG00000044670	
ENSXETG00000039531	U3
ENSXETG00000046986	U4
ENSXETG00000046774	
ENSXETG00000043082	
ENSXETG00000043992	
ENSXETG00000047433	
ENSXETG00000048215	
ENSXETG00000015574	pdzd2
ENSXETG00000047391	
ENSXETG00000026351	psmb5
ENSXETG00000044797	U3
ENSXETG00000025475	ranbp3
ENSXETG00000046736	U4
ENSXETG00000045098	
ENSXETG00000031080	
ENSXETG00000046522	
ENSXETG00000042230	
ENSXETG00000042602	
ENSXETG00000037829	smagp
ENSXETG00000026530	man2a1
ENSXETG00000043803	U4
ENSXETG00000045487	5S_rRNA
ENSXETG00000042577	
ENSXETG00000047251	U3
ENSXETG00000044027	
ENSXETG00000048943	
ENSXETG00000022638	psmb11
ENSXETG00000047978	
ENSXETG00000039945	tafa5
ENSXETG00000002644	gja3
ENSXETG00000048110	
ENSXETG00000008281	isoc1
ENSXETG00000048178	U4
ENSXETG00000044769	
ENSXETG00000005832	atp6v0a2
ENSXETG00000048568	U3
ENSXETG00000044224	5S_rRNA
ENSXETG00000047863	sod1
ENSXETG00000018392	slc12a9
ENSXETG00000041926	
ENSXETG00000040099	ctnna2
ENSXETG00000019002	ykt6
ENSXETG00000042165	
ENSXETG00000043775	
ENSXETG00000045154	U3
ENSXETG00000043260	
ENSXETG00000047245	U4
ENSXETG00000047560	
ENSXETG00000044450	5S_rRNA
ENSXETG00000044629	
ENSXETG00000046255	U4
ENSXETG00000037908	bin2
ENSXETG00000049054	U3
ENSXETG00000041289	
ENSXETG00000009376	c9orf72
ENSXETG00000049489	
ENSXETG00000047332	U6
ENSXETG00000022648	cdh24
ENSXETG00000047162	
ENSXETG00000044048	
ENSXETG00000044677	
ENSXETG00000046379	
ENSXETG00000021093	apbb2
ENSXETG00000017955	tmigd1
ENSXETG00000046742	U4
ENSXETG00000045428	U3
ENSXETG00000037130	
ENSXETG00000048967	U6
ENSXETG00000012560	c2cd3
ENSXETG00000045278	
ENSXETG00000014353	tle2
ENSXETG00000049451	U3
ENSXETG00000048622	U4
ENSXETG00000044102	
ENSXETG00000041742	
ENSXETG00000042367	
ENSXETG00000049064	U6
ENSXETG00000046593	
ENSXETG00000006732	grm4
ENSXETG00000047333	
ENSXETG00000047966	
ENSXETG00000027202	slc25a15.2
ENSXETG00000037297	
ENSXETG00000037104	adgrl3
ENSXETG00000002215	susd1
ENSXETG00000047178	U3
ENSXETG00000023875	chd1
ENSXETG00000004420	ccdc89
ENSXETG00000045094	
ENSXETG00000000916	fktn
ENSXETG00000029259	
ENSXETG00000019627	lysmd3
ENSXETG00000000914	msmo1
ENSXETG00000045359	U6
ENSXETG00000045597	U3
ENSXETG00000048631	
ENSXETG00000018999	tmed4
ENSXETG00000017613	anapc10
ENSXETG00000042929	
ENSXETG00000044235	
ENSXETG00000037198	
ENSXETG00000046571	U4
ENSXETG00000044115	U6
ENSXETG00000041675	
ENSXETG00000048318	U3
ENSXETG00000037832	polr3g
ENSXETG00000045655	
ENSXETG00000006541	
ENSXETG00000007789	hpd-like.2
ENSXETG00000026112	gjb2
ENSXETG00000045693	U4
ENSXETG00000049084	U6
ENSXETG00000045275	TAL2
ENSXETG00000047114	
ENSXETG00000038798	
ENSXETG00000044878	
ENSXETG00000043733	U3
ENSXETG00000015427	adra2c
ENSXETG00000010368	adra1d
ENSXETG00000021879	slc1a6
ENSXETG00000043369	
ENSXETG00000014939	smo
ENSXETG00000048647	
ENSXETG00000046047	U4
ENSXETG00000040983	tac3
ENSXETG00000042184	U6
ENSXETG00000032729	arih1
ENSXETG00000044433	U3
ENSXETG00000042396	
ENSXETG00000047093	
ENSXETG00000031858	tmem107
ENSXETG00000014812	htr1a
ENSXETG00000042679	
ENSXETG00000000907	tmem38b
ENSXETG00000044551	
ENSXETG00000046236	ankrd34b
ENSXETG00000048302	U4
ENSXETG00000035429	XB5752756 [provisional:thap1]
ENSXETG00000034776	jchain
ENSXETG00000045530	
ENSXETG00000045144	U3
ENSXETG00000043710	U6
ENSXETG00000010365	
ENSXETG00000030625	septin4
ENSXETG00000039660	
ENSXETG00000017777	cfap44
ENSXETG00000036915	
ENSXETG00000043773	
ENSXETG00000049011	
ENSXETG00000046361	U4
ENSXETG00000049431	
ENSXETG00000024927	
ENSXETG00000048685	U3
ENSXETG00000044423	wdr4
ENSXETG00000048271	
ENSXETG00000047182	U6
ENSXETG00000008282	slc27a6
ENSXETG00000048912	
ENSXETG00000014947	tspan33
ENSXETG00000011651	ilf3
ENSXETG00000043690	U4
ENSXETG00000014407	epb41
ENSXETG00000049061	
ENSXETG00000042631	
ENSXETG00000042610	U3
ENSXETG00000048307	
ENSXETG00000043656	
ENSXETG00000017954	ssh2
ENSXETG00000046138	U6
ENSXETG00000044456	dqx1
ENSXETG00000045835	
ENSXETG00000017571	dapk1
ENSXETG00000048556	U4
ENSXETG00000045211	
ENSXETG00000025168	abce1
ENSXETG00000023865	slco4c1
ENSXETG00000044976	U3
ENSXETG00000047646	
ENSXETG00000005831	tctn2
ENSXETG00000041701	
ENSXETG00000042170	
ENSXETG00000043523	U6
ENSXETG00000047951	
ENSXETG00000015541	fut11
ENSXETG00000010946	pabpc4
ENSXETG00000008211	ankrd10
ENSXETG00000026854	
ENSXETG00000019000	ddx56
ENSXETG00000045374	
ENSXETG00000045998	U4
ENSXETG00000042844	
ENSXETG00000045565	U3
ENSXETG00000048200	
ENSXETG00000043650	
ENSXETG00000048219	U6
ENSXETG00000045864	
ENSXETG00000043434	
ENSXETG00000048124	
ENSXETG00000017992	smox
ENSXETG00000011610	ablim2
ENSXETG00000046455	
ENSXETG00000049425	U3
ENSXETG00000043671	U4
ENSXETG00000044626	
ENSXETG00000014950	ccdc136
ENSXETG00000047615	
ENSXETG00000046958	
ENSXETG00000045883	
ENSXETG00000041792	U6
ENSXETG00000042156	
ENSXETG00000042383	
ENSXETG00000047579	U3
ENSXETG00000023384	ndufs4
ENSXETG00000045807	U4
ENSXETG00000004422	myo1a
ENSXETG00000049142	
ENSXETG00000018610	gk
ENSXETG00000045056	
ENSXETG00000031418	cartpt
ENSXETG00000049481	
ENSXETG00000042167	
ENSXETG00000045104	
ENSXETG00000031455	ift88
ENSXETG00000045882	
ENSXETG00000044189	
ENSXETG00000045563	U3
ENSXETG00000000362	gzma
ENSXETG00000046512	U6
ENSXETG00000027108	
ENSXETG00000045995	U4
ENSXETG00000047651	bbs4
ENSXETG00000049257	
ENSXETG00000041802	
ENSXETG00000034740	ucp3
ENSXETG00000025376	acin1
ENSXETG00000047771	
ENSXETG00000046412	
ENSXETG00000044449	
ENSXETG00000045373	
ENSXETG00000039267	
ENSXETG00000041518	U3
ENSXETG00000039666	cetn3
ENSXETG00000045800	U6
ENSXETG00000048059	
ENSXETG00000010059	vkorc1l1
ENSXETG00000049083	
ENSXETG00000047919	U4
ENSXETG00000048545	
ENSXETG00000045088	
ENSXETG00000048540	
ENSXETG00000023322	tbc1d22a
ENSXETG00000045642	U3
ENSXETG00000013481	pex12
ENSXETG00000017459	nudt12
ENSXETG00000046012	
ENSXETG00000045613	U6
ENSXETG00000046217	
ENSXETG00000043751	U4
ENSXETG00000049175	
ENSXETG00000043398	
ENSXETG00000049112	
ENSXETG00000044656	U3
ENSXETG00000043761	
ENSXETG00000043838	U6
ENSXETG00000023279	atoh1
ENSXETG00000047121	
ENSXETG00000041716	
ENSXETG00000026447	ucp2
ENSXETG00000044700	
ENSXETG00000044484	U4
ENSXETG00000010944	ppie
ENSXETG00000049369	
ENSXETG00000034185	klhl2
ENSXETG00000043910	U3
ENSXETG00000023649	dck.1
ENSXETG00000042692	nkx3-1
ENSXETG00000044056	U6
ENSXETG00000045799	
ENSXETG00000045662	
ENSXETG00000048093	
ENSXETG00000018576	mapk1
ENSXETG00000003616	vps13a
ENSXETG00000047249	U4
ENSXETG00000017952	efcab5
ENSXETG00000048861	
ENSXETG00000032483	
ENSXETG00000046816	U3
ENSXETG00000016131	bbx
ENSXETG00000016152	P2RX2
ENSXETG00000048634	
ENSXETG00000029769	
ENSXETG00000043860	
ENSXETG00000047742	
ENSXETG00000008212	ing1
ENSXETG00000049449	
ENSXETG00000012541	dnajb13
ENSXETG00000034900	
ENSXETG00000042823	U4
ENSXETG00000047320	U3
ENSXETG00000041676	crygdl2.2
ENSXETG00000048924	
ENSXETG00000007764	nkx2-6
ENSXETG00000046623	
ENSXETG00000035044	U4
ENSXETG00000000483	or52d1
ENSXETG00000048054	
ENSXETG00000024940	ypel1
ENSXETG00000017606	otud4
ENSXETG00000045901	
ENSXETG00000048919	U4
ENSXETG00000042974	
ENSXETG00000048708	tiam1
ENSXETG00000048812	U3
ENSXETG00000002597	lpar1
ENSXETG00000044438	
ENSXETG00000035807	il17d
ENSXETG00000041148	
ENSXETG00000029287	
ENSXETG00000019001	npc1l1
ENSXETG00000044689	
ENSXETG00000033877	plppr1
ENSXETG00000033030	hsf5
ENSXETG00000046145	
ENSXETG00000045323	U4
ENSXETG00000049410	
ENSXETG00000042445	znf16
ENSXETG00000016386	bmp7.2
ENSXETG00000043476	U3
ENSXETG00000039634	or52l1l [provisional]
ENSXETG00000043847	
ENSXETG00000046297	
ENSXETG00000048646	
ENSXETG00000028358	U6
ENSXETG00000041170	
ENSXETG00000042656	
ENSXETG00000043037	
ENSXETG00000046254	U4
ENSXETG00000047631	U3
ENSXETG00000044068	
ENSXETG00000020296	tjp1
ENSXETG00000048421	
ENSXETG00000029805	
ENSXETG00000048713	
ENSXETG00000043014	
ENSXETG00000005200	bbs4
ENSXETG00000048833	
ENSXETG00000047720	
ENSXETG00000010940	bmp8
ENSXETG00000048017	U3
ENSXETG00000044620	U4
ENSXETG00000042729	
ENSXETG00000048423	
ENSXETG00000035910	U4
ENSXETG00000002225	ptbp3
ENSXETG00000043189	U3
ENSXETG00000046871	
ENSXETG00000047625	
ENSXETG00000030814	
ENSXETG00000026450	pold3
ENSXETG00000049128	U4
ENSXETG00000047194	
ENSXETG00000048319	
ENSXETG00000042213	
ENSXETG00000030509	
ENSXETG00000029610	U6
ENSXETG00000042310	
ENSXETG00000008210	cars2
ENSXETG00000019375	rev1
ENSXETG00000033485	eef1akmt1
ENSXETG00000037241	rnf43
ENSXETG00000045497	U3
ENSXETG00000048607	
ENSXETG00000000063	tmprss2.12
ENSXETG00000041517	U4
ENSXETG00000002604	musk
ENSXETG00000021161	ccbe1
ENSXETG00000042739	rnf24
ENSXETG00000047451	
ENSXETG00000038441	spata5l1
ENSXETG00000022294	acacb
ENSXETG00000043567	
ENSXETG00000011609	man2b2
ENSXETG00000041801	
ENSXETG00000042622	
ENSXETG00000042997	
ENSXETG00000043850	lingo2
ENSXETG00000042262	
ENSXETG00000045504	
ENSXETG00000043687	
ENSXETG00000044322	U4
ENSXETG00000045987	U3
ENSXETG00000013480	ap2b1
ENSXETG00000040712	ypel2
ENSXETG00000035795	nsrp1
ENSXETG00000041485	
ENSXETG00000018594	ppil2
ENSXETG00000046424	
ENSXETG00000047486	
ENSXETG00000017590	frem3
ENSXETG00000046376	U4
ENSXETG00000045989	U3
ENSXETG00000044587	
ENSXETG00000032041	trem2
ENSXETG00000040223	
ENSXETG00000041646	
ENSXETG00000001739	
ENSXETG00000018619	dcp1b
ENSXETG00000049151	
ENSXETG00000043829	
