eggnog_name,gene_id
AGPAT5P1,ENSG00000234652
,ENSG00000218410
TSPY20P,ENSG00000243643
FAM41AY1,ENSG00000224989
TTTY6B,ENSG00000131548
ELOCP15,ENSG00000232029
,ENSG00000273858
TRIM60P3Y,ENSG00000227830
MTND1P1,ENSG00000226529
LINC00280,ENSG00000229643
,ENSG00000274837
PRRC2CP1,ENSG00000216777
ZNF736P10Y,ENSG00000216824
,ENSG00000275352
,ENSG00000276829
TSPY1,ENSG00000258992
CDY12P,ENSG00000228850
,ENSG00000283076
MTND2P3,ENSG00000234850
CDY13P,ENSG00000224873
RBMY1KP,ENSG00000229234
,ENSG00000270570
TTTY21B,ENSG00000237563
,ENSG00000223517
,ENSG00000228207
,ENSG00000224917
,ENSG00000286187
ARSDP1,ENSG00000225117
TTTY5,ENSG00000215560
CDY4P,ENSG00000228411
,ENSG00000235059
RBMY1D,ENSG00000244395
RBMY2WP,ENSG00000230727
USP9YP24,ENSG00000230814
,ENSG00000229725
TTTY10,ENSG00000229236
UBE2V1P3,ENSG00000229518
FAM8A4P,ENSG00000232730
,ENSG00000229308
,ENSG00000244000
TRIM60P8Y,ENSG00000232764
MED13P1,ENSG00000236131
TSPY6P,ENSG00000270073
CYCSP46,ENSG00000227949
RNU6-303P,ENSG00000252900
RNA5SP518,ENSG00000251766
,ENSG00000252689
RN7SL702P,ENSG00000243980
RNA5SP520,ENSG00000252315
RNA5SP521,ENSG00000252012
,ENSG00000273966
RNU6-109P,ENSG00000252173
RNA5-8SP6,ENSG00000251705
RNA5SP519,ENSG00000252289
RNU6-184P,ENSG00000252323
HSFY2,ENSG00000169953
GPM6BP2,ENSG00000236429
USP9YP2,ENSG00000249501
ELOCP14,ENSG00000228193
PRYP6,ENSG00000248573
XKRYP2,ENSG00000230904
USP9YP10,ENSG00000238135
USP9YP28,ENSG00000224151
RNU1-41P,ENSG00000251970
OFD1P7Y,ENSG00000238088
MTCYBP2,ENSG00000217179
ZNF839P1,ENSG00000217896
CD24P4,ENSG00000185275
RNU6-255P,ENSG00000252766
,ENSG00000274282
GAPDHP19,ENSG00000234529
CLUHP1,ENSG00000238191
TAF9P1,ENSG00000226353
,ENSG00000275578
CDY5P,ENSG00000226449
ELOCP36,ENSG00000225896
PRYP1,ENSG00000224166
ACTG1P2,ENSG00000229129
USP9YP23,ENSG00000223555
USP9YP27,ENSG00000235521
RNU1-128P,ENSG00000252513
TRAPPC2P3,ENSG00000224964
OFD1P1Y,ENSG00000226011
ELOCP6,ENSG00000225740
CDY6P,ENSG00000229138
USP9YP7,ENSG00000224485
USP9YP6,ENSG00000226116
CDY7P,ENSG00000237558
USP9YP34,ENSG00000233378
USP9YP32,ENSG00000237616
CDY8P,ENSG00000224033
ELOCP12,ENSG00000230412
TRAPPC2P8,ENSG00000225895
USP9YP15,ENSG00000233120
RNU1-95P,ENSG00000252166
USP9YP16,ENSG00000232744
ACTG1P11,ENSG00000229465
PRYP2,ENSG00000231311
ELOCP26,ENSG00000236599
CDY9P,ENSG00000232899
TAF9P2,ENSG00000229302
CLUHP2,ENSG00000228945
FAM224A,ENSG00000233522
,ENSG00000278391
RNA5SP522,ENSG00000251953
RNA5SP523,ENSG00000252667
TUBB1P1,ENSG00000249726
ELOCP13,ENSG00000225716
OFD1P4Y,ENSG00000229406
USP9YP14,ENSG00000227494
RNU1-48P,ENSG00000252209
USP9YP5,ENSG00000249634
,ENSG00000251510
XKRYP1,ENSG00000238067
PRYP5,ENSG00000233546
ELOCP7,ENSG00000230377
USP9YP1,ENSG00000250951
GPM6BP1,ENSG00000230458
TTTY9B,ENSG00000131007
RAB9AP4,ENSG00000235479
TRAPPC2P7,ENSG00000249606
TTTY14,ENSG00000176728
RBMY3AP,ENSG00000291444
CDY3P,ENSG00000291445
TSPY25P,ENSG00000291446
USP9YP22,ENSG00000291447
TSPY16P,ENSG00000291448
USP9YP4,ENSG00000291449
ELOCP4,ENSG00000291450
RBMY1A3P,ENSG00000291451
,ENSG00000291452
,ENSG00000267793
TTTY20,ENSG00000291453
,ENSG00000260197
TSPY8,ENSG00000291455
,ENSG00000288049
FAM197Y7,ENSG00000291456
KDM5D,ENSG00000012817
,ENSG00000291457
TSPY4,ENSG00000291458
TSPY9,ENSG00000291459
FAM197Y2,ENSG00000291460
FAM197Y4,ENSG00000291461
FAM197Y4,ENSG00000291462
FAM197Y8,ENSG00000291454
FAM197Y8,ENSG00000293355
HSFY1,ENSG00000172468
TGIF2LY,ENSG00000176679
RBMY1F,ENSG00000169800
ELOCP5,ENSG00000285019
CDY10P,ENSG00000285196
USP9YP3,ENSG00000285308
USP9YP8,ENSG00000285028
CDY11P,ENSG00000285455
OFD1P16Y,ENSG00000285477
CDY2A,ENSG00000182415
ZNF736P3Y,ENSG00000233126
TRIM60P9Y,ENSG00000227251
RN7SKP282,ENSG00000252633
Y_RNA,ENSG00000251996
RNU6-941P,ENSG00000252155
RNU6-521P,ENSG00000252472
SRIP3,ENSG00000224953
,ENSG00000274365
GOT2P5,ENSG00000233634
ATP5PFP1,ENSG00000237701
,ENSG00000273906
TRIM60P10Y,ENSG00000232976
ZNF736P2Y,ENSG00000226270
TRIM60P11Y,ENSG00000227837
,ENSG00000278602
ZNF736P1Y,ENSG00000223978
,ENSG00000278197
ZNF736P5Y,ENSG00000230819
BPY2C,ENSG00000185894
TTTY4C,ENSG00000228296
DAZ4,ENSG00000205916
,ENSG00000282467
CDY2B,ENSG00000129873
RNU6-1334P,ENSG00000251841
SRY,ENSG00000184895
RNASEH2CP1,ENSG00000237659
TOMM22P2,ENSG00000232195
,ENSG00000286130
RPS4Y1,ENSG00000129824
OR4C12,ENSG00000284255
OR4C48P,ENSG00000284278
OR4C49P,ENSG00000284123
OR4C45,ENSG00000292249
NAP1L1P2,ENSG00000229163
,ENSG00000278847
ZFY,ENSG00000067646
ZFY-AS1,ENSG00000233070
EEF1A1P41,ENSG00000223600
PSMA6P1,ENSG00000215414
SFPQP1,ENSG00000224035
DPPA2P1,ENSG00000223915
DDX3Y,ENSG00000067048
CASKP1,ENSG00000234059
UTY,ENSG00000183878
MIR3649,ENSG00000284767
ADIPOR2,ENSG00000285070
,ENSG00000285310
,ENSG00000285682
RPS4XP14,ENSG00000284817
CACNA2D4,ENSG00000284953
,ENSG00000286298
LRTM2,ENSG00000285383
,ENSG00000285149
LINC00940,ENSG00000285233
DCP1B,ENSG00000284850
,ENSG00000285355
CACNA1C-IT1,ENSG00000285291
,ENSG00000285324
CACNA1C-AS4,ENSG00000285107
CACNA1C-IT3,ENSG00000284775
,ENSG00000285924
,ENSG00000285983
CACNA1C-AS3,ENSG00000284942
,ENSG00000284759
CACNA1C-AS2,ENSG00000285101
CACNA1C-AS1,ENSG00000285335
CACNA1C,ENSG00000285479
TMSB4Y,ENSG00000154620
VCY,ENSG00000129864
DAZ3,ENSG00000187191
DAZ1,ENSG00000188120
PPP1R12BP2,ENSG00000205936
SNORA70,ENSG00000251925
,ENSG00000286744
REREP1Y,ENSG00000225189
,ENSG00000230073
,ENSG00000236647
AMELY,ENSG00000099721
TBL1Y,ENSG00000092377
GPR143YP,ENSG00000232583
DAZ2,ENSG00000205944
TSPY2,ENSG00000168757
AGKP1,ENSG00000226555
NLGN4Y-AS1,ENSG00000228787
RBMY1E,ENSG00000242389
NLGN4Y,ENSG00000165246
SERTAD4-AS1,ENSG00000280963
SERTAD4,ENSG00000281230
ST13P19,ENSG00000281067
,ENSG00000281552
HHAT,ENSG00000280680
LINC00278,ENSG00000231535
CDY22P,ENSG00000229343
,ENSG00000287371
ELOCP17,ENSG00000232695
OFD1P18Y,ENSG00000235511
RNU5A-8P,ENSG00000281499
,ENSG00000287648
TRAPPC2P4,ENSG00000232914
BPNT2P1,ENSG00000280937
RAB9AP3,ENSG00000223655
USP9YP20,ENSG00000230854
RNU1-40P,ENSG00000252625
USP9YP21,ENSG00000227635
XKRYP6,ENSG00000237546
PRYP4,ENSG00000172283
ELOCP11,ENSG00000227867
CDY23P,ENSG00000231716
USP9YP26,ENSG00000234744
HSFY8P,ENSG00000233156
OFD1P15Y,ENSG00000234888
REREP2Y,ENSG00000235014
,ENSG00000289705
,ENSG00000225876
SNORA70,ENSG00000251796
PPP1R12BP1,ENSG00000229238
RNU6-1314P,ENSG00000252948
CYCSP48,ENSG00000233843
ANKRD36P1,ENSG00000188399
,ENSG00000277146
VCY1B,ENSG00000129862
PNPLA4P1,ENSG00000235451
,ENSG00000289706
OFD1P2Y,ENSG00000226611
OFD1P5Y,ENSG00000240438
,ENSG00000286247
TBL1YP1,ENSG00000225624
RPS4Y2,ENSG00000280969
HSFY4P,ENSG00000224482
,ENSG00000216844
GAPDHP17,ENSG00000229551
TMEM167AP1,ENSG00000226504
,ENSG00000254488
TOMM22P1,ENSG00000237427
,ENSG00000289707
NEFLP1,ENSG00000232634
,ENSG00000226918
PRORY,ENSG00000183146
,ENSG00000236615
,ENSG00000288057
RBMY2TP,ENSG00000237269
TSPY14P,ENSG00000169849
RBMY1HP,ENSG00000169811
,ENSG00000242393
,ENSG00000228257
TTTY13,ENSG00000184991
ELOCP5,ENSG00000271123
CDY10P,ENSG00000226042
USP9YP3,ENSG00000237023
USP9YP8,ENSG00000229416
CDY11P,ENSG00000230029
HSFY6P,ENSG00000224169
USP9YP18,ENSG00000223407
CDY14P,ENSG00000226873
ELOCP16,ENSG00000227915
XKRYP3,ENSG00000236620
USP9YP25,ENSG00000224866
USP9YP29,ENSG00000232424
RNU1-97P,ENSG00000252681
RAB9AP1,ENSG00000232910
TRAPPC2P9,ENSG00000232845
OFD1P11Y,ENSG00000237302
PRYP3,ENSG00000169763
,ENSG00000277930
RNU2-57P,ENSG00000252468
VDAC1P6,ENSG00000231341
EIF4A1P2,ENSG00000235001
KRT18P10,ENSG00000214207
SNX3P1Y,ENSG00000278585
RPL26P37,ENSG00000235175
PCDH11Y,ENSG00000099715
OFD1P10Y,ENSG00000225466
ELOCP9,ENSG00000231540
CDY15P,ENSG00000223362
XKRYP4,ENSG00000231026
USP9YP13,ENSG00000224571
USP9YP11,ENSG00000226369
TTTY3B,ENSG00000280961
USP9YP12,ENSG00000227871
RNU1-86P,ENSG00000251917
RAB9AP5,ENSG00000231423
TRAPPC2P10,ENSG00000228465
OFD1P12Y,ENSG00000232585
ELOCP10,ENSG00000234081
CDY1B,ENSG00000172352
CDY17P,ENSG00000231375
USP9YP35,ENSG00000237467
USP9YP31,ENSG00000229250
CDY18P,ENSG00000232205
,ENSG00000235981
GOLGA6L11P,ENSG00000223698
DNM1P24,ENSG00000242854
,ENSG00000230977
CSPG4P2Y,ENSG00000244231
CSPG4P3Y,ENSG00000172342
,ENSG00000284071
RN7SL818P,ENSG00000274234
UBE2Q2P4Y,ENSG00000225491
LINC00265-2P,ENSG00000224827
CICP2,ENSG00000233740
SEPTIN14P22,ENSG00000248792
,ENSG00000279274
RBMY2XP,ENSG00000234399
TTTY17B,ENSG00000227439
TRIM60P5Y,ENSG00000224210
ZNF736P12Y,ENSG00000232003
TTTY4B,ENSG00000235412
BPY2B,ENSG00000183795
,ENSG00000240566
ZNF736P4Y,ENSG00000236379
,ENSG00000274899
TTTY17C,ENSG00000223641
RBMY2YP,ENSG00000227633
,ENSG00000279115
CICP1,ENSG00000233652
LINC00265-3P,ENSG00000233944
UBE2Q2P5Y,ENSG00000223636
GOLGA2P3Y,ENSG00000172297
RN7SL725P,ENSG00000278242
,ENSG00000284380
CSPG4P4Y,ENSG00000172294
CSPG4P1Y,ENSG00000240450
DNM1P48,ENSG00000239304
,ENSG00000233619
GOLGA6L16P,ENSG00000197092
,ENSG00000235583
CDY19P,ENSG00000237823
USP9YP36,ENSG00000229709
USP9YP33,ENSG00000232064
CDY20P,ENSG00000225609
ELOCP34,ENSG00000270535
OFD1P13Y,ENSG00000225287
TRAPPC2P5,ENSG00000225256
RAB9AP2,ENSG00000223856
USP9YP30,ENSG00000235004
RNU1-107P,ENSG00000252426
TTTY3,ENSG00000231141
USP9YP9,ENSG00000232614
USP9YP19,ENSG00000225326
XKRYP5,ENSG00000223406
TPTE2P4,ENSG00000215506
CYCSP49,ENSG00000224240
SLC25A15P1,ENSG00000227629
PARP4P1,ENSG00000237917
CCNQP2,ENSG00000231514
CDY1,ENSG00000172288
RBMY1J,ENSG00000226941
TSPY9,ENSG00000238074
,ENSG00000289826
RBMY1B,ENSG00000242875
RBMY1A1,ENSG00000234414
RFTN1P1,ENSG00000234795
,ENSG00000290323
FAM197Y5,ENSG00000225516
FAM197Y5,ENSG00000290330
FAM197Y2,ENSG00000234803
,ENSG00000290332
RBMY2FP,ENSG00000243040
RBMY2FP,ENSG00000290336
,ENSG00000173357
,ENSG00000290342
RBMY2QP,ENSG00000236718
,ENSG00000290344
RBMY2BP,ENSG00000224657
,ENSG00000290348
,ENSG00000285111
TTTY23B,ENSG00000250204
TTTY23B,ENSG00000290369
FAM197Y4,ENSG00000274196
FAM197Y4,ENSG00000290373
TSPY5P,ENSG00000225685
,ENSG00000290378
BRD7P1,ENSG00000284831
,ENSG00000285274
TTTY11,ENSG00000180910
RN7SKP205,ENSG00000284911
TTTY11,ENSG00000290381
,ENSG00000284904
,ENSG00000285965
LINC00596,ENSG00000285289
ARSLP1,ENSG00000224060
DHRS4-AS1,ENSG00000285282
,ENSG00000290435
FAM197Y9,ENSG00000234830
FAM197Y9,ENSG00000290448
FAM197Y3,ENSG00000230066
FAM197Y3,ENSG00000290607
,ENSG00000286673
OFD1P6Y,ENSG00000242153
,ENSG00000290630
TTTY9A,ENSG00000290716
DHRS4L1,ENSG00000285036
CARMIL3,ENSG00000284765
XKRY,ENSG00000250868
XKRY,ENSG00000290724
XKRYP7,ENSG00000244646
,ENSG00000282909
,ENSG00000288686
XGY2,ENSG00000290840
CPNE6,ENSG00000285221
HSFY3P,ENSG00000227289
,ENSG00000290841
TAB3P1,ENSG00000235462
,ENSG00000290852
ANOS2P,ENSG00000241859
,ENSG00000290853
RBMY2EP,ENSG00000223637
,ENSG00000290954
NRL,ENSG00000285493
GOLGA2P2Y,ENSG00000239533
GOLGA2P2Y,ENSG00000291016
BCORP1,ENSG00000215580
BCORP1,ENSG00000291031
PCK2,ENSG00000285241
,ENSG00000278212
,ENSG00000291032
TXLNGY,ENSG00000131002
DCAF11,ENSG00000284796
TXLNGY,ENSG00000291033
,ENSG00000284818
FITM1,ENSG00000285321
PSME1,ENSG00000284916
GYG2P1,ENSG00000206159
,ENSG00000291034
EMC9,ENSG00000285377
,ENSG00000285298
PSME2,ENSG00000284889
CDY3P,ENSG00000232235
USP9YP22,ENSG00000224408
USP9YP4,ENSG00000238154
ELOCP4,ENSG00000232924
RBMY1A3P,ENSG00000197038
,ENSG00000275310
TTTY20,ENSG00000232808
TSPY4,ENSG00000233803
MIR7703,ENSG00000285146
RNF31,ENSG00000285152
FAM197Y7,ENSG00000228383
,ENSG00000286120
TSPY7P,ENSG00000188656
FAM197Y6,ENSG00000237802
,ENSG00000286173
TSPY8,ENSG00000229549
,ENSG00000284845
RNA5SP383,ENSG00000285306
IRF9,ENSG00000285048
TSPY3,ENSG00000228927
REC8,ENSG00000285007
RBMY2CP,ENSG00000215540
,ENSG00000293249
IPO4,ENSG00000285248
RBMY2DP,ENSG00000215507
,ENSG00000293280
ZNF736P9Y,ENSG00000239893
,ENSG00000293305
FAM197Y8,ENSG00000225560
FAM197Y8,ENSG00000293362
PRKY,ENSG00000099725
PRKY,ENSG00000293442
SEPTIN14P23,ENSG00000228786
,ENSG00000285125
XKRYP7,ENSG00000290725
FAM41AY2,ENSG00000290726
,ENSG00000287341
TM9SF1,ENSG00000285465
PPP2R3B,ENSG00000292327
RPL14P5,ENSG00000292328
,ENSG00000292329
,ENSG00000285502
,ENSG00000292330
,ENSG00000284802
ASMTL-AS1,ENSG00000292331
,ENSG00000285309
TSSK4,ENSG00000285140
IL3RA,ENSG00000292332
CHMP4A,ENSG00000285302
P2RY8,ENSG00000292333
SLC25A6,ENSG00000292334
,ENSG00000292335
,ENSG00000285296
ASMT,ENSG00000292336
MDP1,ENSG00000285200
DHRSX-IT1,ENSG00000292337
DHRSX,ENSG00000292338
NEDD8-MDP1,ENSG00000285425
NEDD8,ENSG00000285246
ASMTL,ENSG00000292339
LINC02968,ENSG00000292340
LINC00106,ENSG00000292341
GMPR2,ENSG00000284752
LINC00685,ENSG00000292342
AKAP17A,ENSG00000292343
PLCXD1,ENSG00000292344
ZBED1,ENSG00000292345
MIR6089,ENSG00000292346
LINC00102,ENSG00000292347
CD99,ENSG00000292348
TINF2,ENSG00000284915
TGM1,ENSG00000285348
,ENSG00000292349
Metazoa_SRP,ENSG00000292350
,ENSG00000292351
FABP5P13,ENSG00000292352
KRT18P53,ENSG00000292353
SHOX,ENSG00000292354
MIR3690,ENSG00000292355
RNA5SP498,ENSG00000292356
RABGGTA,ENSG00000285193
CSF2RA,ENSG00000292357
,ENSG00000287436
,ENSG00000286762
DHRS1,ENSG00000284868
GTPBP6,ENSG00000292358
,ENSG00000292359
,ENSG00000292360
NOP9,ENSG00000285326
CD99P1,ENSG00000292361
CD99P1,ENSG00000292362
CIDEB,ENSG00000285199
LTB4R2,ENSG00000285203
CRLF2,ENSG00000292363
LTB4R,ENSG00000285456
AMD1P2,ENSG00000292364
DPH3P2,ENSG00000292365
VAMP7,ENSG00000292366
ADCY4,ENSG00000284814
ELOCP24,ENSG00000292367
TRPC6P1,ENSG00000292368
,ENSG00000292369
WASIR1,ENSG00000292370
DDX11L16,ENSG00000292371
WASH6P,ENSG00000292372
,ENSG00000285511
IL9R,ENSG00000292373
RIPK3,ENSG00000285379
U6,ENSG00000285386
NFATC4,ENSG00000285485
DHRS4,ENSG00000284807
DHRS4L2,ENSG00000292270
DHRS4L1,ENSG00000284898
LEUTX,ENSG00000280774
,ENSG00000281677
DYRK1B,ENSG00000281320
MIR6719,ENSG00000281403
FBL,ENSG00000280548
PRR13P5,ENSG00000280932
PSMC4,ENSG00000281221
ZNF546,ENSG00000281526
,ENSG00000281233
ZNF780B,ENSG00000281601
,ENSG00000281009
ZNF780A,ENSG00000280568
,ENSG00000280797
FCGBP,ENSG00000281123
H3-4,ENSG00000285435
RPL23AP15,ENSG00000284795
H2AC25,ENSG00000284841
H2BC26,ENSG00000285449
MIR4666A,ENSG00000284998
H2BC27P,ENSG00000285234
,ENSG00000285050
RNF187,ENSG00000285426
RNA5S1,ENSG00000285166
RNA5S2,ENSG00000285285
RNA5S3,ENSG00000285168
RNA5S16,ENSG00000284853
RNA5S17,ENSG00000285158
RNA5SP18,ENSG00000284877
DUSP5P1,ENSG00000285311
,ENSG00000285183
FTH1P2,ENSG00000285319
RHOU,ENSG00000284984
BTNL10P,ENSG00000285153
,ENSG00000293409
OBP2B,ENSG00000280584
LCN1P1,ENSG00000280820
Y_RNA,ENSG00000280632
LCN1P2,ENSG00000281430
SURF6,ENSG00000281309
Y_RNA,ENSG00000281393
MED22,ENSG00000281022
RPL21P81,ENSG00000281699
RPL7A,ENSG00000280858
SNORD24,ENSG00000280889
SNORD36B,ENSG00000281243
SNORD36A,ENSG00000281907
,ENSG00000283984
SNORD36C,ENSG00000281541
SURF1,ENSG00000280627
SURF2,ENSG00000281024
SURF4,ENSG00000280951
STKLD1,ENSG00000281245
REXO4,ENSG00000280706
ADAMTS13,ENSG00000281244
,ENSG00000283272
,ENSG00000283276
CACFD1,ENSG00000280479
SLC2A6,ENSG00000281165
ABO,ENSG00000281879
RNU6-1004P,ENSG00000285481
FRG2,ENSG00000285063
FRG1,ENSG00000283153
MLLT10P2,ENSG00000283508
,ENSG00000283127
TUBB7P,ENSG00000283593
RNA5SP174,ENSG00000283700
RNA5SP175,ENSG00000283581
DUX4L9,ENSG00000283181
RARRES2P4,ENSG00000283449
,ENSG00000284383
,ENSG00000284496
,ENSG00000284262
,ENSG00000283767
,ENSG00000284210
,ENSG00000283884
,ENSG00000283955
,ENSG00000284025
,ENSG00000283878
,ENSG00000284181
